"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunity_other" -0.165102039024705 -0.322014510641725 -0.00818956740768562 0.847807190255266 0.7246876745704 0.991843875742229 0.152192809744734 0.2753123254296 0.00815612425777146
"Immunityb45_062-122" -0.458018186150446 -2.4201652599857 1.50412888768481 0.6325359727084 0.0889069234883525 4.50023171505398 0.3674640272916 0.911093076511648 -3.50023171505398
"Immunityboost_001-061" -0.737385323639743 -1.61595385666778 0.141183209388298 0.478363046321841 0.198701047699495 1.15163561911553 0.521636953678159 0.801298952300505 -0.151635619115528
"Immunityboost_062-122" -0.928890634144225 -1.80733143754771 -0.0504498307407401 0.394991657663128 0.164091441315027 0.950801628489189 0.605008342336872 0.835908558684973 0.0491983715108109
"Immunityboost_123-183" -0.74272093152801 -1.23857388942316 -0.246867973632857 0.475817485773967 0.289797206246526 0.781243831507688 0.524182514226033 0.710202793753474 0.218756168492312
"Immunityboost_184-244" -0.47638358774061 -0.618376709928682 -0.334390465552537 0.621025218892356 0.538818386603607 0.715774242470359 0.378974781107644 0.461181613396393 0.284225757529641
"Immunityboost_245-305" -0.423507074248734 -0.514319215073445 -0.332694933424023 0.654746543810142 0.597907502509325 0.716988890141314 0.345253456189858 0.402092497490675 0.283011109858686
"Immunityboost_306-366" -0.376283234310405 -0.471330412900534 -0.281236055720277 0.686407891241574 0.624171310083435 0.754850127756951 0.313592108758426 0.375828689916565 0.245149872243049
"Immunityboost_367-427" -0.414599641128894 -0.544985170948663 -0.284214111309124 0.660604706723431 0.579850381907173 0.752605486107988 0.339395293276569 0.420149618092827 0.247394513892012
"Immunityboost_428-488" -0.270911486917462 -0.486239917657303 -0.0555830561776212 0.762684000929429 0.614934256028055 0.945933454790625 0.237315999070571 0.385065743971945 0.0540665452093746
"Immunityfull_123-183" 0.544196409577313 -0.200460768028867 1.28885358718349 1.7232230602878 0.818353595020574 3.62862426899096 -0.723223060287802 0.181646404979426 -2.62862426899096
"Immunityfull_184-244" 0.377790904038218 0.0595430644737072 0.69603874360273 1.45905782787794 1.06135146653771 2.00579149528715 -0.459057827877936 -0.0613514665377113 -1.00579149528715
"Immunityfull_245-305" 0.0718343334332347 -0.193306942022175 0.336975608888645 1.07447732434887 0.824228944809373 1.40070489857272 -0.0744773243488712 0.175771055190627 -0.400704898572717
"Immunityfull_306-366" 0.0486926210377376 -0.209720510754894 0.307105752830369 1.04989758470676 0.810810827211224 1.35948472982826 -0.0498975847067562 0.189189172788776 -0.359484729828263
"Immunityfull_367-427" 0.0540402999989485 -0.137960759157392 0.246041359155289 1.05552713904055 0.871132875063144 1.27895246884164 -0.0555271390405494 0.128867124936856 -0.278952468841645
"Immunityfull_428-488" 0.132260682053475 -0.037329739569731 0.301851103676681 1.14140582450259 0.963358425578444 1.35235985030824 -0.141405824502592 0.0366415744215564 -0.352359850308237
"Immunityfull_489-549" 0.0895885265256733 -0.101846077769574 0.281023130820921 1.09372415262603 0.903168558689471 1.3244842399887 -0.0937241526260257 0.0968314413105289 -0.324484239988705
"Immunityhybridboost_001-061" -2.41931155206164 -3.01323426855508 -1.8253888355682 0.0889828564411082 0.0491325137637372 0.161154969161436 0.911017143558892 0.950867486236263 0.838845030838564
"Immunityhybridboost_062-122" -2.17559789103197 -2.64170926896388 -1.70948651310007 0.113540248676441 0.0712393981382983 0.180958688680692 0.886459751323559 0.928760601861702 0.819041311319308
"Immunityhybridboost_123-183" -2.16091286036599 -2.65460075445255 -1.66722496627943 0.115219893342268 0.0703269107670144 0.188770183092277 0.884780106657732 0.929673089232986 0.811229816907723
"Immunityhybridboost_184-244" -1.96270986100203 -2.33836454669403 -1.58705517531003 0.140477230898639 0.0964853064792795 0.204527021999846 0.859522769101361 0.903514693520721 0.795472978000154
"Immunityhybridboost_245-305" -1.78501310662284 -2.10450304273181 -1.46552317051387 0.167794861761807 0.121906241410901 0.230957129904148 0.832205138238193 0.878093758589099 0.769042870095852
"Immunityhybridboost_306-366" -2.09455145055606 -2.57391932878968 -1.61518357232244 0.123125459125833 0.0762361645266185 0.198854162969519 0.876874540874167 0.923763835473381 0.801145837030481
"Immunityhybridboost_367-427" -1.51401272666807 -2.06365904269703 -0.964366410639108 0.220025302766532 0.126988462552065 0.38122466312761 0.779974697233468 0.873011537447935 0.61877533687239
"Immunityhybridboost_428-488" -0.855994932210497 -1.74061025589385 0.0286203914728558 0.424860273558903 0.175413320934356 1.02903389028303 0.575139726441096 0.824586679065644 -0.0290338902830294
"Immunityhybridfull_062-122" -1.61135200945362 -2.99854992877445 -0.224154090132794 0.199617546739187 0.049859315532216 0.799191977283056 0.800382453260813 0.950140684467784 0.200808022716944
"Immunityhybridfull_123-183" -1.58867119589616 -2.57097926007683 -0.606363131715502 0.204196769041535 0.0764606339047361 0.545330562377399 0.795803230958465 0.923539366095264 0.454669437622601
"Immunityhybridfull_184-244" -2.27583871067492 -3.15512991560305 -1.3965475057468 0.102710727716229 0.0426328619588863 0.247449809918248 0.897289272283771 0.957367138041114 0.752550190081752
"Immunityhybridfull_245-305" -1.58480900419015 -2.09487189909294 -1.07474610928735 0.204986941024946 0.123086010073637 0.341384418632353 0.795013058975054 0.876913989926363 0.658615581367647
"Immunityhybridfull_306-366" -1.59963527240596 -2.14672079303417 -1.05254975177775 0.201970168656306 0.116866760408839 0.349046631260698 0.798029831343694 0.883133239591161 0.650953368739302
"Immunityhybridfull_367-427" -0.908673039949953 -1.3627879276458 -0.454558152254107 0.40305871214186 0.255946221804748 0.634728359293333 0.59694128785814 0.744053778195252 0.365271640706667
"Immunityhybridfull_428-488" -1.55522557209285 -2.35789010584297 -0.752561038342734 0.211141749582487 0.0946196501844669 0.471158351672625 0.788858250417513 0.905380349815533 0.528841648327375
"Immunityhybridfull_489-549" -0.887262321453438 -1.69002918694111 -0.084495455965764 0.411781536510565 0.184514138511102 0.918975831224983 0.588218463489435 0.815485861488898 0.0810241687750168
"Immunityinf_062-122" -2.45538087409987 -4.41622121963799 -0.49454052856174 0.0858304986009766 0.0120797930331697 0.609851052072139 0.914169501399023 0.98792020696683 0.390148947927861
"Immunityinf_123-183" -1.65936276024422 -2.64149736683049 -0.677228153657953 0.190260182832262 0.0712544955182722 0.508023204824785 0.809739817167738 0.928745504481728 0.491976795175215
"Immunityinf_184-244" -0.953685621236883 -1.43370583250511 -0.473665409968652 0.38531826600835 0.238423724670958 0.62271557213772 0.614681733991649 0.761576275329042 0.37728442786228
"Immunityinf_245-305" -1.26868273871449 -1.77882436789912 -0.758541109529867 0.281201794154839 0.168836520271945 0.468349199027171 0.718798205845161 0.831163479728055 0.531650800972829
"Immunityinf_306-366" -0.971519085803551 -1.46597395987841 -0.477064211728693 0.378507615610574 0.230853040349317 0.620602678043203 0.621492384389426 0.769146959650683 0.379397321956797
"Immunityinf_367-427" -1.23145181734153 -2.03552457220662 -0.427379062476444 0.29186853014205 0.130611949131879 0.652216274647791 0.70813146985795 0.869388050868121 0.347783725352209
"Immunityinf_428-488" -0.704849564936114 -1.68880873520263 0.279109605330398 0.49418291110237 0.184739466585274 1.32195222894013 0.50581708889763 0.815260533414726 -0.321952228940129
"Immunityinf_489-549" -1.19314108039421 -2.17565327166519 -0.210628889123226 0.303267179830734 0.113533960919686 0.810074638614496 0.696732820169266 0.886466039080314 0.189925361385504
"Immunitysecb45_001-061" -1.64834593865551 -1.99700446265801 -1.29968741465301 0.192367833812216 0.135741292936242 0.272616995794978 0.807632166187784 0.864258707063758 0.727383004205022
"Immunitysecb45_062-122" -1.15517206228073 -1.51908704357463 -0.791257080986836 0.315003332048491 0.218911652549481 0.453274634063729 0.684996667951509 0.781088347450519 0.546725365936271
"Immunitysecb45_123-183" -0.801351634646336 -1.79262376072825 0.189920491435575 0.448722045780043 0.166522680315354 1.20915345577981 0.551277954219957 0.833477319684646 -0.209153455779812
"Immunitysecboost_001-061" -1.21910475771601 -1.42532568879765 -1.01288382663437 0.295494587795666 0.240430145050501 0.363170148228253 0.704505412204333 0.759569854949499 0.636829851771747
"Immunitysecboost_062-122" -0.826429579618182 -1.03850447715872 -0.614354682077649 0.437608948248394 0.353983676972476 0.540989893163789 0.562391051751606 0.646016323027524 0.459010106836211
