"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunityboost_001-061" -1.92565056899858 -1.99234680486432 -1.85895433313283 0.145780885474709 0.13637500408642 0.155835497217092 0.854219114525291 0.86362499591358 0.844164502782908
"Immunityboost_062-122" -1.62565077418635 -1.6698302585214 -1.58147128985129 0.196783571856678 0.188279021686067 0.205672271960494 0.803216428143322 0.811720978313933 0.794327728039506
"Immunityboost_123-183" -1.15043662310802 -1.2117307446441 -1.08914250157195 0.316498548626077 0.297681622449629 0.336504922467503 0.683501451373923 0.702318377550371 0.663495077532497
"Immunityboost_184-244" -0.70818447766193 -0.771535179513738 -0.644833775810121 0.492537599233879 0.462302805464144 0.524749760961355 0.507462400766121 0.537697194535856 0.475250239038645
"Immunityboost_245-305" -0.549048028474703 -0.599919993744288 -0.498176063205118 0.577499311684793 0.54885554621464 0.607637942800319 0.422500688315207 0.45114445378536 0.392362057199681
"Immunityboost_306-366" -0.478409497846231 -0.537544475336392 -0.41927452035607 0.619768351205911 0.584180963389096 0.657523666858439 0.380231648794089 0.415819036610904 0.342476333141561
"Immunityfull_001-061" -0.623570459168356 -0.748892486572285 -0.498248431764427 0.536027153774019 0.472889994847056 0.607593970508943 0.463972846225981 0.527110005152944 0.392406029491057
"Immunityfull_062-122" -0.545644482972553 -0.658353065853527 -0.432935900091578 0.579468205578893 0.517703255939823 0.648602065805537 0.420531794421107 0.482296744060177 0.351397934194463
"Immunityfull_123-183" -0.334206689036012 -0.423756620430718 -0.244656757641305 0.715905797055211 0.654583174694884 0.782973241706303 0.284094202944789 0.345416825305116 0.217026758293697
"Immunityfull_184-244" -0.377120791536674 -0.440763678162129 -0.31347790491122 0.685833226043185 0.643544772287363 0.730900528137254 0.314166773956815 0.356455227712637 0.269099471862746
"Immunityfull_245-305" -0.247527107745354 -0.317394876185267 -0.177659339305442 0.780729056719611 0.72804321143132 0.837227585445036 0.219270943280389 0.27195678856868 0.162772414554964
"Immunityfull_306-366" -0.176727678469269 -0.262119740779074 -0.0913356161594631 0.838007961063613 0.769418887374439 0.912711338816199 0.161992038936387 0.230581112625561 0.0872886611838013
"Immunityhybridboost_001-061" -3.12709889370894 -3.39499210659045 -2.85920568082743 0.0438448113810518 0.033540818922524 0.0573142680111804 0.956155188618948 0.966459181077476 0.94268573198882
"Immunityhybridboost_062-122" -2.80986227633338 -2.99399421630196 -2.6257303363648 0.0602132846156792 0.0500869784274491 0.0723868709600943 0.939786715384321 0.949913021572551 0.927613129039906
"Immunityhybridboost_123-183" -2.51755254050136 -2.76396913625657 -2.27113594474615 0.0806567695538993 0.0630410525987589 0.103194889785183 0.919343230446101 0.936958947401241 0.896805110214817
"Immunityhybridboost_184-244" -2.04999029750351 -2.25052092273189 -1.84945967227513 0.128736152643813 0.105344334007976 0.157322148871115 0.871263847356187 0.894655665992024 0.842677851128885
"Immunityhybridboost_245-305" -1.86796839930329 -2.06012999537418 -1.6758068032324 0.154437097834466 0.127437402545176 0.187157119583298 0.845562902165534 0.872562597454824 0.812842880416702
"Immunityhybridboost_306-366" -1.86114841840522 -2.13538765224149 -1.58690918456895 0.155493955670387 0.118198761479543 0.204556883231038 0.844506044329613 0.881801238520457 0.795443116768962
"Immunityhybridfull_001-061" -2.74381532816834 -3.39762105734888 -2.0900095989878 0.0643244591992267 0.0334527575663828 0.123685948551846 0.935675540800773 0.966547242433617 0.876314051448154
"Immunityhybridfull_062-122" -2.14327993045124 -2.34472647510042 -1.94183338580205 0.117269575490161 0.0958734223126089 0.143440726365246 0.882730424509839 0.904126577687391 0.856559273634754
"Immunityhybridfull_123-183" -1.93284287118327 -2.15742413461077 -1.70826160775578 0.144736146835243 0.115622565950417 0.181180481755582 0.855263853164757 0.884377434049583 0.818819518244418
"Immunityhybridfull_184-244" -1.78345682375616 -1.99496425199976 -1.57194939551255 0.168056201336687 0.136018516469899 0.207640015056093 0.831943798663313 0.863981483530101 0.792359984943907
"Immunityhybridfull_245-305" -1.87086397521678 -2.12520618119278 -1.61652176924078 0.15399056029749 0.119408345973279 0.198588234913171 0.84600943970251 0.880591654026721 0.801411765086829
"Immunityhybridfull_306-366" -1.75017503034723 -2.04702907423343 -1.45332098646103 0.173743530398465 0.129117934125846 0.233792575444247 0.826256469601535 0.870882065874154 0.766207424555753
"Immunityinf_062-122" -1.79367005298128 -2.00054965229442 -1.58679045366813 0.166348540041682 0.135260916327509 0.204581171895931 0.833651459958318 0.864739083672491 0.795418828104069
"Immunityinf_123-183" -1.81437901413335 -2.11445285674291 -1.51430517152379 0.16293905983342 0.120699311304149 0.219960966906414 0.83706094016658 0.879300688695851 0.780039033093586
"Immunityinf_184-244" -1.30930134186211 -1.55632219157652 -1.0622804921477 0.270008634230898 0.210910334336504 0.345666620787375 0.729991365769102 0.789089665663496 0.654333379212625
"Immunityinf_245-305" -1.65511625855206 -1.92587891930992 -1.3843535977942 0.191069840911114 0.145747600164623 0.250485661956441 0.808930159088886 0.854252399835377 0.749514338043559
"Immunityinf_306-366" -1.39375338184391 -1.60049405045795 -1.18701271322987 0.248142182183402 0.201796795563467 0.305131418994088 0.751857817816598 0.798203204436533 0.694868581005912
"Immunityother" -0.549799421805816 -0.597913910520426 -0.501684933091206 0.577065545538174 0.549957701255971 0.605509556620024 0.422934454461826 0.450042298744029 0.394490443379976
"Immunitysecboost_001-061" -1.4281855833982 -1.54601561272383 -1.31035555407257 0.239743522478944 0.213095338947436 0.269724137817907 0.760256477521056 0.786904661052564 0.730275862182093
"Immunitysecboost_062-122" -1.02201158123351 -1.16633145817828 -0.877691704288751 0.359870303235909 0.31150762641589 0.415741459177639 0.640129696764091 0.68849237358411 0.584258540822361
"Immunitysecboost_123-183" -0.649000928061306 -0.908096670902771 -0.389905185219842 0.522567598672701 0.40329108966891 0.677121072540288 0.477432401327299 0.59670891033109 0.322878927459712
"AgeGr0-11" 0.281725945357742 0.164598299572535 0.39885359114295 1.32541543395636 1.17891945113406 1.49011543653796 -0.325415433956359 -0.178919451134058 -0.490115436537963
"AgeGr12-15" -0.884359324015766 -1.1155478038506 -0.65317084418093 0.412978674058824 0.327735694840047 0.520393072566059 0.587021325941176 0.672264305159953 0.479606927433941
"AgeGr16-17" -0.293470093738946 -0.559551657169247 -0.0273885303086455 0.745671522777866 0.57146521875577 0.972983134638493 0.254328477222134 0.42853478124423 0.0270168653615073
"AgeGr18-24" -0.362735926947555 -0.533895774500314 -0.191576079394797 0.695770143387176 0.586316358298184 0.825656807246736 0.304229856612824 0.413683641701816 0.174343192753264
"AgeGr25-29" -0.327776182104182 -0.49905980693374 -0.156492557274625 0.720524267885038 0.607101183792735 0.855137882235641 0.279475732114962 0.392898816207265 0.144862117764359
"AgeGr30-34" -0.102387519795696 -0.257824456144313 0.05304941655292 0.902679677637441 0.772730868357565 1.05448175268519 0.0973203223625587 0.227269131642435 -0.054481752685192
"AgeGr35-39" -0.0317756148323719 -0.184049675213339 0.120498445548595 0.968723924974315 0.831894478264569 1.12805898745152 0.0312760750256845 0.168105521735431 -0.128058987451523
"AgeGr45-49" 0.460660359451565 0.326978783628368 0.594341935274762 1.58512038868571 1.3867720545969 1.8118382457292 -0.585120388685709 -0.386772054596904 -0.811838245729201
"AgeGr50-54" 0.819529097104665 0.689116185919729 0.949942008289601 2.26943090428669 1.99195423782624 2.58555971393794 -1.26943090428669 -0.991954237826241 -1.58555971393794
"AgeGr55-59" 1.20329312484315 1.08059642574936 1.32598982393695 3.33106850482331 2.94643635762363 3.765911099731 -2.33106850482331 -1.94643635762363 -2.765911099731
"AgeGr60-64" 1.62866798948885 1.51153759521102 1.74579838376668 5.09708082953434 4.53369642769511 5.73047476758708 -4.09708082953434 -3.53369642769511 -4.73047476758708
"AgeGr65-69" 2.21000325744144 2.09906878418807 2.3209377306948 9.11574608700098 8.15856898562313 10.1852208235421 -8.11574608700098 -7.15856898562313 -9.18522082354213
"AgeGr70-74" 2.80841657560716 2.70015759342043 2.91667555779389 16.583638480596 14.8820768574744 18.4797503660909 -15.583638480596 -13.8820768574744 -17.4797503660909
"AgeGr75-79" 3.52356530485234 3.41616923103056 3.63096137867411 33.9050952296677 30.4525346683206 37.7490903484203 -32.9050952296677 -29.4525346683206 -36.7490903484203
"AgeGr80+" 4.08316210124757 3.97765433687965 4.18866986561548 59.3327898201558 53.3916484079304 65.9350301557629 -58.3327898201558 -52.3916484079304 -64.9350301557629
"SexM" 0.377868096637109 0.354652182066779 0.401084011207439 1.45917046069076 1.42568468933166 1.49344272915675 -0.459170460690755 -0.42568468933166 -0.493442729156752
