"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunityboost_001-061" -1.79832325339535 -1.87383623537692 -1.72281027141378 0.165576285068284 0.153533539818417 0.178563629871608 0.834423714931716 0.846466460181583 0.821436370128392
"Immunityboost_062-122" -1.55823174686756 -1.60610416341691 -1.51035933031821 0.210507973678862 0.200667862427748 0.220830612566753 0.789492026321138 0.799332137572252 0.779169387433247
"Immunityboost_123-183" -1.14995619993569 -1.21555491272698 -1.0843574871444 0.316650638393645 0.296545411805124 0.338118961897797 0.683349361606355 0.703454588194876 0.661881038102203
"Immunityboost_184-244" -0.588753019812688 -0.658842071715767 -0.518663967909609 0.555018951033317 0.517450157901024 0.595315377341223 0.444981048966683 0.482549842098976 0.404684622658777
"Immunityboost_245-305" -0.473910255830538 -0.529585279249424 -0.418235232411651 0.622563121470969 0.588849126998227 0.658207378503669 0.377436878529031 0.411150873001773 0.341792621496331
"Immunityboost_306-366" -0.460451829505543 -0.524365641642737 -0.396538017368349 0.630998477358062 0.59193074150521 0.672644704033655 0.369001522641938 0.40806925849479 0.327355295966345
"Immunityfull_001-061" -0.505722510167991 -0.658564568859657 -0.352880451476324 0.6030696939957 0.517593771723437 0.702661190464242 0.3969303060043 0.482406228276563 0.297338809535758
"Immunityfull_062-122" -0.415666664060134 -0.553249939028924 -0.278083389091345 0.659900202280911 0.575077802277794 0.757233673853461 0.340099797719089 0.424922197722206 0.242766326146539
"Immunityfull_123-183" -0.166286568762306 -0.281331708233338 -0.0512414292912741 0.84680353197555 0.75477792789835 0.950049273119229 0.15319646802445 0.24522207210165 0.049950726880771
"Immunityfull_184-244" -0.123690708024818 -0.197886452613303 -0.0494949634363327 0.883653105435662 0.820463009279498 0.951709951472155 0.116346894564338 0.179536990720502 0.0482900485278454
"Immunityfull_245-305" -0.102749020064931 -0.179499763840927 -0.0259982762889358 0.902353417666029 0.835688148298473 0.974336769082371 0.0976465823339708 0.164311851701527 0.025663230917629
"Immunityfull_306-366" -0.0672617932306035 -0.161533377759365 0.0270097912981583 0.934950405608104 0.850838131920993 1.02737786207721 0.0650495943918958 0.149161868079007 -0.0273778620772114
"Immunityhybridboost_001-061" -3.06138219902692 -3.38495070919692 -2.73781368885692 0.0468229318615172 0.033879312243027 0.064711672196342 0.953177068138483 0.966120687756973 0.935288327803658
"Immunityhybridboost_062-122" -2.72406607001152 -2.92273393153446 -2.52539820848858 0.0656074468768003 0.0537864376687982 0.0800264392335681 0.9343925531232 0.946213562331202 0.919973560766432
"Immunityhybridboost_123-183" -2.57017360031714 -2.85463692713853 -2.28571027349576 0.0765222599821651 0.0575767218715769 0.101701800353256 0.923477740017835 0.942423278128423 0.898298199646744
"Immunityhybridboost_184-244" -2.07749843512486 -2.31803883577798 -1.83695803447173 0.125243124451234 0.0984665053562424 0.159301278800922 0.874756875548766 0.901533494643758 0.840698721199078
"Immunityhybridboost_245-305" -1.93128790828144 -2.16059784739884 -1.70197796916404 0.144961381244319 0.115256194820162 0.182322538801919 0.855038618755682 0.884743805179838 0.817677461198081
"Immunityhybridboost_306-366" -1.67854194714196 -1.96441733100075 -1.39266656328318 0.186645917352065 0.140237574902314 0.248412014315423 0.813354082647935 0.859762425097686 0.751587985684577
"Immunityhybridfull_001-061" -2.57360807940482 -3.3743049033501 -1.77291125545954 0.0762598966790488 0.0342419114793878 0.169837827102612 0.923740103320951 0.965758088520612 0.830162172897388
"Immunityhybridfull_062-122" -2.03546572667388 -2.2820043302103 -1.78892712313747 0.130619635287753 0.10207940070798 0.167139393495399 0.869380364712247 0.89792059929202 0.832860606504601
"Immunityhybridfull_123-183" -1.72530696423282 -1.99838810691285 -1.4522258215528 0.178118367412252 0.135553605152633 0.234048757123666 0.821881632587748 0.864446394847367 0.765951242876334
"Immunityhybridfull_184-244" -1.41381952280168 -1.67026916308055 -1.15736988252281 0.243212550924559 0.188196403297177 0.314311771590157 0.756787449075441 0.811803596702823 0.685688228409843
"Immunityhybridfull_245-305" -1.67941329862469 -1.99057880356908 -1.3682477936803 0.186483353990433 0.136616328538393 0.254552597684165 0.813516646009567 0.863383671461607 0.745447402315835
"Immunityhybridfull_306-366" -1.37780155061719 -1.70150701428341 -1.05409608695098 0.252132244182405 0.182408424714025 0.348507305274524 0.747867755817595 0.817591575285975 0.651492694725476
"Immunityinf_062-122" -1.38411384334418 -1.65713646372558 -1.11109122296279 0.250545724208367 0.190684230267457 0.329199534911977 0.749454275791633 0.809315769732543 0.670800465088023
"Immunityinf_123-183" -1.38039052810635 -1.75869169926402 -1.00208935694867 0.251480323745735 0.17227009754961 0.367111612118565 0.748519676254265 0.82772990245039 0.632888387881435
"Immunityinf_184-244" -1.07905459364832 -1.43283923077468 -0.725269956521964 0.339916733223803 0.238630432637138 0.484193840025583 0.660083266776197 0.761369567362862 0.515806159974417
"Immunityinf_245-305" -1.36834748704452 -1.7468467734394 -0.989848200649632 0.254527221744261 0.174322756876279 0.3716331004037 0.745472778255739 0.825677243123721 0.6283668995963
"Immunityinf_306-366" -1.02398917233783 -1.28714708254038 -0.760831262135282 0.359159330164244 0.276057229212475 0.467277835150419 0.640840669835756 0.723942770787525 0.532722164849581
"Immunityother" -0.387130831450853 -0.441654097687069 -0.332607565214636 0.67900225426513 0.642972002497491 0.717051534913337 0.32099774573487 0.357027997502509 0.282948465086663
"Immunitysecboost_001-061" -1.41541815896379 -1.53670297054358 -1.294133347384 0.242824053161596 0.215089088719418 0.274135341522335 0.757175946838404 0.784910911280582 0.725864658477665
"Immunitysecboost_062-122" -1.02985106190037 -1.17916211381068 -0.880540009990054 0.35706013646727 0.307536311105629 0.414558985232271 0.64293986353273 0.692463688894371 0.585441014767729
"Immunitysecboost_123-183" -0.623947251296724 -0.88659562362619 -0.361298878967257 0.535825221007613 0.41205616190216 0.696770717230602 0.464174778992387 0.58794383809784 0.303229282769398
"AgeGr70-74" 0.603867083774999 0.553420702472318 0.654313465077679 1.82917872830793 1.73919211289808 1.92382129339284 -0.829178728307928 -0.739192112898082 -0.923821293392836
"AgeGr75-79" 1.3176565800655 1.26928227071424 1.36603088941677 3.73465923967596 3.55829775113032 3.91976181084521 -2.73465923967596 -2.55829775113032 -2.91976181084521
"AgeGr80+" 1.90466289387497 1.86044148912867 1.94888429862127 6.71714285592275 6.42657340750506 7.02085003715699 -5.71714285592275 -5.42657340750506 -6.02085003715699
"SexM" 0.465272434437928 0.439273272175008 0.491271596700848 1.59244796746325 1.55157923289049 1.63439318812849 -0.592447967463252 -0.55157923289049 -0.634393188128489
