"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunityboost_001-061" -1.96505930576737 -2.0365443129053 -1.89357429862944 0.140147574809879 0.130478826698332 0.150532796945681 0.859852425190121 0.869521173301668 0.849467203054319
"Immunityboost_062-122" -1.65850363464589 -1.70484466176264 -1.61216260752914 0.190423710461004 0.181800624570631 0.199455802703519 0.809576289538996 0.818199375429369 0.800544197296481
"Immunityboost_123-183" -1.21925767975642 -1.2874129666614 -1.15110239285144 0.295449403615286 0.275983839735714 0.316287903596888 0.704550596384714 0.724016160264286 0.683712096403112
"Immunityboost_184-244" -0.945824728115278 -1.26949076079541 -0.62215869543515 0.388359148080813 0.28097466866953 0.536784431892847 0.611640851919187 0.71902533133047 0.463215568107153
"Immunityboost_245-305" 0.414105385677496 -1.95045996049113 2.77867073184612 1.51301656875896 0.142208646182376 16.0976086812846 -0.513016568758963 0.857791353817624 -15.0976086812846
"Immunityfull_001-061" -0.647316324884699 -0.778135774764247 -0.516496875005151 0.52344865962009 0.459261380412333 0.596606879969025 0.47655134037991 0.540738619587667 0.403393120030975
"Immunityfull_062-122" -0.622434630289792 -0.739373279293084 -0.505495981286501 0.536636334792174 0.477413026411153 0.603206322173471 0.463363665207826 0.522586973588847 0.396793677826529
"Immunityfull_123-183" -0.463731568081722 -0.567237833865583 -0.360225302297861 0.628932357329192 0.56708967325779 0.697519155697692 0.371067642670808 0.43291032674221 0.302480844302308
"Immunityfull_184-244" -0.488713052048484 -0.560771856330396 -0.416654247766572 0.613415320011808 0.570768342625517 0.659248817294806 0.386584679988192 0.429231657374483 0.340751182705194
"Immunityfull_245-305" -0.2974098252987 -0.377562289514858 -0.217257361082542 0.742739556518741 0.685530498892146 0.804722838311602 0.257260443481259 0.314469501107854 0.195277161688398
"Immunityfull_306-366" -0.0771655962791594 -0.1861868049061 0.031855612347781 0.925736542386061 0.830118510286727 1.03236843328899 0.074263457613939 0.169881489713273 -0.0323684332889906
