"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunity_other" -0.298326647892999 -0.404533648201027 -0.19211964758497 0.742058908176212 0.66728792923376 0.825208128425131 0.257941091823788 0.33271207076624 0.174791871574869
"Immunityboost_001-061" -0.623944894900846 -1.16896812428809 -0.0789216655136009 0.535826483625443 0.310687366665119 0.924112311473144 0.464173516374557 0.689312633334881 0.0758876885268562
"Immunityboost_062-122" -0.991150217650056 -1.58337504067851 -0.398925394621604 0.37114954265757 0.205281095671848 0.671040762736022 0.62885045734243 0.794718904328152 0.328959237263978
"Immunityboost_123-183" -0.382831073140452 -0.649491111610555 -0.116171034670348 0.681928085526618 0.522311507403453 0.890322934184933 0.318071914473382 0.477688492596547 0.109677065815067
"Immunityboost_184-244" -0.458864014645738 -0.550692192581186 -0.367035836710291 0.632001181960895 0.576550588187285 0.692784817470728 0.367998818039105 0.423449411812715 0.307215182529272
"Immunityboost_245-305" -0.356231730588314 -0.41503621916317 -0.297427242013457 0.700310318108777 0.660316364165729 0.742726620548398 0.299689681891223 0.339683635834271 0.257273379451602
"Immunityboost_306-366" -0.312593267696056 -0.375228742507608 -0.249957792884504 0.731547396024544 0.687132084497083 0.778833654699707 0.268452603975456 0.312867915502917 0.221166345300293
"Immunityboost_367-427" -0.277848336061777 -0.364128152703023 -0.191568519420531 0.757411684842782 0.694802148263893 0.825663049214545 0.242588315157218 0.305197851736107 0.174336950785455
"Immunityboost_428-488" -0.193880627406591 -0.335214227195885 -0.0525470276172977 0.823756232317411 0.715184857893649 0.948809699747145 0.176243767682589 0.284815142106351 0.0511903002528554
"Immunityboost45_062-122" -1.19496935948383 -3.15590818401188 0.765969465044216 0.302713229329642 0.0425996950572954 2.15107875978767 0.697286770670358 0.957400304942705 -1.15107875978767
"Immunityfull_062-122" -1.02620100630161 -2.98652914219812 0.934127129594906 0.358365807253348 0.0504622805191301 2.54499104057848 0.641634192746652 0.94953771948087 -1.54499104057848
"Immunityfull_123-183" 0.413436105235729 -0.0510925681442349 0.877964778615692 1.51200427515337 0.950190709070667 2.40599798151892 -0.512004275153366 0.0498092909293328 -1.40599798151892
"Immunityfull_184-244" 0.0381299882566287 -0.191216186453133 0.26747616296639 1.03886626451664 0.82595400878106 1.30666248250735 -0.0388662645166389 0.17404599121894 -0.306662482507348
"Immunityfull_245-305" 0.0684832244113297 -0.0984305188346208 0.23539696765728 1.07088266011327 0.906258658334496 1.26541099628094 -0.0708826601132742 0.0937413416655043 -0.26541099628094
"Immunityfull_306-366" -0.0593009503872415 -0.231229151162375 0.112627250387892 0.942423103876596 0.793557600552117 1.11921466835231 0.0575768961234042 0.206442399447883 -0.119214668352315
"Immunityfull_367-427" 0.0134843405966754 -0.111374038785459 0.138342719978809 1.0135756643358 0.894604069721726 1.14836905185702 -0.0135756643358047 0.105395930278274 -0.148369051857018
"Immunityfull_428-488" 0.0994261808066413 -0.0126208822155869 0.21147324382887 1.10453693170508 0.987458427116498 1.23549690801975 -0.104536931705084 0.0125415728835022 -0.235496908019752
"Immunityfull_489-549" 0.0147789823410591 -0.117479073738627 0.147037038420746 1.01488873149432 0.889159118327876 1.15839686742586 -0.0148887314943211 0.110840881672124 -0.158396867425861
"Immunityhybridboost_001-061" -1.94598741729559 -2.26636056352493 -1.62561427106624 0.142846104963548 0.103688863241046 0.196790755202142 0.857153895036452 0.896311136758954 0.803209244797858
"Immunityhybridboost_062-122" -2.09492390473925 -2.40373973330439 -1.7861080761741 0.123079609072577 0.0903793259208726 0.167611232050137 0.876920390927423 0.909620674079127 0.832388767949863
"Immunityhybridboost_123-183" -2.01557871903441 -2.32425380004535 -1.70690363802346 0.13324327063209 0.0978564372832527 0.181426686497352 0.86675672936791 0.902143562716747 0.818573313502648
"Immunityhybridboost_184-244" -1.65968007311571 -1.872617004464 -1.44674314176742 0.190199820404712 0.153720846818373 0.235335495677616 0.809800179595288 0.846279153181627 0.764664504322384
"Immunityhybridboost_245-305" -1.63497593840135 -1.83208389919823 -1.43786797760447 0.194957062221332 0.160079630136936 0.237433432832516 0.805042937778668 0.839920369863064 0.762566567167484
"Immunityhybridboost_306-366" -1.64644400716554 -1.90705792943542 -1.38583008489566 0.192734052403942 0.148516691046585 0.250116096004279 0.807265947596058 0.851483308953415 0.749883903995721
"Immunityhybridboost_367-427" -1.03455123567636 -1.33501749157127 -0.734084979781439 0.355385829626296 0.263153572446304 0.479944416961856 0.644614170373704 0.736846427553696 0.520055583038144
"Immunityhybridboost_428-488" -0.424188040704557 -0.905929445263522 0.0575533638544092 0.654300835150288 0.404166060245386 1.05924179437146 0.345699164849712 0.595833939754614 -0.059241794371456
"Immunityhybridfull_062-122" -1.31711534630495 -2.05893593430282 -0.575294758307084 0.267907007317964 0.127589661471729 0.562539031314628 0.732092992682036 0.872410338528271 0.437460968685372
"Immunityhybridfull_123-183" -1.84048495220536 -2.53488394074804 -1.14608596366268 0.158740425918096 0.0792709188544172 0.317878525754647 0.841259574081904 0.920729081145583 0.682121474245353
"Immunityhybridfull_184-244" -1.93014324498427 -2.38216341188319 -1.47812307808535 0.145127408221301 0.0923505689196513 0.228065347765825 0.854872591778699 0.907649431080349 0.771934652234175
"Immunityhybridfull_245-305" -1.66834954277847 -2.00233351004001 -1.33436557551694 0.188558015902129 0.13501984517649 0.263325182416506 0.811441984097871 0.86498015482351 0.736674817583494
