"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunity_other" -5.02691472958949 -5.13803836428173 -4.91579109489725 0.00655901572247345 0.00586919164431486 0.00732991693827643 0.993440984277527 0.994130808355685 0.992670083061724
"Immunityboost_001-061" -5.18693334568634 -5.73193333540575 -4.64193335596693 0.00558912046106117 0.00324080560876034 0.00963904389816264 0.994410879538939 0.99675919439124 0.990360956101837
"Immunityboost_062-122" -5.42555288234088 -5.99294213350078 -4.85816363118097 0.00440263135166093 0.00249630876175128 0.00776472971437618 0.995597368648339 0.997503691238249 0.992235270285624
"Immunityboost_123-183" -4.52976824277433 -4.79514614589985 -4.26439033964881 0.0107831748618656 0.00826979014352875 0.0140604366112674 0.989216825138134 0.991730209856471 0.985939563388733
"Immunityboost_184-244" -4.45133193421969 -4.53966162503726 -4.36300224340211 0.0116630222419866 0.0106770187781765 0.0127400813507145 0.988336977758013 0.989322981221823 0.987259918649286
"Immunityboost_245-305" -4.48113856737753 -4.53721111065267 -4.42506602410239 0.0113205166433401 0.0107032150503388 0.0119734207403489 0.98867948335666 0.989296784949661 0.988026579259651
"Immunityboost_306-366" -4.71617200932731 -4.7799119514009 -4.65243206725373 0.00894937117153596 0.00839673825598479 0.00953837572688821 0.991050628828464 0.991603261744015 0.990461624273112
"Immunityboost_367-427" -5.05623149978047 -5.14843481329073 -4.96402818627021 0.00636951787051061 0.00580848898546817 0.00698473527353757 0.993630482129489 0.994191511014532 0.993015264726462
"Immunityboost_428-488" -5.15043097355611 -5.29860874317834 -5.00225320393387 0.00579690587527187 0.00499854332907872 0.00672278212159765 0.994203094124728 0.995001456670921 0.993277217878402
"Immunityfull_062-122" -5.52523282187728 -7.48563313472563 -3.56483250902893 0.00398494080271746 0.000561087813310635 0.028301725370697 0.996015059197283 0.999438912186689 0.971698274629303
"Immunityfull_123-183" -3.96669557486253 -4.43155285109533 -3.50183829862972 0.0189359021372613 0.0118960026019999 0.0301419226061416 0.981064097862739 0.988103997398 0.969858077393858
"Immunityfull_184-244" -4.20163817076463 -4.43039284696627 -3.97288349456299 0.0149710316150397 0.0119098100209207 0.0188190900799267 0.98502896838496 0.988090189979079 0.981180909920073
"Immunityfull_245-305" -4.23311328739929 -4.39953120196682 -4.06669537283177 0.0145071552261088 0.0122830968451839 0.0171339162596389 0.985492844773891 0.987716903154816 0.982866083740361
"Immunityfull_306-366" -4.4772959682967 -4.64959268462722 -4.30499925196618 0.0113641005342695 0.00956549731126855 0.013500895640925 0.98863589946573 0.990434502688731 0.986499104359075
"Immunityfull_367-427" -4.27246188191187 -4.39714745317263 -4.14777631065111 0.0139474039903811 0.0123124115880878 0.015799510654688 0.986052596009619 0.987687588411912 0.984200489345312
"Immunityfull_428-488" -4.22737273565146 -4.33971190813359 -4.11503356316932 0.0145906737933715 0.0130402844622272 0.0163253924683341 0.985409326206628 0.986959715537773 0.983674607531666
"Immunityfull_489-549" -4.50430669376825 -4.63880531527992 -4.36980807225658 0.0110612563670173 0.00966924242614869 0.012653668925086 0.988938743632983 0.990330757573851 0.987346331074914
"Immunityhybridboost_001-061" -6.36193968274734 -6.68269895045068 -6.041180415044 0.00172601554023793 0.00125239325967817 0.00237874934420231 0.998273984459762 0.998747606740322 0.997621250655798
