"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.00321452415959616 0.000389258326843549 0.00048777394551198 0.000337266693943425 0.000210738064021199 0.000257784813790673 0.000402898597259426 0.000695701526117435 0.000915080009206539 0.000495092237215581 0.000381469917274053 0.000321458371539179 0.000357508702882397 0.000466802392326814 0.000423185009006172 0.000393657984751815 0.00052444457945692 0.000426676277324818 0.0005849299799265 0.000554614736344918 0.000344325711984469 0.000361405388997591 0.000547711520582995 0.000777719454138329 0.000928696314851936 0.000520627353138587 0.000433965157604916 0.000328689808129461 0.000372717506811092 0.000514470927524713 0.000610412873532654 0.000619196297188103 0.000634612214099206 0.000557748465768585 0.000478290676638484 0.000424674447148925 0.000512811216690155 0.000690117995419429 0.000897040548696863 0.00100621786497313 0.000406967102863492 0.000415252600135576 0.000657022696395611 0.000816154464487436 0.000944340352472006 -0.000252974897802982 -3.90041096711718e-05 -1.58052279313442e-06 1.5739954418199e-05 3.44208009096767e-06 6.30913510700297e-06 8.34252196849285e-06 9.977763353936e-06 1.6195212146794e-05 2.38464982334625e-05 3.73745555422067e-05 5.6635086735975e-05 5.51067264575288e-05 5.66623210165462e-05 7.55237769761514e-05 1.49810530191493e-05
"Immunityboost_001-061" 0.000389258326843549 0.0773208832004304 0.000404907442977751 0.000331688191004629 0.000281275777945052 0.000329719200123777 0.000423887981728629 0.000465884408349408 0.000431594441896565 0.000343495286563264 0.00022776948783459 0.000263849514948928 0.00035290123615941 0.000400041048778644 0.000367951853892067 0.000396323327422568 0.000439486468735257 0.000421892577845242 0.000440333042582317 0.000389212627380496 0.000348617714978393 0.00038583114295904 0.000449365319519831 0.000458451720759904 0.000433417647645893 0.000416415935509236 0.000340395246796629 0.000332159320552636 0.00038182540971948 0.000428710098045574 0.000432308481458031 0.000430511708653772 0.00045087673584423 0.00039758537772318 0.000298213252474873 0.000259945625405864 0.000302738904698075 0.00035321068167353 0.000368366608873105 0.0003357273283862 0.000242074211575235 0.000418987800578057 0.000453719551919014 0.000445494236128352 0.00042755993209686 0.000194273728332637 -7.62138074849837e-05 -7.95462290532497e-05 -4.86224650202042e-05 -1.32041039747196e-05 -1.38643698257544e-05 -3.85652311913454e-07 2.05493968384352e-06 1.0221805088806e-05 1.27614624119112e-05 -6.86652072590753e-07 -1.17159499094556e-05 -4.97276503940525e-06 3.70489705774966e-06 3.530072656315e-05 3.09926233140891e-07
"Immunityboost_062-122" 0.00048777394551198 0.000404907442977751 0.0838042466048425 0.000378771799726631 0.00029805287756823 0.000313808475599184 0.000414720139098468 0.000607080318060435 0.000676010804766711 0.00039468335979898 0.000252827689811758 0.000266741657604527 0.000342836034012113 0.000443204541095723 0.000426727888013223 0.000408784590093857 0.000501716596485285 0.000433173517691149 0.000530609911111996 0.000497241734862633 0.000369175429837399 0.000387500249057793 0.000512435459359437 0.000641778018034645 0.000681610853399576 0.000475579038229023 0.000408068928181038 0.000346300312805807 0.000391381300453296 0.000488299538898551 0.000546662355630424 0.000540124002242903 0.000566990663289519 0.000451426068762196 0.000361581423108694 0.000261243088889418 0.000300804956237296 0.000411771214335536 0.000522188247703126 0.000556335889770204 0.000260158656750634 0.000424458331553909 0.000572248972298521 0.000646933929309218 0.00067955247456717 0.000246793859478925 -0.000149781056404119 -0.000164456760055618 -8.99102783085099e-05 -3.22167822013858e-05 -2.20305696334747e-05 -3.06948615707128e-06 9.02814109264494e-06 2.84307401976763e-05 4.17566048089113e-05 3.52018542772972e-05 2.82116287405072e-05 3.65315197373983e-05 4.69975777258064e-05 8.47250674234278e-05 -8.2101015759518e-07
"Immunityboost_123-183" 0.000337266693943425 0.000331688191004629 0.000378771799726631 0.0183329913854377 0.000450170011276173 0.00033209880135627 0.000307322114799881 0.000379023718703252 0.000437017198944923 0.000346811607946405 0.00037073547200063 0.000340831078640245 0.000325614704781353 0.00037977077861367 0.0004072732265455 0.000357677884598163 0.000363693320435721 0.000317391414331083 0.000361546374025231 0.000399831746748692 0.000374813648890837 0.000340089509171705 0.000359504880152511 0.000420607034003112 0.000451481427719246 0.000367898654111572 0.000422857237224385 0.000388151155512858 0.00036984090369929 0.000385875354174436 0.000417909279130905 0.000411709333807914 0.000408906588521667 0.000331399348722715 0.000377737688307341 0.000285507186871695 0.000253383936839138 0.000265691782030072 0.000308320200375308 0.000362813865694067 0.000320016286439032 0.000306432872043888 0.000359462692600084 0.000403695578967804 0.000444159438509913 0.000347475819006196 -0.000128438689548893 -0.0002260135843541 -8.22155538200202e-05 -5.28602636668171e-06 8.44825812969414e-06 1.57691963422034e-05 5.15794777330204e-06 2.55395814822657e-05 5.49567787260535e-05 7.43295248382315e-05 8.0084346871617e-05 0.000109433218237402 0.000133582228009715 0.000193720982615982 3.6147563987968e-06
"Immunityboost_184-244" 0.000210738064021199 0.000281275777945052 0.00029805287756823 0.000450170011276173 0.00203103420968557 0.000360821993167003 0.000242962034067002 0.000225588934950439 0.000220512473852596 0.000283579850358194 0.000393762840051183 0.000371859616767525 0.000293315372072551 0.00030156963464444 0.000359866935157803 0.000303158447618376 0.00026121110144316 0.000252890429854366 0.000244144738987023 0.000314865621957175 0.000367899706287335 0.000309110621619187 0.000248404312648117 0.00024246631007558 0.000232107390926906 0.000268422994101544 0.000384409140354187 0.000373316077548942 0.000324260590409053 0.000279171990194716 0.000285955552582729 0.000276715664621678 0.000263903169456556 0.000229120869089887 0.000345629238644536 0.000277512650314182 0.000199447496713792 0.000136406436674371 0.000118038633913366 0.000147889013375014 0.000337840957808231 0.000245465014799632 0.000215940610646941 0.000214522196161037 0.000219614985401872 0.000291308660763197 4.31859346903614e-05 -1.68833175550203e-05 2.28573305640791e-05 6.92517288375085e-05 5.99084845201479e-05 4.27026115937499e-05 -1.80002341707712e-05 -2.07105152173542e-05 -1.56550402301085e-05 -1.35283138044844e-05 -3.04226360466544e-05 7.11710564974572e-06 4.7533067238196e-05 0.000126677363095684 -1.13535597080302e-06
"Immunityboost_245-305" 0.000257784813790673 0.000329719200123777 0.000313808475599184 0.00033209880135627 0.000360821993167003 0.000818472943769321 0.000331389120716403 0.000275197643301429 0.000270341607876207 0.000274195322739669 0.000254192034222122 0.000309141027592597 0.000335520139518377 0.000300927764789502 0.000337833473044455 0.000349741704573692 0.000307078676500298 0.000324098751017683 0.000295660960208827 0.000312314996312608 0.000358841389196352 0.000355008776920947 0.000307639009246771 0.0002788170038707 0.0002752894128655 0.000297516831894589 0.000312850476467741 0.000347987630759329 0.000340546889218157 0.000311954151841976 0.000302832708917247 0.000312060126295201 0.000292829435380383 0.000266967114474055 0.00027091807777108 0.00027250002071745 0.000237684975554793 0.000198000127006113 0.000158464361685515 0.000165696378393578 0.000273681632461872 0.000323039730683327 0.000280390102400919 0.000267627078799997 0.000270826554792181 0.000202400651749437 3.15326069217435e-05 1.72497519994553e-06 2.53403751574182e-05 5.67512327775154e-05 4.7191824788112e-05 3.36414515562512e-05 -1.79423048276872e-05 -2.25373095478483e-05 -2.76288435150384e-05 -4.58204955881532e-05 -7.08013458737814e-05 -5.9763827816693e-05 -3.92784445576631e-05 2.63909058038119e-05 -5.11719843817927e-06
"Immunityboost_306-366" 0.000402898597259426 0.000423887981728629 0.000414720139098468 0.000307322114799881 0.000242962034067002 0.000331389120716403 0.00105761389232075 0.000492646739774668 0.000447869867451871 0.000336633788164382 0.000182253192551168 0.000229660701635415 0.00035811923203494 0.00040379533614382 0.000350732949120018 0.00041475219478871 0.000463968606020068 0.000464189624745683 0.000472894122745974 0.000392316930178527 0.000347860115854147 0.000407301696850058 0.0004868825027872 0.000473849893423277 0.000446895203005293 0.000433553242046635 0.000312730401328362 0.00030627989508233 0.000383382227584485 0.000441625394295819 0.000432276364562984 0.000442006018490008 0.000461531563471062 0.000418191880875975 0.000268229745925983 0.000233617908960494 0.000304240153353295 0.000364496919642629 0.000364578901302213 0.000317325905620023 0.000204519776472058 0.000464190348946871 0.000490887010809629 0.000465967442618444 0.00044432882855803 0.000157663141261062 3.57639552521069e-05 1.32166802532791e-05 3.08257491407194e-05 5.37157204570931e-05 4.2856997955844e-05 3.00761848958506e-05 -1.5262244113296e-05 -2.01634426462776e-05 -2.66220394286763e-05 -4.49119424755996e-05 -6.51982216606033e-05 -7.63017595070056e-05 -7.70859837557949e-05 -2.68250084817513e-05 -5.70030581486387e-06
"Immunityboost_367-427" 0.000695701526117435 0.000465884408349408 0.000607080318060435 0.000379023718703252 0.000225588934950439 0.000275197643301429 0.000492646739774668 0.00221307878571371 0.00109303475022268 0.000477149641724883 0.000197800942771441 0.000191083024965821 0.000305709093250287 0.000516238226436117 0.000470498859131375 0.000435441313525249 0.00067438879946877 0.000546511218747308 0.000775880141016511 0.000692274771075537 0.000375835955654335 0.000416876612232012 0.000703964247674335 0.00101322184934564 0.00108793572379961 0.000617036124021066 0.000453989111831427 0.000278043390636601 0.000375597381577501 0.000602824980999776 0.000738499612439709 0.000719847863717094 0.000793541086774258 0.000602821513117588 0.000413533851981669 0.000202278034848031 0.000296109249756306 0.000561104608822899 0.00082694227955627 0.000882876134152156 0.000210231789804208 0.000535831683471439 0.000884536562644627 0.00105523947767671 0.00108961871061382 0.000117438571805497 6.20354891204373e-05 4.44136330240533e-05 4.8296511720559e-05 5.96139593439403e-05 4.52183352819162e-05 2.98774690122426e-05 -1.85999251923993e-05 -2.66968589614053e-05 -4.23664412339214e-05 -7.26889359431314e-05 -9.71226257097535e-05 -0.000116428356915295 -0.000117820727385361 -6.9828562894101e-05 -1.70031823201795e-06
"Immunityboost_428-488" 0.000915080009206539 0.000431594441896565 0.000676010804766711 0.000437017198944923 0.000220512473852596 0.000270341607876207 0.000447869867451871 0.00109303475022268 0.00571570656749953 0.000529155454224683 0.000223392807254158 0.000185473279237197 0.000277341526683298 0.000478428479956395 0.000548033514535453 0.000455595031066183 0.000681217569052078 0.000504053460636041 0.000884580047605475 0.000952597802129888 0.000454069198849214 0.000394508806065288 0.000739976608464741 0.00137269811795203 0.00205999992429612 0.000634020344717768 0.000547276154084137 0.000285522378372374 0.000331766664141927 0.000609278262296769 0.000901923091010138 0.0010015950779755 0.000931386266125528 0.000615096324596797 0.000511265743487163 0.000219051240303675 0.00025953194302816 0.000574961806891776 0.00108831273155149 0.0016055305143547 0.000264135233821509 0.000490889899034316 0.00106762430242908 0.00158968330079171 0.00217952332698803 5.51300749583e-05 5.44432200759833e-05 4.23462681249451e-05 4.42685121853164e-05 4.5438905130804e-05 3.47188271912718e-05 2.20802036122674e-05 -9.6505723452604e-06 -1.66052578802567e-05 -3.26629282490368e-05 -7.75519459256154e-05 -0.000104117962176439 -0.000158120509496187 -0.000182197249985704 -0.000151382400384457 -2.63260210072163e-06
"Immunityfull_062-122" 0.000495092237215581 0.000343495286563264 0.00039468335979898 0.000346811607946405 0.000283579850358194 0.000274195322739669 0.000336633788164382 0.000477149641724883 0.000529155454224683 1.00044529070898 0.000443848534359357 0.000379034469829823 0.000361753157984023 0.000422725895206317 0.000381404863350346 0.00034865859410285 0.000411064257573456 0.000351372013208218 0.00042296586727646 0.000407720903084791 0.000319770413512303 0.000326098048455787 0.000412466213927974 0.000507479573540106 0.000535907887900781 0.000423318496683602 0.000399590567072487 0.000352096234476662 0.000363077326542115 0.000424854620092887 0.000461478357102921 0.000447605306837967 0.000466885990217003 0.000458837599964789 0.000450556810046092 0.000454516863040179 0.000507985782331107 0.000592977876273795 0.000688782526869979 0.000711018810556457 0.000440708067909612 0.000342661909739634 0.000448718287031681 0.000504919691790342 0.000532219521522508 -0.000247602615055454 -0.000397977313223413 -0.000198791318866426 -9.48527439088491e-05 -8.07271108162768e-05 -8.90149135179481e-05 -3.55472596010181e-05 2.74049990600881e-05 4.06899104981405e-05 6.03877996132043e-05 6.2564541783543e-05 6.94693851268414e-05 7.73458883296936e-05 8.94031783836973e-05 0.000113191902250446 1.1909140982932e-05
