"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunityboost_001-061" -0.889234345667669 -1.48187882859478 -0.296589862740562 0.410970293507917 0.227210397714287 0.743348824900029 0.589029706492083 0.772789602285713 0.256651175099971
"Immunityboost_062-122" -0.941606726047935 -1.59649484135541 -0.286718610740459 0.39000070738674 0.202605439034547 0.750722944492237 0.60999929261326 0.797394560965453 0.249277055507763
"Immunityboost_123-183" -0.876216240122864 -1.44401061953917 -0.308421860706553 0.416355323559013 0.235979434538603 0.734605351499699 0.583644676440987 0.764020565461397 0.265394648500301
"Immunityboost_184-244" -0.41760536179983 -0.575528578979067 -0.259682144620593 0.658622094582897 0.562407513436708 0.7712967076525 0.341377905417103 0.437592486563292 0.2287032923475
"Immunityboost_245-305" -0.337197958944067 -0.406658045221372 -0.267737872666761 0.713767529249928 0.665871849435607 0.765108310620684 0.286232470750072 0.334128150564393 0.234891689379316
"Immunityboost_306-366" -0.381599592228727 -0.447558177613268 -0.315641006844186 0.682768384246834 0.639187028792835 0.729321224505202 0.317231615753166 0.360812971207165 0.270678775494798
"Immunityfull_062-122" -0.548720195157449 -2.50917997948611 1.41173958917121 0.577688666236524 0.0813349081954164 4.10308688486281 0.422311333763476 0.918665091804584 -3.10308688486281
"Immunityfull_123-183" 0.77162240313853 0.029336402998373 1.51390840327869 2.16327310933104 1.02977095425028 4.54445770318107 -1.16327310933104 -0.0297709542502782 -3.54445770318107
"Immunityfull_184-244" 0.049421533219751 -0.306068589526716 0.404911655966218 1.050663146826 0.736336112778526 1.49917005147666 -0.0506631468259968 0.263663887221474 -0.49917005147666
"Immunityfull_245-305" 0.00120346806259364 -0.186933088741327 0.189340024866514 1.00120419252087 0.829499237366603 1.20845178628941 -0.00120419252087411 0.170500762633397 -0.20845178628941
"Immunityfull_306-366" -0.0292044297196691 -0.227235514325505 0.168826654886167 0.971217898368189 0.796733118129284 1.1839148952732 0.0287821016318106 0.203266881870716 -0.183914895273202
"Immunityhybridboost_001-061" -1.61634673712298 -2.41776306287094 -0.814930411375032 0.198622997274673 0.0891207521699342 0.442670131095281 0.801377002725327 0.910879247830066 0.557329868904719
"Immunityhybridboost_062-122" -2.24643858567481 -2.72399499741517 -1.76888217393444 0.105775264088899 0.0656121099340955 0.170523497938332 0.894224735911101 0.934387890065905 0.829476502061668
"Immunityhybridboost_123-183" -2.58397637408791 -3.20548779517512 -1.9624649530007 0.0754732964957423 0.0405391220259367 0.140511639109742 0.924526703504258 0.959460877974063 0.859488360890258
"Immunityhybridboost_184-244" -1.92808552919848 -2.23429882228091 -1.62187223611605 0.14542634663982 0.107067176658184 0.19752853261951 0.85457365336018 0.892932823341816 0.80247146738049
"Immunityhybridboost_245-305" -1.65402367338387 -1.86922443735584 -1.43882290941189 0.191278715071008 0.154243240734294 0.237206808318058 0.808721284928992 0.845756759265706 0.762793191681942
"Immunityhybridboost_306-366" -1.75939619665508 -2.04045227400295 -1.47834011930721 0.172148776455544 0.129969915569656 0.228015853555419 0.827851223544456 0.870030084430344 0.771984146444581
"Immunityhybridfull_062-122" -1.46219923698591 -2.339943398102 -0.584455075869828 0.231726093335429 0.0963330907119561 0.557409524968512 0.768273906664571 0.903666909288044 0.442590475031488
"Immunityhybridfull_123-183" -1.44105727146127 -2.31889388865178 -0.563220654270767 0.23667739409947 0.0983823472727975 0.569372356225576 0.76332260590053 0.901617652727203 0.430627643774424
"Immunityhybridfull_184-244" -2.33005331758438 -3.02504183995761 -1.63506479521115 0.0972905596536196 0.048555789655328 0.194939739728357 0.90270944034638 0.951444210344672 0.805060260271643
"Immunityhybridfull_245-305" -1.626881193524 -1.99427009326704 -1.25949229378096 0.196541594441906 0.136112967689195 0.283798075977393 0.803458405558094 0.863887032310805 0.716201924022607
"Immunityhybridfull_306-366" -1.59151351913405 -1.96500028973064 -1.21802674853745 0.203617199871434 0.140155846008366 0.295813305432929 0.796382800128566 0.859844153991634 0.704186694567071
"Immunityinf_062-122" -0.948647330881218 -1.60350463541373 -0.293790026348708 0.387264510066162 0.201190182754493 0.745432996299792 0.612735489933838 0.798809817245507 0.254567003700208
"Immunityinf_123-183" -1.36698829969127 -2.16846538556229 -0.565511213820251 0.25487340713722 0.114352970045523 0.568069667450483 0.745126592862779 0.885647029954477 0.431930332549517
