"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunity_other" -2.42816737060515 -2.61007913530724 -2.24625560590305 0.0881983193971382 0.0735287248145889 0.10579462059345 0.911801680602862 0.926471275185411 0.89420537940655
"Immunityboost_001-061" -2.98145714731939 -3.04435559985099 -2.91855869478779 0.0507188751206675 0.0476269929424118 0.0540114782517612 0.949281124879333 0.952373007057588 0.945988521748239
"Immunityboost_062-122" -2.61949855257676 -2.68031405992841 -2.55868304522512 0.0728393787900574 0.0685416245959557 0.0774066143572926 0.927160621209943 0.931458375404044 0.922593385642707
"Immunityboost_123-183" -2.05541453354855 -2.15505005658877 -1.95577901050834 0.128039747803948 0.115897389039734 0.141454239422753 0.871960252196053 0.884102610960266 0.858545760577247
"Immunityfull_001-061" -2.53041747990392 -2.66772434564192 -2.39311061416592 0.079625771186661 0.0694099988886575 0.0913451021262957 0.920374228813339 0.930590001111342 0.908654897873704
"Immunityfull_062-122" -2.50203998243105 -2.61950732965731 -2.38457263520478 0.0819177173522932 0.072838739475768 0.0921283435779755 0.918082282647707 0.927161260524232 0.907871656422024
"Immunityfull_123-183" -2.09668741779977 -2.18192284929441 -2.01145198630514 0.122862747849495 0.112824377656157 0.133794266121572 0.877137252150505 0.887175622343843 0.866205733878428
"Immunityfull_184-244" -2.10249263636705 -2.16831183625027 -2.03667343648384 0.122151569015996 0.114370530213543 0.130461979892989 0.877848430984004 0.885629469786457 0.869538020107011
"Immunityfull_245-305" -2.00337112803786 -2.10542686525082 -1.90131539082491 0.134879818814567 0.121793673684184 0.149372007372276 0.865120181185433 0.878206326315816 0.850627992627724
"Immunityfull_306-366" -1.815747211139 -2.01700732189678 -1.61448710038122 0.162716279538072 0.133053054818053 0.19899270755503 0.837283720461928 0.866946945181947 0.80100729244497
"Immunityfull_367-427" -1.50531675201805 -1.90867208131892 -1.10196142271719 0.221946980542611 0.148277155925044 0.33221882268152 0.778053019457389 0.851722844074956 0.66778117731848
"Immunityfull_428-488" -0.805053770957187 -2.76733122029899 1.15722367838462 0.447063886859923 0.0628294591785443 3.18108927798243 0.552936113140077 0.937170540821456 -2.18108927798243
"Immunityhybridboost_001-061" -3.39910565407515 -3.53437234876149 -3.26383895938881 0.0334031305591761 0.0291770642640257 0.0382413090315281 0.966596869440824 0.970822935735974 0.961758690968472
"Immunityhybridboost_062-122" -3.09486954199116 -3.22723168439999 -2.96250739958232 0.0452809193335219 0.0396671581452141 0.0516891491995196 0.954719080666478 0.960332841854786 0.94831085080048
"Immunityhybridboost_123-183" -2.94391421430704 -3.30615476528901 -2.58167366332506 0.0526592053985564 0.036656857319893 0.0756472899192724 0.947340794601444 0.963343142680107 0.924352710080728
"Immunityhybridfull_001-061" -3.32380764550331 -3.66689050703583 -2.98072478397079 0.0360154363293201 0.0255558121438043 0.0507560333708971 0.96398456367068 0.974444187856196 0.949243966629103
"Immunityhybridfull_062-122" -3.68852467319463 -3.86145666814429 -3.51559267824496 0.0250088710965376 0.0210373327803285 0.0297301773021375 0.974991128903462 0.978962667219672 0.970269822697863
"Immunityhybridfull_123-183" -2.72568389774399 -2.87412621853623 -2.57724157695175 0.0655013911428727 0.0564654564237009 0.0759833093255707 0.934498608857127 0.943534543576299 0.924016690674429
"Immunityhybridfull_184-244" -2.38105490059711 -2.51267739777557 -2.24943240341866 0.0924529973286095 0.0810509428621511 0.105459065782631 0.907547002671391 0.918949057137849 0.894540934217369
"Immunityhybridfull_245-305" -2.23470741223825 -2.45949593431539 -2.00991889016111 0.10702343902103 0.0854780266499451 0.133999542909376 0.89297656097897 0.914521973350055 0.866000457090624
"Immunityhybridfull_306-366" -1.8627826096907 -2.29239457123681 -1.43317064814459 0.155240056319644 0.101024262194974 0.238551359470608 0.844759943680356 0.898975737805026 0.761448640529392
"Immunityhybridfull_367-427" -2.47619156475626 -3.86293912685998 -1.08944400265255 0.0840627643290386 0.0210061689082777 0.336403481162852 0.915937235670961 0.978993831091722 0.663596518837148
"Immunityinf_062-122" -3.00705643747631 -3.1501008987188 -2.86401197623382 0.0494369856538358 0.0428478033604632 0.0570394596422351 0.950563014346164 0.957152196639537 0.942960540357765
