"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunity_other" -2.06021525948747 -2.20355305885711 -1.91687746011782 0.127426537171268 0.11041016679364 0.147065463688766 0.872573462828732 0.88958983320636 0.852934536311234
"Immunityboost_001-061" -3.8589867956495 -3.99925679668319 -3.7187167946158 0.0210893565294934 0.0183292561918914 0.0242650849642684 0.978910643470507 0.981670743808109 0.975734915035732
"Immunityboost_062-122" -3.60048971611336 -4.26386919359343 -2.93711023863328 0.0273103448560116 0.0140677660620355 0.0530187190251272 0.972689655143988 0.985932233937964 0.946981280974873
"Immunityboost_123-183" -3.00650145210793 -5.12962647731889 -0.883376426896971 0.0494644300724513 0.00591877085600118 0.413384789159666 0.950535569927549 0.994081229143999 0.586615210840334
"Immunityboost_184-244" -1.91627008710249 -3.09781470926116 -0.734725464943824 0.147154814414761 0.0451477556428722 0.479637118104707 0.852845185585239 0.954852244357128 0.520362881895293
"Immunityboost_245-305" -2.92889200571282 -4.61153399680408 -1.24625001462156 0.0534562345469958 0.00993656395342618 0.287581202650854 0.946543765453004 0.990063436046574 0.712418797349146
"Immunityfull_001-061" -2.39406336222473 -2.52458832517325 -2.26353839927621 0.0912581147026929 0.0800912775636861 0.103981903553326 0.908741885297307 0.919908722436314 0.896018096446674
"Immunityfull_062-122" -2.37878605054854 -2.44157411470283 -2.31599798639425 0.0926629974554039 0.0870237582127417 0.0986676658623437 0.907337002544596 0.912976241787258 0.901332334137656
"Immunityfull_123-183" -2.19631968235088 -2.24136111214268 -2.15127825255908 0.111211700502925 0.106313700985435 0.116335356723654 0.888788299497075 0.893686299014565 0.883664643276346
"Immunityfull_184-244" -1.84037039026323 -1.91741262038145 -1.763328160145 0.158758612571313 0.146986781152208 0.171473222748299 0.841241387428687 0.853013218847791 0.828526777251701
"Immunityfull_245-305" -1.57538597579505 -1.71442967444791 -1.43634227714218 0.206927668194157 0.180066387895559 0.237795961615594 0.793072331805843 0.819933612104441 0.762204038384406
"Immunityfull_306-366" -1.87738062121485 -2.76989963600522 -0.984861606424479 0.152990320971521 0.0626682940668756 0.373490912102882 0.847009679028479 0.937331705933124 0.626509087897118
"Immunityfull_367-427" -2.24026041979386 -4.39480610647471 -0.0857147331130181 0.1064307840871 0.0123412729863882 0.917856027809177 0.8935692159129 0.987658727013612 0.0821439721908227
"Immunityhybridboost_001-061" -5.23708455062634 -6.03810568644827 -4.43606341480441 0.00531573201393049 0.002386074608662 0.011842465755826 0.994684267986069 0.997613925391338 0.988157534244174
"Immunityhybridboost_062-122" -3.661185421998 -5.62884871806911 -1.6935221259269 0.0257020269125573 0.00359270916841563 0.183870766167566 0.974297973087443 0.996407290831584 0.816129233832434
"Immunityhybridboost_245-305" -1.7141935073276 -3.90625810507165 0.477871090416445 0.180108918677842 0.0201156309874498 1.61263758554432 0.819891081322158 0.97988436901255 -0.612637585544321
"Immunityhybridfull_001-061" -4.98592759053265 -5.72712720992144 -4.24472797114387 0.00683343645576185 0.00325641881665055 0.0143396339427141 0.993166563544238 0.996743581183349 0.985660366057286
"Immunityhybridfull_062-122" -4.63329985175114 -4.98055593053841 -4.28604377296387 0.00972262289495819 0.00687024211824543 0.0137592524878449 0.990277377105042 0.993129757881755 0.986240747512155
"Immunityhybridfull_123-183" -4.60991884491499 -4.9065570780181 -4.31328061181187 0.00995262598128219 0.00739791497937135 0.0133895515424956 0.990047374018718 0.992602085020629 0.986610448457504
"Immunityhybridfull_184-244" -4.71732330596975 -5.45865214568913 -3.97599446625036 0.00893907371940276 0.00425929278374006 0.0187606353960836 0.991060926280597 0.99574070721626 0.981239364603916
"Immunityhybridfull_245-305" -2.98475495748241 -3.60541505793388 -2.36409485703095 0.0505518893937892 0.0271761627898903 0.0940343764143392 0.949448110606211 0.97282383721011 0.905965623585661
"Immunityhybridfull_306-366" -2.01511181902261 -3.99126576053609 -0.0389578775091219 0.133305496442206 0.0184763127251628 0.961791221335071 0.866694503557794 0.981523687274837 0.0382087786649291
"Immunityhybridfull_367-427" -0.7962769566307 -2.95534079927254 1.36278688601114 0.451004953291991 0.0520609152302987 3.90706669281779 0.548995046708009 0.947939084769701 -2.90706669281779
"Immunityinf_062-122" -3.20973510337466 -4.08740869963448 -2.33206150711484 0.0403673050187383 0.0167826661898125 0.0970953778169655 0.959632694981262 0.983217333810187 0.902904622183035
"Immunityinf_123-183" -3.57699799029952 -4.70972608308755 -2.44426989751149 0.0279595071063681 0.00900724448115645 0.0867894769889359 0.972040492893632 0.990992755518844 0.913210523011064
"Immunityinf_184-244" -3.6404425517671 -4.1164940426242 -3.16439106091 0.0262407285148843 0.0163015669706013 0.0422398554834427 0.973759271485116 0.983698433029399 0.957760144516557
"Immunityinf_245-305" -3.45337213737034 -3.75316745449521 -3.15357682024547 0.031638766023322 0.0234433723157634 0.0426991263029777 0.968361233976678 0.976556627684237 0.957300873697022
"Immunityinf_306-366" -2.82991415973965 -3.10537965197664 -2.55444866750266 0.0590179195655965 0.0448075040721901 0.0777350781297596 0.940982080434403 0.95519249592781 0.92226492187024
"Immunityinf_367-427" -2.77528837941523 -3.07172625637052 -2.47885050245993 0.0623314989763717 0.0463410891699659 0.0838395435720461 0.937668501023628 0.953658910830034 0.916160456427954
"Immunityinf_428-488" -3.15319111252278 -4.03044246274288 -2.27593976230269 0.0427155988623373 0.0177664672144882 0.102700349154399 0.957284401137663 0.982233532785512 0.897299650845601
"Immunityinf_489-549" -2.96146916105713 -4.92351283345212 -0.999425488662139 0.0517428427340779 0.00727353519872382 0.368090852804737 0.948257157265922 0.992726464801276 0.631909147195263
"Immunitysecboost_001-061" -1.1047155670749 -3.30359505732653 1.09416392317672 0.331305102921137 0.0367508083617714 2.98668454149602 0.668694897078863 0.963249191638229 -1.98668454149602
"AgeGr0-11" -3.21047077942252 -3.39967905692677 -3.02126250191827 0.0403376186804223 0.0333839825991326 0.0487396456062564 0.959662381319578 0.966616017400867 0.951260354393744
"AgeGr12-15" -2.51366252457644 -2.69240622358267 -2.33491882557021 0.0809711367221396 0.0677177990094388 0.0968183413811422 0.91902886327786 0.932282200990561 0.903181658618858
"AgeGr16-17" -2.25480755181401 -2.51715039750208 -1.99246470612595 0.104893728401726 0.0806892116318603 0.136358926249201 0.895106271598274 0.91931078836814 0.863641073750799
"AgeGr18-24" -1.59849918414637 -1.72066165291156 -1.47633671538118 0.202199754984176 0.178947707460921 0.228473119302684 0.797800245015824 0.821052292539079 0.771526880697316
"AgeGr25-29" -1.09112343513088 -1.19704381491492 -0.985203055346827 0.335838988377202 0.302085915119644 0.37336340580312 0.664161011622798 0.697914084880356 0.62663659419688
"AgeGr30-34" -0.912862701594812 -1.00592187227902 -0.819803530910605 0.401373565077968 0.365707343895762 0.440518194213011 0.598626434922032 0.634292656104238 0.559481805786989
"AgeGr35-39" -0.456756635910414 -0.537899531821108 -0.37561373999972 0.633334452171679 0.583973582967857 0.686867591285681 0.366665547828321 0.416026417032143 0.313132408714319
"AgeGr45-49" 0.133041959149414 0.0639725307292276 0.2021113875696 1.14229792717476 1.06606311438295 1.22398433715908 -0.142297927174762 -0.0660631143829473 -0.223984337159081
"AgeGr50-54" 0.249661654114669 0.17722112713127 0.322102181098069 1.28359104545935 1.19389506653132 1.38002578130278 -0.283591045459348 -0.193895066531321 -0.380025781302781
"AgeGr55-59" 0.399574896639868 0.32763703683896 0.471512756440776 1.49119065272644 1.38768520226242 1.60241642640085 -0.491190652726435 -0.387685202262421 -0.602416426400852
"AgeGr60-64" 0.378390806591139 0.301305385592193 0.455476227590085 1.45993338299135 1.35162204441651 1.57692417904645 -0.459933382991354 -0.351622044416506 -0.576924179046447
"AgeGr65-69" 0.343706243560882 0.265422339409008 0.421990147712757 1.41016432980608 1.3039815823096 1.52499349993526 -0.41016432980608 -0.303981582309596 -0.52499349993526
"AgeGr70-74" 0.430245401646402 0.350414691553984 0.51007611173882 1.53763481536763 1.41965614595493 1.66541794797801 -0.537634815367628 -0.419656145954934 -0.665417947978011
"AgeGr75-79" 0.412956590041504 0.323249009044263 0.502664171038745 1.51127941993313 1.38160934129711 1.65311960251306 -0.511279419933131 -0.381609341297114 -0.653119602513065
"AgeGr80+" 0.322008737657544 0.232178089636229 0.411839385678859 1.37989683297054 1.26134434118205 1.50959195476925 -0.379896832970545 -0.261344341182051 -0.509591954769246
"SexM" -0.197190440298897 -0.231191621146191 -0.163189259451604 0.821034260413322 0.79358738334058 0.849430410467037 0.178965739586678 0.20641261665942 0.150569589532963
