day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,0,0,,,
63,2,0.0338983,0.02356,455,0
70,16,0.0407125,0.00996878,554.938,35.5654
77,30,0.0291545,0.0052447,459.233,19.345
84,57,0.0308442,0.00402191,461.368,18.2929
91,42,0.0244044,0.00371945,504.786,25.906
98,29,0.0257778,0.00472471,468.724,22.4453
105,21,0.0234637,0.00505977,546.714,34.726
112,9,0.0190275,0.00628186,452.667,41.2197
119,7,0.0174564,0.00654004,408.571,35.1335
126,6,0.0179641,0.00726763,510.833,73.717
133,5,0.0114155,0.00507596,476,42.4387
140,3,0.00724638,0.00416851,584,102.601
147,1,0.003125,0.00312011,308,0
154,4,0.0100503,0.00499981,460.5,54.1728
161,3,0.00824176,0.00473873,592,118.199
168,3,0.00551471,0.00317513,407.667,33.6133
175,2,0.00153374,0.00108369,426.5,51.2652
182,4,0.00544959,0.00271736,438,75.9152
189,6,0.00906344,0.00368333,355,56.1778
196,7,0.00712106,0.00268191,432.857,46.2758
203,13,0.00882553,0.00243694,308.846,23.1015
210,28,0.0188552,0.00352955,382.857,26.9329
217,28,0.0185923,0.0034808,368.857,28.3937
224,18,0.0105758,0.00247952,341,32.6289
231,33,0.0159961,0.00276221,371.97,27.8708
238,36,0.0139373,0.00230664,362.611,26.022
245,79,0.0165862,0.00185055,364.418,19.0481
252,132,0.014639,0.0012648,306.773,12.278
259,220,0.0154137,0.00103115,314.845,9.45312
266,254,0.0172636,0.00107383,326.654,9.93882
273,413,0.0185936,0.000906383,314.525,7.40759
280,754,0.0189576,0.000683819,299.243,5.26658
287,1226,0.0190577,0.000539072,291.757,4.28913
294,1746,0.0193007,0.000457424,288.687,3.67831
301,1569,0.0197821,0.000494451,278.043,3.7718
308,1216,0.0180608,0.000513232,280.197,4.53223
315,737,0.0183402,0.000669345,250.924,5.52895
322,608,0.0184332,0.000740642,243.658,6.01559
329,510,0.0195208,0.000855916,243.208,6.96718
336,578,0.0201724,0.000830555,218.258,6.0821
343,818,0.0218285,0.000754839,214.451,5.14738
350,1225,0.022901,0.00064678,207.14,4.2614
357,1525,0.0273356,0.00069036,194.524,3.75174
364,2088,0.0273481,0.000590256,187.846,3.23943
371,2118,0.0265168,0.000568489,173.503,3.12939
378,1462,0.0269717,0.00069582,161.799,3.69973
385,1419,0.0297148,0.000777018,150.557,3.60082
392,1456,0.0301349,0.00077776,152.497,3.61123
399,1658,0.0316153,0.000764062,150.069,3.38056
406,1895,0.0328451,0.000742018,142.609,3.03737
413,2398,0.0328799,0.000660308,135.953,2.68057
420,2832,0.0329805,0.000609436,131.524,2.37391
427,2808,0.0336646,0.00062451,129.772,2.38881
434,2632,0.0341778,0.000654712,126.311,2.4357
441,2169,0.0357726,0.000754242,117.178,2.51544
448,1702,0.0365166,0.000868825,113.868,2.89037
455,1119,0.0385304,0.00112942,120.017,3.71413
462,1072,0.0358552,0.00107529,107.031,3.41981
469,719,0.0357178,0.00130805,109.719,4.09178
476,588,0.0356342,0.00144311,108.257,4.52567
483,469,0.0347227,0.00157526,100.699,4.98155
490,299,0.0308884,0.00175852,103.736,6.21269
497,182,0.0262588,0.00192071,106.335,8.01194
504,111,0.0266955,0.00249978,90.8378,9.15537
511,55,0.0186567,0.00249209,100.709,14.645
518,38,0.0180266,0.00289782,117.579,19.9907
525,17,0.0143339,0.00345147,130.412,21.6157
532,14,0.0168472,0.00446451,124.571,30.6112
539,11,0.013431,0.00402232,84,24.809
546,10,0.0100908,0.00317486,77.9,16.149
553,35,0.0197072,0.00329814,119.486,18.1694
560,24,0.0148515,0.00300895,105.875,16.4617
567,24,0.0177253,0.00358594,97.875,20.4765
574,11,0.00932203,0.00279757,128.182,23.0679
581,27,0.0209465,0.00398871,122.185,18.1073
588,28,0.0198441,0.00371278,96.4286,18.0708
595,26,0.0199846,0.00387995,82.5385,15.9775
602,21,0.0147265,0.00318984,72.2381,17.1376
609,50,0.0221926,0.00310349,89.5,11.0221
616,35,0.0127088,0.00213448,79.3143,12.0545
623,56,0.017599,0.00233098,106.714,11.9069
630,57,0.0164597,0.00216213,88.4737,10.6552
637,99,0.018222,0.00181462,68.6263,6.16485
644,129,0.0182384,0.00159109,86.7442,6.42079
651,239,0.018592,0.00119138,78.8619,4.24798
658,442,0.016351,0.000771353,78.8937,3.27605
665,775,0.0183064,0.000651537,78.7561,2.48561
672,1127,0.0183416,0.000541322,77.2946,2.04116
679,1458,0.016292,0.000423182,76.2524,1.74427
686,1868,0.0160162,0.000367591,72.9679,1.48187
693,2017,0.015402,0.000340294,70.2876,1.38897
700,1717,0.0152573,0.000365389,71.7863,1.48224
707,1380,0.0158805,0.000424081,70.4029,1.61723
714,1038,0.0167544,0.000515656,62.5983,1.83492
721,713,0.0190739,0.000707476,64.7153,2.18704
728,692,0.0165923,0.000625491,62.7529,2.15236
735,600,0.0116198,0.000471612,65.1133,2.31333
742,853,0.00749607,0.000255697,58.5604,1.9371
749,1484,0.00729837,0.000188764,56.8181,1.44217
756,2304,0.007277,0.000151052,56.628,1.19166
763,2024,0.00819745,0.000181462,55.1769,1.20879
