"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunityboost_001-061" -1.97672299669939 -2.06290940607302 -1.89053658732575 0.138522432813289 0.127083693444243 0.150990767363329 0.861477567186711 0.872916306555757 0.849009232636671
"Immunityboost_062-122" -1.74803338005261 -1.80500351522329 -1.69106324488193 0.174116027017901 0.16447387841373 0.184323438815241 0.825883972982099 0.83552612158627 0.815676561184759
"Immunityboost_123-183" -1.28081205660231 -1.36506810430533 -1.19655600889929 0.277811610076755 0.255363284056783 0.302233310393506 0.722188389923246 0.744636715943217 0.697766689606494
"Immunityboost_184-244" -1.26848249139917 -1.70731861430235 -0.829646368496 0.281258109697511 0.181351414345257 0.436203514354814 0.718741890302489 0.818648585654743 0.563796485645186
"Immunityfull_001-061" -0.689901188849588 -0.857915623721336 -0.52188675397784 0.501625632823145 0.424045031203345 0.593399891495382 0.498374367176855 0.575954968796655 0.406600108504618
"Immunityfull_062-122" -0.526735709532371 -0.668382253321001 -0.385089165743742 0.590529486652376 0.512537062597462 0.680389966022422 0.409470513347624 0.487462937402538 0.319610033977578
"Immunityfull_123-183" -0.439766270242174 -0.570870850759874 -0.308661689724473 0.644186969152969 0.565033164821169 0.734429192944501 0.355813030847031 0.434966835178831 0.265570807055499
"Immunityfull_184-244" -0.342660490173357 -0.426956085893456 -0.258364894453258 0.70987918160993 0.65249220521098 0.772313367820603 0.29012081839007 0.34750779478902 0.227686632179397
"Immunityfull_245-305" -0.31921510688808 -0.41770180244604 -0.22072841133012 0.726719210184319 0.658558579705244 0.801934447027166 0.273280789815681 0.341441420294756 0.198065552972834
"Immunityfull_306-366" -0.0695983204453067 -0.200264168635386 0.0610675277447726 0.932768418669622 0.818514498657268 1.06297069177725 0.0672315813303775 0.181485501342732 -0.0629706917772537
"Immunityhybridboost_001-061" -3.32383407334315 -3.69586244274937 -2.95180570393693 0.0360144845317141 0.0248260333944435 0.0522452812125589 0.963985515468286 0.975173966605557 0.947754718787441
"Immunityhybridboost_062-122" -3.10442415103526 -3.3808142177598 -2.82803408431073 0.0448503381452516 0.0340197439751057 0.0591289820762725 0.955149661854748 0.965980256024894 0.940871017923728
"Immunityhybridboost_123-183" -2.45754910580918 -2.90962948375913 -2.00546872785922 0.0856445998009496 0.0544959177515776 0.134597191453895 0.91435540019905 0.945504082248422 0.865402808546105
"Immunityhybridfull_001-061" -3.00264945375459 -3.98324608399797 -2.02205282351121 0.0496553344212066 0.0186250825223158 0.132383426142012 0.950344665578793 0.981374917477684 0.867616573857988
"Immunityhybridfull_062-122" -2.29877932364881 -2.57523899597479 -2.02231965132284 0.100381302048119 0.0761356245162413 0.132348107274356 0.899618697951881 0.923864375483759 0.867651892725644
"Immunityhybridfull_123-183" -2.20616133898412 -2.57815311349092 -1.83416956447732 0.110122561390553 0.0759140793203864 0.159746105541708 0.889877438609447 0.924085920679614 0.840253894458292
"Immunityhybridfull_184-244" -1.63964271458657 -1.98274615633907 -1.29653927283407 0.194049360913028 0.137690597739306 0.273476585104586 0.805950639086972 0.862309402260694 0.726523414895414
"Immunityhybridfull_245-305" -1.60443477101907 -2.11170371933484 -1.0971658227033 0.20100313560516 0.12103158682224 0.333815837533761 0.79899686439484 0.87896841317776 0.666184162466239
"Immunityhybridfull_306-366" -1.44028254755042 -2.24114491989785 -0.639420175202979 0.236860824780731 0.106336687667789 0.527598249919935 0.763139175219269 0.893663312332212 0.472401750080065
"Immunityinf_062-122" -2.04332997589065 -2.3917342468196 -1.6949257049617 0.129596438533797 0.0914709131033079 0.183612870046194 0.870403561466203 0.908529086896692 0.816387129953806
"Immunityinf_123-183" -2.14139988996041 -2.83576406318022 -1.44703571674059 0.117490254418085 0.0586736783056403 0.235266652472672 0.882509745581915 0.94132632169436 0.764733347527328
