"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.00921095828275706 0.000364581346801563 0.00034485353026873 0.000320772565690349 0.000369844637867099 0.000361893039957789 0.000387446386900675 0.000368979422897436 0.000347283373157337 0.000338493441928375 0.000314642708606712 0.000363662976409504 0.000341457836006054 0.000321311233963139 0.000373107832344744 0.000359593989336515 0.000367977618689844 0.000372702623688252 0.000349751903667036 0.000346283070208338 0.000369011645542112 0.000355505874569559 0.000376530508513614 0.000367931004956655 0.00035763715347636 0.000361027773281112 0.000348496979164298 0.000239742650393557 -0.000152917569099878 -0.000174526772847034 -0.000211869940338761 -0.000109203403974585 -9.07694259145943e-05 -5.14263752463116e-05 -2.47765395069232e-05 -6.14464121627632e-08 3.50121862435165e-05 7.66303309872924e-05 9.45411717011584e-05 8.03978124878309e-05 1.30945089363886e-05 8.33260304036552e-05 2.50930787542119e-05
"Immunityboost_001-061" 0.000364581346801563 0.00264293917217478 0.000343092698502765 0.000220481912619648 0.000402447350379799 0.000349015521711168 0.000424286005442789 0.00040730719403617 0.000340262098791883 0.000283259407380789 0.000185122490102542 0.000418652515838846 0.000330069361029148 0.000222744699414939 0.000407422414407144 0.000375344017413501 0.000385568662435578 0.000386377741395952 0.000333603236058538 0.000305043966261186 0.000354950162804838 0.000279427159204208 0.000432777206884042 0.000393801008144786 0.000348421226953621 0.000358430905707615 0.00028791679666187 0.00031444425645753 0.000134480168564871 5.12248333404846e-05 4.92484902702166e-06 7.31241637212249e-05 4.61773652399897e-05 2.8717359386421e-05 -8.63167960497751e-05 -9.24660225280181e-05 -7.9928550166549e-05 -5.2935986020502e-05 -9.54873144659908e-05 -7.98993863438238e-05 -0.000102353091913052 6.65863858766253e-05 -6.53169288578513e-06
"Immunityboost_062-122" 0.00034485353026873 0.000343092698502765 0.00127877776619313 0.000401891221656188 0.00033567986249081 0.000343950278178438 0.000312314896892818 0.000330695620093608 0.000375948674009886 0.000373545964534758 0.00036503906088636 0.000339276314798856 0.000379390380785141 0.000390394327541903 0.000330500714604903 0.000349034145306301 0.000332175208863587 0.000315282630112792 0.000352386609023287 0.000360852899831894 0.000313028329835105 0.000321195220379611 0.000306564346631154 0.000322271836490883 0.000332948353117201 0.000330882724203621 0.000343169648207204 0.000177174845344751 3.7510197008584e-05 -9.70772600912021e-06 -2.54896644489659e-05 1.93313139773229e-05 9.85339369895574e-06 6.45915620899098e-06 -4.61525350878184e-05 -4.89392734137329e-05 -5.07923610420295e-05 -6.85038490765485e-05 -0.000114314352549925 -0.000177978715347133 -0.000283216978335388 -0.000153410756482091 -2.20944156001531e-05
"Immunityboost_123-183" 0.000320772565690349 0.000220481912619648 0.000401891221656188 0.00507770597871774 0.000242180160165338 0.000374030920626642 0.000209177865588289 0.000248579980201992 0.000440528097398493 0.000465891866832291 0.000708243742318825 0.000243978398543093 0.00042889251635774 0.000767164320319599 0.000235873128485675 0.000320400468610795 0.000326178443923833 0.000275107941691207 0.000439963242842526 0.000426458722392602 0.000290162176348769 0.000551810232675979 0.000177500121544386 0.000235963473883273 0.000345216066922024 0.000319945258934793 0.000498647524876702 0.000144975664656017 2.7268625066575e-05 -8.02503403367005e-06 -2.09089794162902e-05 1.15142289203779e-05 4.53921377259156e-06 3.22117128055048e-06 -3.42139228625872e-05 -3.60119902197634e-05 -3.1066051967297e-05 -2.35231914715012e-05 -3.28049068525444e-05 -0.000130692607521642 -0.00030997244480936 -0.000266172823686251 -4.328170706136e-05
"Immunityfull_001-061" 0.000369844637867099 0.000402447350379799 0.00033567986249081 0.000242180160165338 0.00917220404428834 0.000371663370493632 0.000433832090176612 0.000401377087110335 0.000334035730072394 0.000299921531597258 0.000229720044355688 0.000397090035025968 0.000329015442281316 0.000245311253721848 0.000405846606960605 0.000376519880753511 0.000389881188671445 0.000402362472851977 0.000340574256275683 0.000320592193258455 0.000391982457714673 0.000337161357036058 0.000421118389349497 0.000399180252821254 0.000365163473639128 0.000371893264852412 0.000328339903991734 0.000336164024495563 -0.00033291583588827 -0.000319293427581909 -0.000273050541973404 -0.000125532320406698 -0.000126448925315325 -7.1294238251369e-05 -4.4757238447241e-05 -1.37663438740612e-05 3.04819840357537e-05 7.66854017318114e-05 8.62665345425783e-05 0.000101528708231627 5.10070449932878e-05 0.00016604450145123 3.13156214929841e-07
"Immunityfull_062-122" 0.000361893039957789 0.000349015521711168 0.000343950278178438 0.000374030920626642 0.000371663370493632 0.00777600306423752 0.000411753756276714 0.000392933921170592 0.000365243203480276 0.000314616726917262 0.000345695505592792 0.000372569853512401 0.000362134255070003 0.000378524190680465 0.00037818815490462 0.000395957941311858 0.000412387061887123 0.000429496742828081 0.00039839144050545 0.000336218741133628 0.000428216530039487 0.000473865390892987 0.000371119039601411 0.000390411492801543 0.000394606180722597 0.000382910976853072 0.000430241710767299 0.000525834903516127 -0.000185741868255562 -0.000252679972723304 -0.000352136700494189 -0.000141494260433341 -0.000127056945896222 -7.74847671480248e-05 -5.93892541113847e-05 -8.41094676444947e-06 6.11582931646664e-05 0.000143315253122941 0.000172329055895081 0.000196202408728935 0.000154377141642856 0.00028091257938752 -1.66216560580843e-05
"Immunityfull_123-183" 0.000387446386900675 0.000424286005442789 0.000312314896892818 0.000209177865588289 0.000433832090176612 0.000411753756276714 0.0058391982049031 0.000440840298453183 0.00032665498609858 0.000262638836416273 0.000192456466452246 0.000421478597109233 0.000313259137006184 0.000218678395335374 0.000444872731664295 0.000398411729526123 0.000439943645564578 0.000458001250699619 0.000352686084115469 0.000301366276168816 0.000446100051889867 0.000399322807906451 0.000477875800477836 0.000437238124262493 0.000391515262281357 0.000397346865034319 0.000355328896824152 0.00058942357716624 -0.000569824194583967 -0.00100551375664256 -0.000779949208703022 -0.000330956161060728 -0.000233763634442647 -0.000128529322481509 -2.10034141818069e-05 4.21908619057695e-05 0.000112951566395983 0.000186177137585564 0.000217116290019425 0.00025484178668347 0.000227737613687185 0.000370856544681356 7.24129929776207e-07
"Immunityfull_184-244" 0.000368979422897436 0.00040730719403617 0.000330695620093608 0.000248579980201992 0.000401377087110335 0.000392933921170592 0.000440840298453183 0.00255919806055653 0.000343604383815682 0.000284174961714147 0.000231721165875289 0.000412990320174175 0.000335772504281015 0.000257898032902136 0.000411581796878864 0.000397395452761771 0.000413530659641001 0.000439629626547873 0.000369363459939733 0.000316436717976086 0.00041536429773679 0.00037815708044836 0.000430719865959758 0.000416355012936811 0.000383717771360258 0.000384665784706123 0.000358551279205247 0.000554989608935515 0.000288609673338225 6.5586269607481e-05 -1.55515951890758e-05 0.000115486621546549 5.5890584165758e-05 2.98104991012766e-05 -7.59582928951902e-05 -3.25525238480466e-05 4.75812130601988e-05 0.000143270200800403 0.000170655838404687 0.000212081665173868 0.000185160574066499 0.000327614856762143 1.54275265258046e-05
"Immunityfull_245-305" 0.000347283373157337 0.000340262098791883 0.000375948674009886 0.000440528097398493 0.000334035730072394 0.000365243203480276 0.00032665498609858 0.000343604383815682 0.00399958891313366 0.000365756261001882 0.00039926296606587 0.000343835425174167 0.00038028819886539 0.000437135818565766 0.000334055940788124 0.000360296854878701 0.00035845985638308 0.000345031217995338 0.000384828458528562 0.000363469623738861 0.000338397695201698 0.000390931193319987 0.000316756126092985 0.000332651843793333 0.000352738778988235 0.000345131917128247 0.00038493996249206 0.000239933013800803 9.43638654911096e-05 3.91700434548367e-05 2.35634570222828e-06 4.37288401671698e-05 3.4365501453297e-05 2.466554810002e-05 -7.12136473792091e-05 -8.9241155478237e-05 -8.28529038266261e-05 -5.10976052311641e-05 -6.37305691955381e-05 -0.000117423835944514 -0.000198353734275415 -5.2848565953822e-05 3.84270211974007e-05
"Immunityfull_306-366" 0.000338493441928375 0.000283259407380789 0.000373545964534758 0.000465891866832291 0.000299921531597258 0.000314616726917262 0.000262638836416273 0.000284174961714147 0.000365756261001882 0.00669046542976549 0.000491307262273593 0.000285847888624667 0.000366960477973583 0.000455627927608564 0.000294517527246149 0.000308703893523601 0.000292699667813835 0.000280371856058146 0.000346008012015939 0.000409844588895767 0.000284986244328776 0.000326329978878777 0.000265517836358455 0.000284581715364675 0.000319559089602001 0.000322440293169121 0.000352844376425193 0.000169777042514399 4.63080119868917e-05 2.69361977524176e-06 -2.53794195802373e-05 5.58764069946848e-06 2.56327375221706e-06 1.26254693275308e-06 -3.24430312353568e-05 -3.19360588954378e-05 -2.4401164952475e-05 -8.09127496264601e-07 2.42978033710961e-06 -5.68673497547924e-05 -0.000174679492491297 -0.000260197670154907 5.03672434392762e-05
