day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,0,0,,,
63,0,0,0,,,
70,0,0,0,,,
77,0,0,0,,,
84,0,0,0,,,
91,0,0,0,,,
98,0,0,0,,,
105,0,0,0,,,
112,0,0,0,,,
119,0,0,0,,,
126,0,0,0,,,
133,0,0,0,,,
140,0,0,0,,,
147,0,0,0,,,
154,0,0,0,,,
161,0,0,0,,,
168,0,0,0,,,
175,0,0,0,,,
182,0,0,0,,,
189,0,0,0,,,
196,0,0,0,,,
203,0,0,0,,,
210,0,0,0,,,
217,0,0,0,,,
224,0,0,0,,,
231,2,0.000973236,0.000687847,163,9.19239
238,3,0.00116369,0.000671467,167.667,8.05996
245,3,0.00063118,0.000364297,159.667,9.1934
252,16,0.00177679,0.000443803,165,3.40496
259,22,0.00154516,0.000329175,163,3.62213
266,28,0.00190801,0.000360235,161.25,2.93276
273,56,0.00252765,0.000337344,149.571,2.84168
280,119,0.00300073,0.000274664,151.319,1.92163
287,249,0.00388104,0.000245473,145.41,1.6605
294,382,0.00423428,0.000216186,144.181,1.39882
301,353,0.00446355,0.00023704,139.759,1.51884
308,311,0.00463453,0.00026219,133.489,1.80363
315,233,0.00581657,0.000379946,126.76,2.16504
322,189,0.00574363,0.000416586,122.46,2.54916
329,179,0.00687114,0.000511805,116.665,2.71761
336,232,0.00812126,0.000531017,113.211,2.74292
343,328,0.00877592,0.000482438,110.259,2.22495
350,539,0.0101056,0.000433072,105.909,1.88922
357,718,0.012903,0.000478419,101.142,1.70521
364,1008,0.0132395,0.000414234,95.6151,1.4643
371,1103,0.0138458,0.000414003,90.7724,1.3627
378,819,0.0151521,0.00052543,87.0525,1.5604
385,817,0.0171459,0.000594693,80.9217,1.56659
392,803,0.0166542,0.0005828,81.4147,1.67099
399,922,0.0176146,0.000574973,78.8297,1.48124
406,1062,0.0184433,0.000560703,76.2062,1.33822
413,1444,0.0198341,0.000516747,73.5686,1.14686
420,1731,0.0201962,0.000480498,75.6147,1.1124
427,1720,0.0206621,0.000493035,74.5541,1.06559
434,1634,0.0212652,0.000520447,72.7283,1.11818
441,1404,0.0231989,0.00061191,72.0648,1.21858
448,1127,0.0242261,0.000712848,68.9184,1.33676
455,714,0.0246334,0.000910458,70.1905,1.77609
462,712,0.023863,0.000883569,67.2837,1.72557
469,487,0.0242349,0.0010848,72.5585,2.21884
476,375,0.0227562,0.00116168,67.6587,2.41345
483,321,0.0238007,0.00131252,69.1153,2.70826
490,204,0.0211136,0.00146256,68.3775,3.40983
497,125,0.0180714,0.00160169,68.8,4.34647
504,81,0.0194993,0.00214536,61.2099,5.16618
511,38,0.0128988,0.00207893,73.3684,8.59906
518,23,0.010916,0.00226368,55,9.2434
525,8,0.00675676,0.00238079,90.5,19.0468
532,12,0.0144753,0.0041483,92.6667,17.1773
539,9,0.0110024,0.00364725,57.4444,14.0133
546,8,0.00808898,0.0028483,82.125,17.1641
553,25,0.0140845,0.00279699,71.52,9.21601
560,22,0.0136139,0.00288266,80.2727,10.4423
567,18,0.0133235,0.00311938,68.9444,12.1489
574,6,0.00508475,0.00207055,98.1667,24.1321
581,17,0.0131988,0.00317997,94.7059,11.8645
588,25,0.0177179,0.00351205,88.2,9.84439
595,19,0.0146154,0.00332841,62.1579,11.2978
602,18,0.0126316,0.00295843,69.4444,10.6229
609,34,0.0151246,0.00257415,66.8824,7.52122
616,26,0.00945111,0.00184474,73,9.11563
623,40,0.0125984,0.0019794,89.25,8.27947
630,47,0.0135995,0.00197016,68.6596,6.77614
637,86,0.0158613,0.00169675,68.3488,5.25509
644,98,0.0138791,0.00139223,74.7551,4.84588
651,187,0.0145729,0.00105789,65.0802,3.14713
658,353,0.0130809,0.000691655,69.1785,2.44088
665,617,0.0146067,0.000583732,68.1588,1.82393
672,911,0.0148652,0.000488832,68.8595,1.57325
679,1166,0.0130545,0.000379802,68.4871,1.38902
686,1523,0.0130823,0.000333023,67.4951,1.19459
693,1656,0.0126685,0.000309333,65.3533,1.14504
700,1414,0.0125878,0.00033264,68.4484,1.2458
707,1150,0.0132585,0.00038837,66.567,1.37068
714,898,0.0145275,0.000481253,61.1448,1.55561
721,618,0.0165706,0.000661021,61.3706,1.82066
728,594,0.014274,0.000581476,59.4293,1.79896
735,530,0.0102837,0.000444391,65.9226,2.08182
742,767,0.006752,0.000242976,57.4589,1.69951
749,1346,0.00663159,0.000180157,55.1196,1.27463
756,2096,0.00663203,0.00014438,53.574,1.02193
763,1865,0.00756988,0.000174622,53.3485,1.04916
770,1454,0.00886229,0.000231383,53.4601,1.2283
777,1068,0.0104867,0.000319202,50.9607,1.38545
784,815,0.011303,0.000393682,53.2933,1.61335
791,669,0.0105461,0.000405579,52.0643,1.71325
798,767,0.0118981,0.000427053,49.9674,1.57996
805,793,0.0125229,0.000441908,50.5032,1.65084
812,719,0.0130315,0.000482816,48.1544,1.70306
819,542,0.0122135,0.000521403,54.4465,2.03817
826,431,0.0134759,0.000644723,53.42,2.22736
833,230,0.0135374,0.000886566,49.4087,2.9333
840,267,0.0165993,0.0010074,48.824,2.9091
