"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunity_other" -0.165102039003768 -0.322014510620809 -0.00818956738672794 0.847807190273016 0.724687674585557 0.991843875763015 0.152192809726984 0.275312325414443 0.00815612423698464
"Immunityboost_001-061" -0.737385323620548 -1.61595385664311 0.141183209402012 0.478363046331023 0.198701047704398 1.15163561913132 0.521636953668977 0.801298952295602 -0.151635619131322
"Immunityboost_062-122" -0.928890634118751 -1.80733143751836 -0.0504498307191439 0.39499165767319 0.164091441319843 0.950801628509723 0.60500834232681 0.835908558680157 0.0491983714902772
"Immunityboost_123-183" -0.742720931478679 -1.23857388936603 -0.246867973591332 0.475817485797439 0.289797206263084 0.781243831540128 0.524182514202561 0.710202793736916 0.218756168459872
"Immunityboost_184-244" -0.476383587684924 -0.618376709872264 -0.334390465497583 0.621025218926938 0.538818386634006 0.715774242509694 0.378974781073062 0.461181613365994 0.284225757490306
"Immunityboost_245-305" -0.42350707421026 -0.514319215036017 -0.332694933384503 0.654746543835332 0.597907502531703 0.716988890169649 0.345253456164668 0.402092497468297 0.283011109830351
"Immunityboost_306-366" -0.376283234345888 -0.471330412937605 -0.28123605575417 0.686407891217218 0.624171310060296 0.754850127731366 0.313592108782782 0.375828689939704 0.245149872268634
"Immunityboost_367-427" -0.4145996410295 -0.544985170836375 -0.284214111222625 0.660604706789091 0.579850381972283 0.752605486173088 0.339395293210909 0.420149618027717 0.247394513826912
"Immunityboost_428-488" -0.270911486897977 -0.486239917637369 -0.0555830561585849 0.76268400094429 0.614934256040314 0.945933454808633 0.23731599905571 0.385065743959686 0.0540665451913674
"Immunityboost45_062-122" -0.458018186112483 -2.4201652599365 1.50412888771153 0.632535972732413 0.0889069234927271 4.50023171517423 0.367464027267587 0.911093076507273 -3.50023171517423
"Immunityfull_123-183" 0.544196409625742 -0.200460767965761 1.28885358721725 1.72322306037126 0.818353595072216 3.62862426911344 -0.723223060371256 0.181646404927784 -2.62862426911344
"Immunityfull_184-244" 0.377790904091413 0.059543064532444 0.696038743650382 1.45905782795555 1.06135146660005 2.00579149538273 -0.45905782795555 -0.0613514666000516 -1.00579149538273
"Immunityfull_245-305" 0.0718343334664323 -0.193306941987446 0.336975608920311 1.07447732438454 0.824228944837997 1.40070489861707 -0.0744773243845414 0.175771055162003 -0.400704898617072
"Immunityfull_306-366" 0.0486926210641263 -0.209720510728536 0.307105752856788 1.04989758473446 0.810810827232595 1.35948472986418 -0.0498975847344618 0.189189172767405 -0.35948472986418
"Immunityfull_367-427" 0.0540403000494199 -0.137960759106165 0.246041359205005 1.05552713909382 0.871132875107769 1.27895246890523 -0.0555271390938235 0.128867124892231 -0.278952468905228
"Immunityfull_428-488" 0.132260682078218 -0.0373297395458225 0.301851103702258 1.14140582453083 0.963358425601476 1.35235985034283 -0.141405824530834 0.0366415743985239 -0.352359850342826
"Immunityfull_489-549" 0.0895885265261933 -0.101846077770608 0.281023130822995 1.09372415262659 0.903168558688537 1.32448423999145 -0.0937241526265946 0.0968314413114628 -0.324484239991452
"Immunityhybridboost_001-061" -2.41931155205499 -3.01323426855044 -1.82538883555953 0.0889828564417005 0.0491325137639654 0.161154969162833 0.911017143558299 0.950867486236035 0.838845030837167
"Immunityhybridboost_062-122" -2.17559789101742 -2.64170926895074 -1.70948651308409 0.113540248678094 0.071239398139234 0.180958688683583 0.886459751321906 0.928760601860766 0.819041311316417
"Immunityhybridboost_123-183" -2.1609128603231 -2.65460075440409 -1.66722496624211 0.11521989334721 0.0703269107704226 0.188770183099322 0.88478010665279 0.929673089229577 0.811229816900678
"Immunityhybridboost_184-244" -1.96270986095819 -2.33836454664545 -1.58705517527093 0.140477230904797 0.0964853064839669 0.204527022007843 0.859522769095203 0.903514693516033 0.795472977992157
"Immunityhybridboost_245-305" -1.78501310659523 -2.10450304270211 -1.46552317048835 0.167794861766439 0.121906241414521 0.230957129910041 0.832205138233561 0.878093758585479 0.769042870089959
"Immunityhybridboost_306-366" -2.09455145055193 -2.57391932878948 -1.61518357231437 0.123125459126342 0.0762361645266338 0.198854162971123 0.876874540873658 0.923763835473366 0.801145837028877
"Immunityhybridboost_367-427" -1.51401272664126 -2.06365904267115 -0.96436641061136 0.220025302772432 0.126988462555351 0.381224663138188 0.779974697227568 0.873011537444649 0.618775336861812
"Immunityhybridboost_428-488" -0.855994932169407 -1.74061025584396 0.0286203915051443 0.424860273576361 0.175413320943108 1.02903389031626 0.575139726423639 0.824586679056892 -0.0290338903162553
"Immunityhybridfull_062-122" -1.61135200943782 -2.9985499287613 -0.224154090114355 0.199617546742341 0.0498593155328721 0.799191977297792 0.800382453257659 0.950140684467128 0.200808022702208
"Immunityhybridfull_123-183" -1.5886711958436 -2.5709792600091 -0.606363131678096 0.204196769052269 0.0764606339099146 0.545330562397798 0.795803230947731 0.923539366090085 0.454669437602202
"Immunityhybridfull_184-244" -2.27583871062039 -3.15512991553505 -1.39654750570573 0.10271072772183 0.042632861961785 0.247449809928411 0.89728927227817 0.957367138038215 0.752550190071589
