"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunity_other" -0.294545131840468 -0.445220855454496 -0.143869408226441 0.744870328214163 0.640682762123218 0.866000833259765 0.255129671785837 0.359317237876782 0.133999166740235
"Immunityboost_001-061" -0.805458323968614 -1.46072964798806 -0.150186999949167 0.4468830623972 0.232066885803807 0.860547039125321 0.5531169376028 0.767933114196193 0.139452960874679
"Immunityboost_062-122" -1.03398128996611 -1.77653091369409 -0.291431666238121 0.355588437987774 0.169224183473301 0.747193070371848 0.644411562012226 0.830775816526699 0.252806929628152
"Immunityboost_123-183" -0.988679749847208 -1.45550494610957 -0.521854553584843 0.372067589188025 0.233282539045531 0.593418999512733 0.627932410811975 0.766717460954469 0.406581000487267
"Immunityboost_184-244" -0.588631464789999 -0.711535272321638 -0.465727657258359 0.555086420475044 0.490889968853809 0.627678204374876 0.444913579524956 0.509110031146191 0.372321795625124
"Immunityboost_245-305" -0.533203761898991 -0.611609698438508 -0.454797825359473 0.586722237026888 0.542476941597541 0.634576250205354 0.413277762973112 0.457523058402459 0.365423749794646
"Immunityboost_306-366" -0.473608864809155 -0.555090800764457 -0.392126928853852 0.622750784684608 0.574020137362743 0.67561835305478 0.377249215315392 0.425979862637257 0.32438164694522
"Immunityboost_367-427" -0.497814085889901 -0.621056377544798 -0.374571794235004 0.607857933764946 0.5373764652199 0.687583643042108 0.392142066235054 0.4626235347801 0.312416356957892
"Immunityboost_428-488" -0.334503440569084 -0.778886910753903 0.109880029615736 0.715693382431141 0.45891654218726 1.11614415818273 0.284306617568859 0.54108345781274 -0.116144158182726
"Immunityfull_123-183" 0.631175190701329 0.0365118725790526 1.22583850882361 1.87981842682467 1.03718661802476 3.40702170315238 -0.879818426824673 -0.0371866180247649 -2.40702170315238
"Immunityfull_184-244" 0.375263839485169 0.11251085460002 0.638016824370319 1.45537534945032 1.11908440406045 1.89272355159479 -0.455375349450317 -0.119084404060449 -0.89272355159479
"Immunityfull_245-305" -0.0301447633752887 -0.257386963247777 0.1970974364972 0.970305058745586 0.773069006584548 1.21786269920046 0.0296949412544135 0.226930993415452 -0.217862699200461
"Immunityfull_306-366" -0.0712273307232447 -0.294234015468646 0.151779354022156 0.931250166288786 0.745102105621159 1.16390339749466 0.0687498337112142 0.254897894378841 -0.16390339749466
"Immunityfull_367-427" -0.0547548179367095 -0.225439059063495 0.115929423190076 0.946717237585878 0.798165699931048 1.12291661746385 0.0532827624141222 0.201834300068952 -0.122916617463845
"Immunityfull_428-488" 0.0165979947342889 -0.131082102748198 0.164278092216776 1.01673650672819 0.877145755357519 1.17854201288643 -0.0167365067281897 0.122854244642481 -0.178542012886434
"Immunityfull_489-549" -0.0717400179637834 -0.243975218802531 0.100495182874965 0.930772848578585 0.783507050265216 1.10571831530787 0.069227151421415 0.216492949734784 -0.10571831530787
"Immunityhybridboost_001-061" -2.66487896284857 -3.21097511172653 -2.11878281397062 0.0696077781505973 0.0403172802453511 0.12017781828479 0.930392221849403 0.959682719754649 0.87982218171521
"Immunityhybridboost_062-122" -2.07906272238118 -2.46738796253869 -1.69073748222366 0.125047361382469 0.0848060866235727 0.184383494290035 0.874952638617531 0.915193913376427 0.815616505709965
"Immunityhybridboost_123-183" -2.6473694342121 -3.21568268727022 -2.07905618115397 0.0708373103876973 0.0401279296436977 0.125048179348347 0.929162689612303 0.959872070356302 0.874951820651653
"Immunityhybridboost_184-244" -2.02069783478152 -2.34342293414013 -1.69797273542292 0.132562925774958 0.0959984787359738 0.183054247540194 0.867437074225042 0.904001521264026 0.816945752459806
"Immunityhybridboost_245-305" -1.8678177949593 -2.13955172479322 -1.59608386512537 0.154460358483807 0.117707596594039 0.202688722166588 0.845539641516193 0.882292403405961 0.797311277833412
