"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunityboost_001-061" -0.852184657661527 -1.3435263270676 -0.360842988255451 0.42648219586848 0.26092394122288 0.697088440946989 0.57351780413152 0.73907605877712 0.302911559053011
"Immunityboost_062-122" -0.916647301747738 -1.3934983826236 -0.439796220871877 0.39985739747596 0.248205466314743 0.644167675636524 0.60014260252404 0.751794533685257 0.355832324363476
"Immunityboost_123-183" -0.65179406502229 -0.831092893289456 -0.472495236755123 0.521110032337053 0.435572991299867 0.623444683730112 0.478889967662947 0.564427008700133 0.376555316269888
"Immunityboost_184-244" -0.559423870288931 -0.630989916354277 -0.487857824223584 0.571538249179349 0.532064840539351 0.613940154256137 0.428461750820651 0.467935159460649 0.386059845743863
"Immunityboost_245-305" -0.438183455152759 -0.492828344433948 -0.38353856587157 0.645207405376032 0.610896123786106 0.681445796990896 0.354792594623968 0.389103876213894 0.318554203009104
"Immunityboost_306-366" -0.384592690922223 -0.446752720253206 -0.322432661591239 0.680727846376971 0.639702074085298 0.724384709078245 0.319272153623029 0.360297925914702 0.275615290921755
"Immunityfull_062-122" -0.757311344886426 -2.1437336180942 0.629110928321349 0.468925512605318 0.117216383799984 1.8759419907321 0.531074487394682 0.882783616200016 -0.875941990732099
"Immunityfull_123-183" 0.190847694478188 -0.143635401581257 0.525330790537632 1.2102751064616 0.86620350692205 1.69101812866761 -0.210275106461602 0.13379649307795 -0.691018128667605
"Immunityfull_184-244" -0.000107173607049705 -0.182360459301478 0.182146112087379 0.999892832135836 0.833300915207641 1.19978948481954 0.000107167864163871 0.166699084792359 -0.199789484819536
"Immunityfull_245-305" -0.066520571321267 -0.227192686971838 0.0941515443293039 0.935643668231866 0.796767240831 1.09872623903229 0.0643563317681337 0.203232759169 -0.0987262390322943
"Immunityfull_306-366" -0.142804012825516 -0.291030290116938 0.00542226446590485 0.866923958223945 0.747493036023707 1.00543699154789 0.133076041776055 0.252506963976293 -0.00543699154788646
"Immunityhybridboost_001-061" -1.65501929101851 -2.34894502544163 -0.961093556595386 0.191088369380638 0.0954698273455789 0.382474399795193 0.808911630619362 0.904530172654421 0.617525600204807
"Immunityhybridboost_062-122" -2.43417744425309 -2.86348381602769 -2.00487107247849 0.0876698307206636 0.057069593572068 0.134677658232906 0.912330169279336 0.942930406427932 0.865322341767094
"Immunityhybridboost_123-183" -2.52202290470514 -2.88205996647573 -2.16198584293454 0.08029700914764 0.056019246125695 0.115096330707292 0.91970299085236 0.943980753874305 0.884903669292708
"Immunityhybridboost_184-244" -1.88136140711033 -2.08613636606918 -1.67658644815149 0.152382509845279 0.124165942002496 0.187011260352535 0.847617490154721 0.875834057997504 0.812988739647465
"Immunityhybridboost_245-305" -1.7327798211085 -1.92593184227405 -1.53962779994294 0.176792275364828 0.145739886973711 0.214460908936421 0.823207724635172 0.854260113026289 0.785539091063579
"Immunityhybridboost_306-366" -1.73448306407242 -2.00941832561864 -1.45954780252621 0.176491411460635 0.134066635119852 0.232341315134228 0.823508588539365 0.865933364880148 0.767658684865772
"Immunityhybridfull_062-122" -1.75423632485117 -2.55529364473926 -0.953179004963085 0.173039337688273 0.0776694215013399 0.385513523968756 0.826960662311727 0.92233057849866 0.614486476031244
"Immunityhybridfull_123-183" -1.66018011658627 -2.1377156264212 -1.18264460675133 0.190104736001566 0.117923917853303 0.30646718077314 0.809895263998434 0.882076082146697 0.69353281922686
"Immunityhybridfull_184-244" -1.7396051343903 -2.08339756054621 -1.39581270823439 0.175589721272272 0.124506474483474 0.247631702241852 0.824410278727728 0.875493525516526 0.752368297758148
"Immunityhybridfull_245-305" -1.80887265605741 -2.1334972092361 -1.48424810287872 0.163838735335977 0.118422420842458 0.226672711176905 0.836161264664023 0.881577579157542 0.773327288823095
"Immunityhybridfull_306-366" -1.6411480671685 -1.97963118420405 -1.30266495013295 0.19375746796258 0.138120168818143 0.271806476291671 0.80624253203742 0.861879831181857 0.728193523708329
"Immunityinf_062-122" -1.22550866424646 -1.81759293815193 -0.633424390340995 0.293608314281145 0.162416226698483 0.530771117931783 0.706391685718855 0.837583773301517 0.469228882068217
"Immunityinf_123-183" -1.5040478641329 -1.92407810139322 -1.08401762687259 0.22222878512877 0.146010301521978 0.338233894629521 0.77777121487123 0.853989698478022 0.661766105370479
"Immunityinf_184-244" -1.14610902144311 -1.40438459715549 -0.887833445730724 0.317871196265899 0.245518102509737 0.411546425223398 0.682128803734101 0.754481897490263 0.588453574776602
"Immunityinf_245-305" -1.43463944514748 -1.71742240793444 -1.15185648236052 0.238201233143977 0.179528302761018 0.316049484113051 0.761798766856023 0.820471697238982 0.683950515886949
"Immunityinf_306-366" -1.49729272031804 -1.85773445875942 -1.13685098187667 0.223735054336847 0.156025712942672 0.320827725091084 0.776264945663153 0.843974287057328 0.679172274908916
"Immunityother" -0.393672482596388 -0.451611471496714 -0.335733493696063 0.674574955102195 0.636601459494661 0.714813582759222 0.325425044897805 0.363398540505339 0.285186417240778
"Immunitysecboostearly_001-061" -1.27512301818719 -1.47910918437943 -1.07113685199494 0.279396595244547 0.227840561940507 0.342618789075094 0.720603404755453 0.772159438059493 0.657381210924906
