"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"InfPriorinf_NA_062-122" -1.77973862437697 -1.91654774343745 -1.64292950531649 0.168682230930351 0.1471139616201 0.193412608281991 0.831317769069649 0.8528860383799 0.806587391718009
"InfPriorinf_NA_123-183" -1.9014124325828 -2.09741952657657 -1.70540533858904 0.149357512753404 0.122772831871608 0.181698721743356 0.850642487246596 0.877227168128392 0.818301278256644
"InfPriorinf_NA_184-244" -1.6319509785992 -1.8108151779436 -1.45308677925481 0.195547692363541 0.163520783920553 0.233847337762793 0.804452307636459 0.836479216079447 0.766152662237207
"InfPriorinf_NA_245-305" -1.61732129796755 -1.78993291318133 -1.44470968275376 0.198429521371033 0.16697137086939 0.235814527643405 0.801570478628967 0.83302862913061 0.764185472356595
"InfPriorinf_NA_306-366" -1.44899363473649 -1.58890215847552 -1.30908511099747 0.234806470306441 0.20414961267495 0.270067024744028 0.765193529693559 0.79585038732505 0.729932975255972
"InfPriorinf_NA_367+" -1.27343449065201 -1.34096278600001 -1.20590619530402 0.279868762610466 0.261593688557337 0.299420543045501 0.720131237389534 0.738406311442663 0.700579456954499
"VaccStatusboost_001-061" -1.91713228425143 -1.98238873238274 -1.85187583612011 0.147027992633866 0.137739820453664 0.156942491624753 0.852972007366134 0.862260179546336 0.843057508375247
"VaccStatusboost_062-122" -1.6220896571333 -1.66574442961988 -1.57843488464672 0.197485590433449 0.18904987126178 0.206297725402008 0.802514409566551 0.81095012873822 0.793702274597992
"VaccStatusboost_123-183" -1.14184515453939 -1.20214053302675 -1.08154977605203 0.319229450388885 0.30055018528018 0.339069636242577 0.680770549611115 0.69944981471982 0.660930363757423
"VaccStatusboost_184-244" -0.689900680384782 -0.752100205027973 -0.627701155741591 0.50162588788219 0.471375527174614 0.533817554979648 0.49837411211781 0.528624472825386 0.466182445020352
"VaccStatusboost_245-305" -0.544844068761804 -0.595249641296129 -0.49443849622748 0.579932205836743 0.551424890259464 0.609913279773098 0.420067794163257 0.448575109740536 0.390086720226902
"VaccStatusboost_306-366" -0.48498969364512 -0.543759944955024 -0.426219442335217 0.615703542390794 0.580561265074845 0.652973036469631 0.384296457609206 0.419438734925155 0.347026963530369
"VaccStatusboost_367+" -0.390831403173909 -0.483163963176975 -0.298498843170843 0.676494201200384 0.61682867789203 0.741931140137184 0.323505798799616 0.38317132210797 0.258068859862816
"VaccStatusfull_001-061" -0.660208997173924 -0.783472710796967 -0.536945283550882 0.516743325310651 0.456816860727613 0.584531104714037 0.483256674689349 0.543183139272387 0.415468895285963
"VaccStatusfull_062-122" -0.558195361235765 -0.66636814068932 -0.450022581782211 0.572240820561987 0.513570410259406 0.637613753004296 0.427759179438013 0.486429589740594 0.362386246995704
"VaccStatusfull_123-183" -0.333403476051306 -0.418909236694688 -0.247897715407923 0.71648105288278 0.657763893383655 0.780439766158761 0.28351894711722 0.342236106616345 0.219560233841239
"VaccStatusfull_184-244" -0.379280427911592 -0.440920789426603 -0.31764006639658 0.684353673883483 0.643443672096641 0.727864724245014 0.315646326116517 0.356556327903359 0.272135275754986
"VaccStatusfull_245-305" -0.25829891722626 -0.325733599801598 -0.190864234650921 0.772364324595961 0.721997502092049 0.826244755944487 0.227635675404039 0.278002497907951 0.173755244055513
"VaccStatusfull_306-366" -0.19254533696608 -0.274638274687726 -0.110452399244433 0.824856920845627 0.759846929387613 0.895428952269741 0.175143079154373 0.240153070612387 0.104571047730259
"VaccStatusfull_367+" -0.149795551719194 -0.211600809553753 -0.0879902938846359 0.860883964680749 0.809287693009178 0.915769765247177 0.139116035319251 0.190712306990822 0.0842302347528225
"VaccStatuspartial_001-061" 0.0861164270840329 -0.11655690404646 0.288789758214526 1.08993321866469 0.889979452103651 1.33481106596426 -0.0899332186646877 0.110020547896349 -0.334811065964264
"VaccStatuspartial_062+" 0.200081706668177 0.0708898571654767 0.329273556170878 1.22150255898718 1.07346298510086 1.38995803518279 -0.221502558987183 -0.0734629851008555 -0.389958035182788
"VaccStatussecboost_001-061" -1.38430675424918 -1.49755886220045 -1.2710546462979 0.25049739586765 0.223675516991366 0.280535599874778 0.74950260413235 0.776324483008634 0.719464400125222
"VaccStatussecboost_062-122" -0.98684639903434 -1.12653788576946 -0.847154912299219 0.372750345279584 0.324153572668629 0.428632696416664 0.627249654720416 0.675846427331371 0.571367303583336
"VaccStatussecboost_123-183" -0.555716442966282 -0.799427425442829 -0.312005460489735 0.573661118460511 0.449586312118303 0.731977531261604 0.426338881539489 0.550413687881697 0.268022468738396
"AgeGr0-11" 0.303428423005324 0.186185463038397 0.42067138297225 1.35449463681682 1.20464565690481 1.52298371778424 -0.354494636816818 -0.204645656904811 -0.522983717784237
