"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunity_other" -0.38002433975938 -0.498335554712384 -0.261713124806376 0.683844764392773 0.607541037436947 0.769731808998895 0.316155235607227 0.392458962563053 0.230268191001105
"Immunityboost_001-061" -0.639029099022689 -1.16438055207365 -0.113677645971733 0.527804621379092 0.312115941736001 0.89254562519193 0.472195378620908 0.687884058263999 0.10745437480807
"Immunityboost_062-122" -1.05098839114667 -1.64329511223888 -0.458681670054467 0.349592044611824 0.193341908218529 0.632116434465619 0.650407955388176 0.806658091781471 0.367883565534381
"Immunityboost_123-183" -0.453351844415554 -0.722669178733993 -0.184034510097115 0.635494499095819 0.485454759584842 0.831907094136678 0.364505500904181 0.514545240415158 0.168092905863322
"Immunityboost_184-244" -0.544086222128256 -0.635956911030714 -0.452215533225797 0.580371872085373 0.529428629751184 0.636217029037855 0.419628127914627 0.470571370248816 0.363782970962145
"Immunityboost_245-305" -0.439056746106455 -0.498105254948055 -0.380008237264855 0.644644197543606 0.607680970107301 0.683855776088005 0.355355802456394 0.392319029892699 0.316144223911995
"Immunityboost_306-366" -0.409308170285209 -0.472856485377805 -0.345759855192613 0.664109541957138 0.623219505871841 0.707682412959031 0.335890458042862 0.376780494128159 0.292317587040969
"Immunityboost_367-427" -0.396615541863769 -0.496092155550331 -0.297138928177207 0.672592559613639 0.608905524463502 0.742940789782147 0.327407440386361 0.391094475536498 0.257059210217853
"Immunityboost_428-488" -0.240487472990174 -0.617693114261993 0.136718168281646 0.786244494678937 0.539186846442248 1.14650498151414 0.213755505321063 0.460813153557752 -0.146504981514139
"Immunityfull_062-122" -1.04289121030798 -3.00325012337745 0.917467702761491 0.352434245997209 0.0496255169263349 2.50294415947346 0.647565754002791 0.950374483073665 -1.50294415947346
"Immunityfull_123-183" 0.358853833803078 -0.105767063058983 0.82347473066514 1.43168752195696 0.899634181705236 2.27840293555994 -0.431687521956964 0.100365818294764 -1.27840293555994
"Immunityfull_184-244" -0.0432236629355603 -0.272658313384237 0.186210987513116 0.957697164751546 0.761352887281576 1.20467640524484 0.0423028352484538 0.238647112718424 -0.204676405244842
"Immunityfull_245-305" -0.0185309569066109 -0.185579851181293 0.148517937368071 0.981639685593347 0.830622506744368 1.16011360697257 0.0183603144066532 0.169377493255632 -0.160113606972567
"Immunityfull_306-366" -0.135961421974129 -0.308781317681627 0.0368584737333688 0.872876305683895 0.734341339935418 1.03754617041085 0.127123694316105 0.265658660064582 -0.03754617041085
"Immunityfull_367-427" -0.0567647663231694 -0.18490173641489 0.0713722037685517 0.944816295839123 0.831185955151248 1.07398089122033 0.0551837041608768 0.168814044848752 -0.073980891220333
"Immunityfull_428-488" 0.00356195100116894 -0.110745593740892 0.11786949574323 1.00356830228739 0.895166455912089 1.12509727180271 -0.00356830228738758 0.104833544087911 -0.125097271802706
"Immunityfull_489-549" -0.0731779946138671 -0.210489280350232 0.0641332911224979 0.929435380809973 0.810187740035618 1.06623450888482 0.0705646191900269 0.189812259964382 -0.0662345088848211
"Immunityhybridboost_001-061" -2.04795064782696 -2.37272586579526 -1.72317542985866 0.12899899726026 0.0932262573454265 0.178498437757663 0.87100100273974 0.906773742654573 0.821501562242337
"Immunityhybridboost_062-122" -2.12288412027664 -2.44794653949739 -1.79782170105588 0.119685941598769 0.0864709690325576 0.165659351070653 0.880314058401231 0.913529030967442 0.834340648929347
"Immunityhybridboost_123-183" -2.43446321090732 -2.8366853084068 -2.03224111340784 0.0876447811857931 0.0586196503498945 0.131041512927062 0.912355218814207 0.941380349650106 0.868958487072938
"Immunityhybridboost_184-244" -1.82738231353683 -2.05334721097294 -1.60141741610072 0.160834030279456 0.128304721063389 0.201610549335538 0.839165969720544 0.871695278936611 0.798389450664462
"Immunityhybridboost_245-305" -1.72491944079855 -1.92312752754465 -1.52671135405246 0.178187405829836 0.146149161083904 0.217248948682906 0.821812594170164 0.853850838916096 0.782751051317094
"Immunityhybridboost_306-366" -1.80373490063029 -2.0870528298606 -1.52041697139997 0.16468266478277 0.124052200540449 0.218620709361066 0.83531733521723 0.875947799459551 0.781379290638934
"Immunityhybridboost_367-427" -1.33143794107588 -1.7737416095534 -0.889134272598353 0.264097231877605 0.169696860101946 0.41101142262451 0.735902768122395 0.830303139898054 0.58898857737549
"Immunityhybridboost_428-488" 0.280358407824773 -0.85546925529636 1.41618607094591 1.32360411740762 0.425083671508876 4.12137180757793 -0.323604117407617 0.574916328491125 -3.12137180757793
"Immunityhybridfull_062-122" -1.48398430167743 -2.28517046337623 -0.682798139978622 0.226732515598306 0.101756714834624 0.505201388557839 0.773267484401694 0.898243285165376 0.494798611442161
"Immunityhybridfull_123-183" -1.85169556964096 -2.54624579876787 -1.15714534051405 0.156970785645302 0.0783753512196324 0.31438235571098 0.843029214354698 0.921624648780368 0.68561764428902
"Immunityhybridfull_184-244" -1.95064319635796 -2.39145519965657 -1.50983119305935 0.142182590845031 0.091496441363738 0.220947272244596 0.857817409154969 0.908503558636262 0.779052727755404
"Immunityhybridfull_245-305" -1.78197921194182 -2.12085940537603 -1.44309901850761 0.168304706717284 0.11992851699826 0.236194651715752 0.831695293282716 0.88007148300174 0.763805348284248
"Immunityhybridfull_306-366" -1.63815396280176 -1.99273733096927 -1.28357059463424 0.194338467395928 0.136321756485227 0.277046312221563 0.805661532604072 0.863678243514773 0.722953687778437
"Immunityhybridfull_367-427" -1.09829983168279 -1.43719515966593 -0.759404503699654 0.333437501935029 0.237593236058545 0.467945003574414 0.666562498064971 0.762406763941455 0.532054996425586
"Immunityhybridfull_428-488" -1.33195314110111 -1.83980885377106 -0.824097428431153 0.263961204020865 0.158847786360543 0.438630709464215 0.736038795979135 0.841152213639457 0.561369290535785
"Immunityhybridfull_489-549" -1.32032968104602 -2.01473029272756 -0.625929069364488 0.267047247035887 0.133356365697735 0.534764364463009 0.732952752964113 0.866643634302265 0.465235635536991
"Immunityinf_062-122" -0.946444165436457 -1.53870948366333 -0.354178847209585 0.388118658422295 0.214657942336079 0.701749450200536 0.611881341577705 0.785342057663921 0.298250549799464
"Immunityinf_123-183" -1.33620312886759 -1.8442156456999 -0.828190612035276 0.262841752645274 0.158149317351835 0.4368389828705 0.737158247354726 0.841850682648165 0.5631610171295
"Immunityinf_184-244" -1.12439005054185 -1.4107103101729 -0.838069790910809 0.324850549358764 0.24396992727128 0.432544619736472 0.675149450641236 0.75603007272872 0.567455380263528
"Immunityinf_245-305" -1.37855943804188 -1.66763400354886 -1.08948487253491 0.251941228718432 0.188692984841593 0.336389732673102 0.748058771281568 0.811307015158407 0.663610267326898
"Immunityinf_306-366" -1.5055398149542 -1.87231454457874 -1.13876508532965 0.221897477918769 0.153767348240115 0.320214214982897 0.778102522081231 0.846232651759885 0.679785785017103
"Immunityinf_367-427" -0.914291026823886 -1.36737457803812 -0.461207475609648 0.400800682317529 0.25477497407136 0.630521845921974 0.599199317682471 0.74522502592864 0.369478154078026
"Immunityinf_428-488" -0.940499500287963 -1.92162367582932 0.0406246752533918 0.390432765365088 0.146369113096647 1.04146114604094 0.609567234634912 0.853630886903353 -0.0414611460409404
