"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunity_other" -0.296322036929244 -0.472724718228952 -0.119919355629535 0.743547939564983 0.623301631139826 0.886991964741557 0.256452060435017 0.376698368860174 0.113008035258443
"Immunityboost_001-061" -0.660879197697904 -1.46330748883652 0.141549093440709 0.516397119689818 0.231469424716663 1.15205706131754 0.483602880310182 0.768530575283337 -0.15205706131754
"Immunityboost_062-122" -1.00721476597108 -1.88575382093395 -0.128675711008215 0.365234828699476 0.15171465063334 0.879259053349595 0.634765171300524 0.84828534936666 0.120740946650405
"Immunityboost_123-183" -0.876530160191314 -1.38862820540289 -0.364432114979738 0.416224641780232 0.249417219253532 0.694590986715239 0.583775358219768 0.750582780746468 0.305409013284761
"Immunityboost_184-244" -0.578673562767495 -0.720419457737884 -0.436927667797107 0.560641529375681 0.486548126774553 0.64601815763715 0.439358470624319 0.513451873225447 0.35398184236285
"Immunityboost_245-305" -0.519215606052011 -0.60995079466526 -0.428480417438761 0.594987069234286 0.543377605493676 0.65149834843557 0.405012930765714 0.456622394506324 0.34850165156443
"Immunityboost_306-366" -0.483272360704072 -0.579204870070359 -0.387339851337786 0.616761818812449 0.560343735553857 0.678860344122253 0.383238181187551 0.439656264446143 0.321139655877747
"Immunityboost_367-427" -0.550652329567526 -0.698510433995924 -0.402794225139127 0.57657357168935 0.497325551565148 0.668449635303056 0.42342642831065 0.502674448434852 0.331550364696944
"Immunityboost_428-488" -0.261833841991366 -0.758172276561564 0.234504592578832 0.769638894750001 0.468521973512955 1.26428227873847 0.230361105249999 0.531478026487045 -0.26428227873847
"Immunityfull_123-183" 0.466318870865571 -0.278481867996573 1.21111960972771 1.59411523521825 0.756931992318957 3.3572413492124 -0.594115235218246 0.243068007681043 -2.3572413492124
"Immunityfull_184-244" 0.271888850407351 -0.0464400411471894 0.590217741961891 1.3124411159083 0.95462179688185 1.80438126214271 -0.312441115908297 0.0453782031181496 -0.804381262142712
"Immunityfull_245-305" -0.0375213916055978 -0.302763018179993 0.227720234968797 0.963173813666102 0.738774151670238 1.25573396583344 0.0368261863338984 0.261225848329762 -0.255733965833438
"Immunityfull_306-366" -0.0829276706497407 -0.345740690427743 0.179885349128262 0.920417718028096 0.70769597565604 1.19708010897577 0.0795822819719038 0.29230402434396 -0.197080108975772
"Immunityfull_367-427" -0.0815782826125172 -0.282141067909626 0.118984502684592 0.92166055703351 0.754167288225854 1.12635246271372 0.0783394429664902 0.245832711774146 -0.126352462713721
"Immunityfull_428-488" 0.0399820188795939 -0.131009132388057 0.210973170147245 1.04079205941679 0.877209763334498 1.23487922298921 -0.0407920594167943 0.122790236665502 -0.234879222989209
"Immunityfull_489-549" -0.0271815954495046 -0.225627215862533 0.171264024963524 0.973184499600402 0.798015533755684 1.18680405355673 0.0268155003995979 0.201984466244316 -0.186804053556733
"Immunityhybridboost_001-061" -2.60527404028267 -3.22805223755515 -1.98249584301018 0.0738828875356864 0.0396346224838871 0.137725067845166 0.926117112464314 0.960365377516113 0.862274932154834
"Immunityhybridboost_062-122" -2.18188458472492 -2.66163437397288 -1.70213479547696 0.112828694914995 0.0698339935627972 0.182293948072345 0.887171305085005 0.930166006437203 0.817706051927655
"Immunityhybridboost_123-183" -3.04343718649264 -3.84600675826399 -2.24086761472129 0.0476707543013804 0.0213648814592363 0.106366179470663 0.95232924569862 0.978635118540764 0.893633820529337
"Immunityhybridboost_184-244" -2.13979240309262 -2.53705370734407 -1.74253109884117 0.117679270338759 0.0790991059270314 0.17507670289267 0.882320729661241 0.920900894072969 0.82492329710733
"Immunityhybridboost_245-305" -1.88249236623117 -2.20213591517655 -1.5628488172858 0.152210268873021 0.110566744784332 0.209538283826552 0.847789731126979 0.889433255215668 0.790461716173448
"Immunityhybridboost_306-366" -2.16790628507031 -2.66214694771064 -1.67366562242997 0.114416922723657 0.0697982076639337 0.187558286146591 0.885583077276343 0.930201792336066 0.812441713853409
"Immunityhybridboost_367-427" -2.29970217256987 -3.28365377186382 -1.31575057327591 0.100288708003558 0.0374910226050762 0.268272889191907 0.899711291996442 0.962508977394924 0.731727110808093
"Immunityhybridboost_428-488" -0.2854813334817 -2.25058357898836 1.67962091202496 0.751652371780141 0.105337733733144 5.36352233886102 0.248347628219859 0.894662266266856 -4.36352233886102
"Immunityhybridfull_062-122" -2.33925945872783 -4.30021043158236 -0.378308485873305 0.0963989992418789 0.0135657040592543 0.685019149337583 0.903601000758121 0.986434295940746 0.314980850662417
"Immunityhybridfull_123-183" -1.62011700532059 -2.60265218870168 -0.637581821939494 0.197875545237472 0.0740768516626453 0.528569053951458 0.802124454762528 0.925923148337355 0.471430946048542
"Immunityhybridfull_184-244" -2.18979588127133 -2.99309831734895 -1.38649344519372 0.111939595253407 0.0501318714057651 0.249950233935523 0.888060404746593 0.949868128594235 0.750049766064477
"Immunityhybridfull_245-305" -1.83598903686304 -2.38339970834017 -1.2885783653859 0.159455716171779 0.0922364667850616 0.275662395862423 0.840544283828221 0.907763533214938 0.724337604137577
"Immunityhybridfull_306-366" -1.64884379717184 -2.1961367102182 -1.10155088412547 0.192272085684374 0.111232051006676 0.332355239329358 0.807727914315626 0.888767948993324 0.667644760670642
"Immunityhybridfull_367-427" -1.22794966067933 -1.77539512622138 -0.680504195137284 0.292892491449248 0.16941649537302 0.506361622924998 0.707107508550752 0.83058350462698 0.493638377075002
"Immunityhybridfull_428-488" -1.80306763956513 -2.78511256717083 -0.821022711959424 0.164792587782677 0.0617221407531299 0.439981450039614 0.835207412217323 0.93827785924687 0.560018549960386
"Immunityhybridfull_489-549" -1.22098855672558 -2.20325421494614 -0.238722898505013 0.294938459365398 0.110443167130425 0.787633106447481 0.705061540634602 0.889556832869575 0.212366893552519
"Immunityinf_123-183" -1.45912809558986 -2.33828716675122 -0.579969024428508 0.232438850862568 0.0964927727956451 0.559915710005894 0.767561149137432 0.903507227204355 0.440084289994106
"Immunityinf_184-244" -1.09381047224549 -1.58851182837342 -0.599109116117559 0.334937787872736 0.204229313968004 0.549300781388596 0.665062212127264 0.795770686031996 0.450699218611404
"Immunityinf_245-305" -1.35788118591574 -1.86815333125784 -0.847609040573646 0.257205169952753 0.154408540120807 0.428438086382182 0.742794830047246 0.845591459879193 0.571561913617818
"Immunityinf_306-366" -1.08688194662708 -1.61525917924344 -0.558504714010724 0.33726647077055 0.19883912878688 0.572063823654855 0.66273352922945 0.80116087121312 0.427936176345145
"Immunityinf_367-427" -1.17057504180237 -2.05109297883243 -0.290057104772318 0.310188518605343 0.128594275928715 0.748220839377909 0.689811481394657 0.871405724071285 0.251779160622091
"Immunityinf_428-488" -1.3004493169012 -3.26179217260178 0.660893538799378 0.272409367399301 0.0383196609951009 1.93652191903197 0.727590632600699 0.961680339004899 -0.93652191903197
"Immunityinf_489-549" -1.27684155200296 -2.25943584293131 -0.294247261074624 0.278916855090515 0.104409371427466 0.745092236357616 0.721083144909485 0.895590628572534 0.254907763642384
"Immunitysecboost_001-061" -1.3113468568271 -1.51686624466694 -1.10582746898726 0.269456892019758 0.219398351538604 0.330936928868274 0.730543107980242 0.780601648461396 0.669063071131726
"Immunitysecboost_062-122" -0.925865479940593 -1.14668697672347 -0.705043983157721 0.396188377555159 0.317687534008941 0.494086842278713 0.603811622444841 0.682312465991059 0.505913157721287
"Immunitysecboost_123-183" -0.903174569846938 -1.3068467115961 -0.499502428097781 0.405281022474839 0.270672219691858 0.606832527420958 0.594718977525161 0.729327780308142 0.393167472579042
"Immunitysecboost45_001-061" -1.79043263315209 -2.15039127907284 -1.43047398723134 0.1668879527854 0.116438588875903 0.239195519748056 0.8331120472146 0.883561411124097 0.760804480251944
"Immunitysecboost45_062-122" -1.50747496539936 -2.10785846250466 -0.907091468294056 0.221468488129359 0.121497880292661 0.403696682741772 0.778531511870641 0.878502119707339 0.596303317258228
"AgeGr0-11" -1.50776732558773 -2.0277562128649 -0.987778438310556 0.221403749024481 0.13163054095828 0.372403089170865 0.778596250975519 0.86836945904172 0.627596910829135
"AgeGr12-15" -2.5587272225294 -3.97846320860015 -1.13899123645866 0.0774031948172697 0.0187143773440722 0.32014180636461 0.92259680518273 0.981285622655928 0.67985819363539
"AgeGr18-24" -1.27271525850086 -1.96427698484234 -0.581153532159385 0.280070125627336 0.140257258088414 0.559252878160974 0.719929874372664 0.859742741911586 0.440747121839026
"AgeGr25-29" -1.231557314302 -1.95316714397328 -0.509947484630715 0.291837740523398 0.141824181926859 0.600527114887398 0.708162259476602 0.858175818073141 0.399472885112602
"AgeGr30-34" -0.883706938414462 -1.47522443818597 -0.292189438642958 0.413248183301841 0.228727386124384 0.746627082554094 0.586751816698159 0.771272613875616 0.253372917445906
"AgeGr35-39" -0.65803759770643 -1.20201599793163 -0.114059197481231 0.517866600590383 0.300587616656805 0.89220513802217 0.482133399409617 0.699412383343195 0.10779486197783
"AgeGr45-49" -0.00659035056344207 -0.434436325968886 0.421255624842001 0.993431318169187 0.647629616208635 1.52387376861628 0.00656868183081338 0.352370383791365 -0.523873768616279
"AgeGr50-54" 0.636718507388554 0.244563557775545 1.02887345700156 1.89026779098878 1.27706382698105 2.79791209034269 -0.890267790988776 -0.277063826981053 -1.79791209034269
"AgeGr55-59" 1.16166177997204 0.800506762500102 1.52281679744398 3.19523865030796 2.22666903499436 4.58512238324079 -2.19523865030796 -1.22666903499436 -3.58512238324079
"AgeGr60-64" 1.79570367771845 1.4556709156164 2.1357364398205 6.02371198270395 4.28735895696556 8.46327690654863 -5.02371198270395 -3.28735895696556 -7.46327690654863
