"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunity_other" -0.377441818817665 -0.495743414530074 -0.259140223105255 0.685613090204111 0.609117911829284 0.771714803210343 0.314386909795889 0.390882088170716 0.228285196789657
"Immunityboost_001-061" -0.857184541461256 -1.38247420340343 -0.331894879519086 0.424355156352817 0.25095686595487 0.717562749431241 0.575644843647183 0.74904313404513 0.282437250568759
"Immunityboost_062-122" -1.09383468075034 -1.68613798662723 -0.501531374873465 0.334929679627816 0.185233518703303 0.605602544727725 0.665070320372184 0.814766481296697 0.394397455272275
"Immunityboost_123-183" -0.455654614251899 -0.724967297018129 -0.186341931485668 0.634032785173428 0.484340408071952 0.829989746829165 0.365967214826572 0.515659591928048 0.170010253170835
"Immunityboost_184-244" -0.547325202335763 -0.639154273549106 -0.455496131122421 0.578495100133065 0.527738557820394 0.634133276636304 0.421504899866935 0.472261442179606 0.365866723363696
"Immunityboost_245-305" -0.442700911403197 -0.501688233075846 -0.383713589730548 0.642299282753749 0.605507558451085 0.681326538154697 0.357700717246251 0.394492441548915 0.318673461845303
"Immunityboost_306-366" -0.409744604128835 -0.473295429496789 -0.346193778760882 0.663819765315919 0.622946007364574 0.707375399496204 0.336180234684081 0.377053992635426 0.292624600503796
"Immunityboost_367-427" -0.384025936761529 -0.483400931842711 -0.284650941680347 0.681113761065253 0.616682526140619 0.752276796970033 0.318886238934747 0.383317473859381 0.247723203029967
"Immunityboost_428-488" -0.218195677333819 -0.595311479941661 0.158920125274023 0.803968107937903 0.551390791945446 1.17224431024812 0.196031892062097 0.448609208054554 -0.172244310248116
"Immunityfull_062-122" -1.04302076602554 -3.00337990853432 0.917338376483242 0.352388589083198 0.0496190766887686 2.50262048395098 0.647611410916802 0.950380923311231 -1.50262048395098
"Immunityfull_123-183" 0.355939574538898 -0.108675677753986 0.820554826831783 1.42752128702568 0.897021294287664 2.27175992129564 -0.427521287025683 0.102978705712336 -1.27175992129564
"Immunityfull_184-244" -0.0467504476171022 -0.276168447889291 0.182667552655087 0.954325522084964 0.758685121089625 1.20041526686953 0.0456744779150358 0.241314878910375 -0.200415266869525
"Immunityfull_245-305" -0.0219483613134744 -0.188982795383198 0.145086072756249 0.978290751396342 0.827800748566888 1.15613907806256 0.0217092486036577 0.172199251433112 -0.156139078062562
"Immunityfull_306-366" -0.135845402846356 -0.308669682924674 0.0369788772319612 0.87297758190641 0.73442332252839 1.03767110212068 0.12702241809359 0.26557667747161 -0.0376711021206753
"Immunityfull_367-427" -0.0585643667029246 -0.186695316730679 0.0695665833248298 0.943117533079848 0.829696492518051 1.07204343904499 0.0568824669201522 0.170303507481949 -0.0720434390449911
"Immunityfull_428-488" 0.00144378778686467 -0.112855054454071 0.1157426300278 1.00144483055023 0.893280127708692 1.1227068839069 -0.00144483055023414 0.106719872291308 -0.122706883906905
"Immunityfull_489-549" -0.0701449099805646 -0.20744520213868 0.0671553821775509 0.932258716524778 0.812657772460909 1.06946164054345 0.0677412834752223 0.187342227539091 -0.0694616405434454
"Immunityhybridboost_001-061" -2.04733579028279 -2.37211028760424 -1.72256129296134 0.129078337655936 0.09328366306332 0.178608093902899 0.870921662344064 0.90671633693668 0.821391906097101
"Immunityhybridboost_062-122" -2.11816567494852 -2.44321849485112 -1.79311285504591 0.120252007596251 0.0868807756633581 0.166441254932619 0.879747992403749 0.913119224336642 0.833558745067381
"Immunityhybridboost_123-183" -2.43393426105535 -2.83615718384876 -2.03171133826194 0.0876911531429659 0.0586506170032331 0.131110953856107 0.912308846857034 0.941349382996767 0.868889046143893
"Immunityhybridboost_184-244" -1.83054247405696 -2.05649568118785 -1.60458926692606 0.160326571175104 0.127901392737477 0.200972083842163 0.839673428824896 0.872098607262523 0.799027916157837
"Immunityhybridboost_245-305" -1.7268617633641 -1.92506592381964 -1.52865760290856 0.177841644309501 0.14586614048612 0.216826539355216 0.822158355690499 0.85413385951388 0.783173460644784
"Immunityhybridboost_306-366" -1.80030770470492 -2.08362059037808 -1.51699481903175 0.16524803280059 0.124478708921791 0.219370144348313 0.83475196719941 0.875521291078209 0.780629855651687
"Immunityhybridboost_367-427" -1.31759333372358 -1.75986981359841 -0.875316853848756 0.267778981738849 0.172067263182799 0.416729956266678 0.732221018261151 0.827932736817201 0.583270043733322
"Immunityhybridboost_428-488" 0.302443330163009 -0.833353267812355 1.43823992813837 1.35316099083554 0.434589545104558 4.21327362276625 -0.35316099083554 0.565410454895442 -3.21327362276625
"Immunityhybridfull_062-122" -1.48196117262311 -2.28314663525758 -0.68077570998863 0.227191689065144 0.101962861467681 0.506224156887102 0.772808310934856 0.898037138532319 0.493775843112898
"Immunityhybridfull_123-183" -1.85332217593876 -2.54787246237837 -1.15877188949914 0.156715663524677 0.0782479645235834 0.313871413058643 0.843284336475323 0.921752035476417 0.686128586941356
"Immunityhybridfull_184-244" -1.9543335226804 -2.39513830698407 -1.51352873837673 0.141658857655004 0.0911600699763195 0.220131818210905 0.858341142344996 0.90883993002368 0.779868181789095
"Immunityhybridfull_245-305" -1.7841909357286 -2.1230682975009 -1.4453135739563 0.16793287454062 0.119663900204086 0.235672164315037 0.83206712545938 0.880336099795914 0.764327835684963
"Immunityhybridfull_306-366" -1.63691855981752 -1.99150007463799 -1.28233704499706 0.194578702081269 0.136490525825467 0.277388273469212 0.805421297918731 0.863509474174533 0.722611726530788
"Immunityhybridfull_367-427" -1.09520183970697 -1.43409382831145 -0.756309851102487 0.334472090386362 0.238331235209576 0.4693953738336 0.665527909613638 0.761668764790424 0.530604626166399
"Immunityhybridfull_428-488" -1.33129613344907 -1.83915200144952 -0.823440265448614 0.264134685534849 0.158952160173123 0.438919056064458 0.735865314465151 0.841047839826877 0.561080943935542
"Immunityhybridfull_489-549" -1.31499236530847 -2.00938671036936 -0.620598020247583 0.268476372965702 0.134070873736944 0.537622832101801 0.731523627034298 0.865929126263056 0.462377167898199
