"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunity_other" -0.0488808599250075 -0.207539833428093 0.109778113578078 0.952294579387772 0.812580873246643 1.1160304109891 0.0477054206122284 0.187419126753357 -0.1160304109891
"Immunityboost_001-061" -1.97924987966216 -2.06544439628432 -1.89305536303999 0.13817284470798 0.126761945511577 0.150610934043703 0.86182715529202 0.873238054488423 0.849389065956297
"Immunityboost_062-122" -1.74771127455202 -1.80469037314051 -1.69073217596352 0.174172119781355 0.164525390171408 0.184384472679418 0.825827880218646 0.835474609828592 0.815615527320582
"Immunityboost_123-183" -1.27404946199765 -1.35838724986167 -1.18971167413363 0.279696704251824 0.257075040619193 0.30430899157268 0.720303295748176 0.742924959380807 0.69569100842732
"Immunityboost_184-244" -1.24700918824325 -1.6857619223014 -0.8082564541851 0.287362961439674 0.185303191521544 0.445634373209266 0.712637038560326 0.814696808478456 0.554365626790734
"Immunityfull_001-061" -0.692579895947341 -0.860599347238944 -0.524560444655738 0.500283722774475 0.422908537280435 0.591815442843904 0.499716277225525 0.577091462719565 0.408184557156096
"Immunityfull_062-122" -0.529245903708498 -0.670897791858549 -0.387594015558446 0.589049001903635 0.511249376156043 0.678687824037097 0.410950998096365 0.488750623843957 0.321312175962903
"Immunityfull_123-183" -0.443076116876721 -0.574193593893413 -0.311958639860029 0.642058333752738 0.56315882045946 0.732011803712871 0.357941666247262 0.43684117954054 0.267988196287129
"Immunityfull_184-244" -0.346480413477927 -0.430789169938503 -0.262171657017352 0.707172670204739 0.649995935012779 0.769378943077035 0.292827329795261 0.350004064987221 0.230621056922965
"Immunityfull_245-305" -0.318968427794482 -0.417461873523166 -0.220474982065798 0.726898498732847 0.658716605912693 0.802137706438965 0.273101501267153 0.341283394087307 0.197862293561035
"Immunityfull_306-366" -0.0653881529093008 -0.196070228647544 0.0652939228289423 0.936703808496698 0.821954507897741 1.06747273288436 0.0632961915033019 0.178045492102259 -0.0674727328843574
"Immunityfull_367-427" 0.203399182050173 -0.0628373167045773 0.469635680804923 1.22556159280536 0.939096236533293 1.59941139079026 -0.225561592805362 0.0609037634667068 -0.599411390790262
"Immunityfull_428-488" -0.340652465678073 -2.30451917228288 1.62321424092673 0.711306068527783 0.0998067789837309 5.06935829686404 0.288693931472217 0.900193221016269 -4.06935829686404
"Immunityhybridboost_001-061" -3.32714674492726 -3.69917744876996 -2.95511604108455 0.0358953777619166 0.0247438712035941 0.0520726176623304 0.964104622238083 0.975256128796406 0.94792738233767
"Immunityhybridboost_062-122" -3.10410833386556 -3.38050045333156 -2.82771621439956 0.0448645048890374 0.0340304198353877 0.0591477803881031 0.955135495110963 0.965969580164612 0.940852219611897
"Immunityhybridboost_123-183" -2.45043727417869 -2.90253208679463 -1.99834246156276 0.0862558607910476 0.0548840727284052 0.135559792685611 0.913744139208952 0.945115927271595 0.864440207314389
"Immunityhybridfull_001-061" -3.00573582978422 -3.98633376521966 -2.02513789434878 0.049502315645514 0.0185676628971271 0.131975643237644 0.950497684354486 0.981432337102873 0.868024356762356
"Immunityhybridfull_062-122" -2.30156804925385 -2.57802980348984 -2.02510629501786 0.100101756110456 0.0759234408627638 0.13197981364556 0.899898243889544 0.924076559137236 0.86802018635444
"Immunityhybridfull_123-183" -2.20768098770115 -2.57967368417303 -1.83568829122928 0.109955340871823 0.0757987343143543 0.159503678994138 0.890044659128177 0.924201265685646 0.840496321005862
"Immunityhybridfull_184-244" -1.64405415867987 -1.98716388196054 -1.3009444353992 0.193195208414227 0.137083660086944 0.272274525866495 0.806804791585773 0.862916339913056 0.727725474133505
"Immunityhybridfull_245-305" -1.60539006259463 -2.1126617800713 -1.09811834511795 0.200811210689778 0.120915686739558 0.333498021853453 0.799188789310222 0.879084313260442 0.666501978146547
"Immunityhybridfull_306-366" -1.43735932821676 -2.23822271899369 -0.636495937439833 0.237554233922843 0.106647879293417 0.529143330636791 0.762445766077157 0.893352120706583 0.470856669363209
"Immunityhybridfull_367-427" -1.72814051976956 -3.68857219458652 0.232291155047404 0.177614373510648 0.0250076826684116 1.2614869636613 0.822385626489352 0.974992317331588 -0.261486963661302
"Immunityinf_062-122" -2.04753953313774 -2.39594830862542 -1.69913075765006 0.129052041545823 0.0910862600671222 0.182842389344694 0.870947958454177 0.908913739932878 0.817157610655306
"Immunityinf_123-183" -2.14206286901422 -2.8364316049432 -1.44769413308524 0.117412386655579 0.0586345242449228 0.235111800047611 0.882587613344421 0.941365475755077 0.764888199952389
"Immunityinf_245-305" -2.29857242643012 -3.68498992070393 -0.91215493215632 0.100402072808953 0.0250974276865436 0.401657745576021 0.899597927191047 0.974902572313456 0.598342254423979
"Immunityinf_306-366" -1.31595506283649 -1.66418218475287 -0.967727940920118 0.268218035795346 0.189345444271361 0.379945316364786 0.731781964204654 0.810654555728639 0.620054683635214
"Immunityinf_367-427" -1.71145657365383 -2.11287784243492 -1.31003530487274 0.180602540038645 0.120889564232629 0.269810530590089 0.819397459961355 0.87911043576737 0.730189469409911
"Immunityinf_428-488" -1.61051541334501 -2.04997295814595 -1.17105786854407 0.199784615876951 0.128738384865348 0.310038787443607 0.800215384123049 0.871261615134652 0.689961212556393
"Immunityinf_489-549" -1.06479933521157 -1.55613345901433 -0.573465211408809 0.344797036450194 0.210950143740842 0.563569164906045 0.655202963549806 0.789049856259158 0.436430835093955
"AgeGr0-11" -1.73014858265497 -2.06260868549313 -1.39768847981681 0.1772580705384 0.127121915873078 0.247167637108044 0.8227419294616 0.872878084126922 0.752832362891956
"AgeGr12-15" -2.04008365110485 -2.76075346127868 -1.31941384093102 0.130017834288024 0.0632440984239031 0.267291931646212 0.869982165711976 0.936755901576097 0.732708068353788
"AgeGr16-17" -1.57550116171926 -2.4741360293282 -0.676866294110312 0.206903834412136 0.0842357360331269 0.508207071136758 0.793096165587864 0.915764263966873 0.491792928863242
"AgeGr18-24" -0.742003036176148 -1.10958985351226 -0.374416218840031 0.476159195576603 0.329694156248593 0.687690622460417 0.523840804423397 0.670305843751406 0.312309377539583
"AgeGr25-29" -0.600289744436134 -0.952780334620799 -0.247799154251469 0.548652644010631 0.385667247417766 0.780516690995495 0.451347355989369 0.614332752582234 0.219483309004505
"AgeGr30-34" -0.624374196196974 -0.969157611003068 -0.279590781390881 0.535596501990762 0.379402508023702 0.756093085517556 0.464403498009238 0.620597491976298 0.243906914482444
"AgeGr35-39" -0.238176547563367 -0.544271901311083 0.0679188061843485 0.788063548112257 0.58026411911448 1.0702784049633 0.211936451887743 0.41973588088552 -0.0702784049632996
"AgeGr45-49" 0.587177870217561 0.33652162023686 0.837834120198262 1.79890450306799 1.40006913876905 2.31135543349197 -0.798904503067986 -0.400069138769053 -1.31135543349197
"AgeGr50-54" 1.06664863968153 0.826538778275023 1.30675850108804 2.90562536674458 2.28539477682608 3.69417960410088 -1.90562536674458 -1.28539477682608 -2.69417960410088
"AgeGr55-59" 1.55669861241262 1.33171031242354 1.7816869124017 4.74313643681029 3.78751568629723 5.93986800888774 -3.74313643681029 -2.78751568629723 -4.93986800888774
"AgeGr60-64" 1.97864575133948 1.76142351245332 2.19586799022565 7.23294114873486 5.82071736333892 8.98779899373992 -6.23294114873486 -4.82071736333892 -7.98779899373992
"AgeGr65-69" 2.60257576611883 2.39460193430971 2.81054959792795 13.4984621767006 10.9638328646235 16.6190495044612 -12.4984621767006 -9.96383286462354 -15.6190495044612
"AgeGr70-74" 3.24174046961194 3.03766737564807 3.44581356357581 25.5782011103942 20.856535985583 31.3687935760769 -24.5782011103942 -19.856535985583 -30.3687935760769
"AgeGr75-79" 3.92947667667722 3.72618945708644 4.132763896268 50.8803438301572 41.5205903450567 62.3500139752525 -49.8803438301572 -40.5205903450567 -61.3500139752525
"AgeGr80+" 4.38910904130082 4.18847218309174 4.58974589950991 80.5686036946586 65.9219972408306 98.4694058584499 -79.5686036946586 -64.9219972408306 -97.4694058584499
"SexM" 0.517844882093339 0.477362158244277 0.558327605942402 1.67840658510361 1.61181707120577 1.74774713287518 -0.67840658510361 -0.611817071205772 -0.747747132875182
