"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunity_other" -0.292356902632167 -0.468739641624175 -0.115974163640159 0.746502059873088 0.62579049174412 0.890498230232978 0.253497940126912 0.37420950825588 0.109501769767022
"Immunityboost_001-061" -0.898315749191854 -1.70063256495334 -0.0959989334303669 0.407255002000703 0.182568001399509 0.908464985009355 0.592744997999297 0.817431998600491 0.0915350149906449
"Immunityboost_062-122" -1.06018577286617 -1.93872755241712 -0.181643993315232 0.346391454219165 0.143886921907783 0.833898160897258 0.653608545780835 0.856113078092217 0.166101839102742
"Immunityboost_123-183" -0.880004739955491 -1.39209595746714 -0.367913522443841 0.414780945633701 0.248553800103616 0.692177036879206 0.585219054366299 0.751446199896384 0.307822963120794
"Immunityboost_184-244" -0.583748774232894 -0.725404425923617 -0.44209312254217 0.557803363296395 0.484128735147036 0.642689783762313 0.442196636703605 0.515871264852964 0.357310216237687
"Immunityboost_245-305" -0.524858072401273 -0.61546262106866 -0.434253523733886 0.591639328357456 0.540390841285157 0.647748015171398 0.408360671642544 0.459609158714843 0.352251984828602
"Immunityboost_306-366" -0.483790253627977 -0.579728582971706 -0.387851924284248 0.616442484928268 0.560050353141141 0.678512807095351 0.383557515071732 0.439949646858859 0.321487192904649
"Immunityboost_367-427" -0.534735277987746 -0.682479729784899 -0.386990826190593 0.585824350220798 0.505362275442492 0.679097324807487 0.414175649779202 0.494637724557508 0.320902675192513
"Immunityboost_428-488" -0.237435451694242 -0.733631153131883 0.258760249743399 0.788647795217189 0.480162277960404 1.29532321352454 0.211352204782811 0.519837722039596 -0.29532321352454
"Immunityfull_123-183" 0.461903037975099 -0.282886682960824 1.20669275891102 1.58709140816809 0.753605179329101 3.34241219005871 -0.58709140816809 0.246394820670899 -2.34241219005871
"Immunityfull_184-244" 0.266518996687285 -0.0517709394675887 0.584808932842158 1.3054123876107 0.949546345525503 1.7946480545764 -0.305412387610701 0.0504536544744975 -0.794648054576397
"Immunityfull_245-305" -0.0427212406880845 -0.30792979677856 0.222487315402391 0.958178454008553 0.734966913242933 1.24917997420484 0.0418215459914474 0.265033086757067 -0.249179974204843
"Immunityfull_306-366" -0.0825232123332675 -0.345340762198384 0.180294337531849 0.920790063922903 0.707979059857417 1.19756980099086 0.0792099360770971 0.292020940142583 -0.19756980099086
"Immunityfull_367-427" -0.0843185051724241 -0.284871372052758 0.116234361707909 0.919138459115521 0.752110990590573 1.12325909020674 0.0808615408844786 0.247889009409427 -0.123259090206737
"Immunityfull_428-488" 0.0366915719988238 -0.134277823723845 0.207660967721493 1.03737301660558 0.874347116484686 1.23079581929427 -0.0373730166055752 0.125652883515314 -0.230795819294269
"Immunityfull_489-549" -0.0231713401217026 -0.221600720914422 0.175258040671016 0.977095053844514 0.801235216939935 1.19155364624841 0.0229049461554862 0.198764783060065 -0.191553646248408
"Immunityhybridboost_001-061" -2.60418446127433 -3.22696194971302 -1.98140697283565 0.0739634326511857 0.0396778591968571 0.137875114239526 0.926036567348814 0.960322140803143 0.862124885760475
"Immunityhybridboost_062-122" -2.17527346092766 -2.6550080346896 -1.69553888716572 0.113577090527143 0.0702982738381498 0.183500316413321 0.886422909472857 0.92970172616185 0.816499683586679
"Immunityhybridboost_123-183" -3.04280513832538 -3.84537597634163 -2.24023430030913 0.0477008940381478 0.0213783622915197 0.106433564040646 0.952299105961852 0.97862163770848 0.893566435959354
"Immunityhybridboost_184-244" -2.14459370225324 -2.54183373064781 -1.74735367385868 0.117115611187774 0.0787219125721042 0.17423441498989 0.882884388812226 0.921278087427896 0.82576558501011
"Immunityhybridboost_245-305" -1.88537050092791 -2.20500590519122 -1.56573509666459 0.1517728170416 0.110249874255973 0.208934369750495 0.848227182958399 0.889750125744027 0.791065630249505
"Immunityhybridboost_306-366" -2.16317980783401 -2.65741620395785 -1.66894341171018 0.114958991733642 0.0701291873716127 0.18844607039843 0.885041008266358 0.929870812628387 0.81155392960157
"Immunityhybridboost_367-427" -2.28260452404587 -3.26653455929707 -1.29867448879467 0.102018151663425 0.0381383645732823 0.272893276501755 0.897981848336575 0.961861635426718 0.727106723498245
"Immunityhybridboost_428-488" -0.261231050955132 -2.22629600827952 1.70383390636925 0.770102966031846 0.10792745308338 5.49497427529282 0.229897033968154 0.89207254691662 -4.49497427529282
"Immunityhybridfull_062-122" -2.33580306455279 -4.29675322053179 -0.37485290857379 0.0967327686684037 0.013612684725482 0.68739038058663 0.903267231331596 0.986387315274518 0.31260961941337
