"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunity_other" -0.244395384275133 -0.414698155928007 -0.0740926126222602 0.783177916805255 0.660539630588989 0.928585691103033 0.216822083194745 0.339460369411011 0.0714143088969672
"Immunityboost_001-061" -0.922383530111367 -0.981454410036257 -0.863312650186477 0.397570290087592 0.374765639379528 0.421762613621741 0.602429709912408 0.625234360620472 0.578237386378259
"Immunityboost_062-122" -0.369942150173143 -0.426405593384034 -0.313478706962253 0.690774290654615 0.652851496166821 0.730899941917965 0.309225709345385 0.347148503833179 0.269100058082035
"Immunityboost_123-183" 0.329040458010128 0.233469123463516 0.424611792556739 1.38963407627985 1.2629738310313 1.52899673652089 -0.389634076279846 -0.2629738310313 -0.528996736520887
"Immunityboost_184-244" -0.356021873995423 -1.74455011297421 1.03250636498337 0.700457298267941 0.174723577158045 2.80809513333749 0.299542701732059 0.825276422841955 -1.80809513333749
"Immunityfull_001-061" -0.456914637720228 -0.581154387589943 -0.332674887850513 0.633234392087063 0.559252399759177 0.71700326273887 0.366765607912937 0.440747600240823 0.28299673726113
"Immunityfull_062-122" -0.318086652415152 -0.428776440682902 -0.207396864147402 0.727539742607283 0.65130551832342 0.812697055654654 0.272460257392717 0.34869448167658 0.187302944345346
"Immunityfull_123-183" -0.0840366403305872 -0.160408742372236 -0.00766453828893802 0.919397568447116 0.851795552866696 0.992364759385819 0.0806024315528838 0.148204447133304 0.00763524061418053
"Immunityfull_184-244" -0.0158436561312443 -0.077727873002204 0.0460405607397155 0.984281194356189 0.925216168587352 1.0471168819309 0.0157188056438109 0.0747838314126476 -0.047116881930904
"Immunityfull_245-305" 0.255044147717958 0.158125334966928 0.351962960468987 1.29051859306615 1.17131299198317 1.42185585786908 -0.29051859306615 -0.171312991983174 -0.421855857869081
"Immunityfull_306-366" 0.390072209651067 0.192058647410438 0.588085771891696 1.47708745000116 1.21174158038685 1.80053847310776 -0.477087450001156 -0.211741580386847 -0.80053847310776
"Immunityfull_367-427" 0.826595422871109 0.42401739363368 1.22917345210854 2.28552423575665 1.52808817255881 3.41840289456855 -1.28552423575665 -0.52808817255881 -2.41840289456855
"Immunityfull_428-488" 1.58917038521928 -0.372960463285877 3.55130123372444 4.89968239279698 0.688692460942644 34.8586472362793 -3.89968239279698 0.311307539057356 -33.8586472362793
"Immunityhybridboost_001-061" -1.34813777981661 -1.47693608974484 -1.21933946988839 0.259723472875754 0.228336219403433 0.295425239757772 0.740276527124246 0.771663780596567 0.704574760242228
"Immunityhybridboost_062-122" -0.855348322439098 -0.984353384536765 -0.726343260341431 0.425135081200344 0.373680776601835 0.483674431719043 0.574864918799656 0.626319223398165 0.516325568280957
"Immunityhybridboost_123-183" -0.607964590766354 -0.969243994232505 -0.246685187300203 0.544457936736189 0.379369735425324 0.78138664525436 0.455542063263811 0.620630264574676 0.21861335474564
"Immunityhybridfull_001-061" -1.31606924768926 -1.62798875213187 -1.00414974324664 0.26818741110689 0.196324033610103 0.366355999077818 0.73181258889311 0.803675966389897 0.633644000922182
"Immunityhybridfull_062-122" -1.55838342222367 -1.72372372116169 -1.39304312328564 0.21047604722828 0.178400595442131 0.248318489896584 0.789523952771719 0.821599404557869 0.751681510103416
"Immunityhybridfull_123-183" -0.618148962527336 -0.751448404889042 -0.484849520165631 0.538941115065967 0.471682869960869 0.615789853747805 0.461058884934033 0.528317130039131 0.384210146252195
"Immunityhybridfull_184-244" -0.312234089592625 -0.437133835994972 -0.187334343190278 0.731810199024535 0.645884982966464 0.829166463875095 0.268189800975465 0.354115017033536 0.170833536124905
"Immunityhybridfull_245-305" -0.0247961895555235 -0.240813930870484 0.191221551759438 0.975508710632933 0.785987860860143 1.21072766121264 0.0244912893670667 0.214012139139857 -0.210727661212641
"Immunityhybridfull_306-366" 0.319935336792194 -0.0903509668954766 0.730221640479865 1.37703871771621 0.913610481961869 2.07554058050818 -0.377038717716208 0.0863895180381313 -1.07554058050818
"Immunityhybridfull_367-427" -0.232094386380087 -1.6186721005019 1.15448332774172 0.792871283524485 0.198161663223137 3.17238391126082 0.207128716475515 0.801838336776863 -2.17238391126082
"Immunityinf_062-122" -0.875157364897662 -1.01131328634444 -0.739001443450883 0.416796425390697 0.36374096970988 0.477590578694012 0.583203574609303 0.63625903029012 0.522409421305988
