"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunityboost_001-061" -0.331240622285571 -0.386832826560142 -0.275648418011001 0.71803237366133 0.679204630410747 0.759079762624606 0.28196762633867 0.320795369589253 0.240920237375394
"Immunityboost_062-122" -0.227856683570234 -0.280117261414135 -0.175596105726333 0.796238365698451 0.755695122381323 0.838956764749669 0.203761634301549 0.244304877618677 0.161043235250331
"Immunityboost_123-183" -0.122920775772084 -0.200296890184169 -0.0455446613599987 0.884333720441866 0.818487716033358 0.955476928719941 0.115666279558134 0.181512283966642 0.0445230712800585
"Immunityboost_184-244" -0.0729281601211691 -0.167042697063124 0.0211863768207858 0.92966761483566 0.846163481870284 1.02141240149468 0.0703323851643396 0.153836518129716 -0.0214124014946788
"Immunityboost_245-305" -0.0566296712979613 -0.160652354172958 0.0473930115770354 0.944943944442578 0.851588070691795 1.04853401411944 0.0550560555574219 0.148411929308205 -0.0485340141194417
"Immunityboost_306-366" 0.0961682227068561 -0.092578698878191 0.284915144291903 1.10094425223932 0.911577468017337 1.32964919501031 -0.100944252239318 0.0884225319826631 -0.329649195010312
"Immunityfull_001-061" -0.200129039111087 -0.319301142771316 -0.0809569354508592 0.818625111605472 0.72665668894478 0.922233406155293 0.181374888394528 0.27334331105522 0.0777665938447074
"Immunityfull_062-122" -0.0988892353086604 -0.19960797783264 0.00182950721531971 0.905843037891437 0.819051776602345 1.0018311817847 0.0941569621085633 0.180948223397655 -0.00183118178470165
"Immunityfull_123-183" -0.209547861461876 -0.278778278338844 -0.140317444584908 0.810950825212243 0.756707663096432 0.869082306133076 0.189049174787757 0.243292336903568 0.130917693866924
"Immunityfull_184-244" -0.186204619346448 -0.242414320047438 -0.129994918645458 0.830103722321763 0.784730980411604 0.878099892846104 0.169896277678237 0.215269019588396 0.121900107153896
"Immunityfull_245-305" -0.0134999081329761 -0.0967467647053291 0.069746948439377 0.98659080695289 0.9077858604483 1.07223681572135 0.0134091930471103 0.0922141395516995 -0.0722368157213531
"Immunityfull_306-366" -0.0492432607278301 -0.179097179465574 0.0806106580099137 0.951949529594615 0.83602465102047 1.0839487876216 0.0480504704053847 0.16397534897953 -0.0839487876216001
"Immunityfull_367-427" 0.0725641303509085 -0.0767985515917853 0.221926812293602 1.07526176079312 0.92607639143193 1.24848000113273 -0.075261760793125 0.0739236085680703 -0.248480001132731
"Immunityfull_428-488" 0.170793345117798 -0.0523393197118652 0.393926009947462 1.18624558024927 0.949006795490997 1.48279083284424 -0.186245580249274 0.0509932045090035 -0.482790832844237
"Immunityfull_489-549" 0.389577203864131 -0.00162043498490283 0.780774842713165 1.47635646410165 0.998380877210996 2.18316321841376 -0.476356464101646 0.00161912278900445 -1.18316321841376
"Immunityfull_550+" 0.541301154672082 -0.338847758276914 1.42145006762108 1.71824110576394 0.712590926902125 4.14312389630296 -0.718241105763936 0.287409073097875 -3.14312389630296
"Immunitypartial_001-061" -0.0678124408593165 -0.333862061782338 0.198237180063705 0.934435719102749 0.716152560222153 1.21925154168856 0.0655642808972514 0.283847439777847 -0.219251541688563
"Immunitypartial_062+" 0.157293607219405 -0.0587566994577448 0.373343913896555 1.17033918349462 0.942936158129323 1.45258381769998 -0.170339183494616 0.0570638418706775 -0.45258381769998
