"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"Immunity_other" -0.187042117244272 -0.367695389604364 -0.0063888448841814 0.829408803236597 0.692328039890441 0.993631520392018 0.170591196763403 0.307671960109559 0.00636847960798181
"Immunityboost_001-061" -2.08011969690043 -2.17943293573662 -1.98080645806423 0.124915259334336 0.113105650631113 0.137957935147337 0.875084740665664 0.886894349368887 0.862042064852663
"Immunityboost_062-122" -1.77439852973392 -1.83884131292152 -1.70995574654631 0.1695854194178 0.1590015524582 0.180873796730204 0.8304145805822 0.8409984475418 0.819126203269796
"Immunityboost_123-183" -1.1903168765083 -1.28531436419072 -1.09531938882588 0.30412487876672 0.27656362826368 0.334432775797579 0.69587512123328 0.72343637173632 0.665567224202421
"Immunityboost_184-244" -0.941665026366659 -1.40732625457333 -0.476003798159984 0.389977970883976 0.244796933598256 0.621261122593845 0.610022029116024 0.755203066401744 0.378738877406155
"Immunityfull_001-061" -0.665028257283494 -0.851100150176665 -0.478956364390324 0.514258995939081 0.426944969897652 0.619429513287554 0.485741004060919 0.573055030102348 0.380570486712446
"Immunityfull_062-122" -0.53513414528589 -0.695466502898686 -0.374801787673094 0.585590730639742 0.498841682605574 0.687425521500225 0.414409269360258 0.501158317394426 0.312574478499775
"Immunityfull_123-183" -0.469414150617473 -0.616881601271074 -0.321946699963873 0.625368532753083 0.539624581162352 0.724736817799042 0.374631467246917 0.460375418837648 0.275263182200958
"Immunityfull_184-244" -0.458789163737134 -0.555884194490886 -0.361694132983383 0.632048489594091 0.573564894004409 0.696495370225887 0.367951510405909 0.426435105995591 0.303504629774113
"Immunityfull_245-305" -0.401305477772024 -0.514327792680018 -0.28828316286403 0.669445529070829 0.597902373915997 0.749549317654801 0.330554470929171 0.402097626084003 0.250450682345199
"Immunityfull_306-366" 0.0366001178198083 -0.106525354838382 0.179725590477998 1.0372781488461 0.898952255083135 1.19688888034893 -0.0372781488461014 0.101047744916865 -0.196888880348925
"Immunityfull_367-427" 0.323361742309752 0.0264114801035375 0.620312004515966 1.38176510340941 1.02676335425301 1.85950812628003 -0.38176510340941 -0.0267633542530117 -0.85950812628003
"Immunityfull_428-488" 0.0182880824213544 -1.94689308398169 1.98346924882439 1.01845633349885 0.142716792570846 7.26791349888989 -0.0184563334988499 0.857283207429154 -6.26791349888989
"Immunityhybridboost_001-061" -4.77744156611551 -5.3983365054522 -4.15654662677882 0.00841750707755091 0.00452410050302527 0.0156615498159776 0.991582492922449 0.995475899496975 0.984338450184022
"Immunityhybridboost_062-122" -4.27806356951374 -4.80312543734321 -3.75300170168426 0.0138694934094665 0.00820406564398444 0.0234472584426823 0.986130506590533 0.991795934356016 0.976552741557318
"Immunityhybridboost_123-183" -5.23001526459829 -7.19068278156909 -3.26934774762749 0.00535344358387042 0.00075357441807527 0.0380312249437597 0.99464655641613 0.999246425581925 0.96196877505624
"Immunityhybridfull_001-061" -4.69435924432278 -5.82672443498464 -3.56199405366091 0.00914672630742476 0.00294771662140922 0.0283821726740271 0.990853273692575 0.997052283378591 0.971617827325973
"Immunityhybridfull_062-122" -3.19807125894753 -3.66154290685001 -2.73459961104505 0.0408408995818931 0.0256928404693752 0.0649199951498722 0.959159100418107 0.974307159530625 0.935080004850128
"Immunityhybridfull_123-183" -3.00147026080002 -3.59367332032691 -2.40926720127314 0.0497139221780588 0.0274971388833709 0.08988113522679 0.950286077821941 0.972502861116629 0.91011886477321
