"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"Immunity_other" -0.178114596935265 -0.318276877850159 -0.0379523160203706 0.836846517947389 0.727401359205699 0.962758847969969 0.163153482052611 0.272598640794301 0.0372411520300306
"Immunityb45_001-061" -1.12908963667847 -3.09021743398332 0.832038160626377 0.323327467949907 0.045492061808959 2.29799765879836 0.676672532050093 0.954507938191041 -1.29799765879836
"Immunityb45_062-122" -0.805338638559993 -2.76690449651896 1.15622721939898 0.446936550979967 0.0628562757240841 3.17792103176312 0.553063449020033 0.937143724275916 -2.17792103176312
"Immunityboost_001-061" -0.582046406471062 -1.38433386634721 0.220241053405086 0.558753758491058 0.250490604449762 1.24637713783193 0.441246241508942 0.749509395550238 -0.246377137831927
"Immunityboost_062-122" -0.965750786829421 -1.84405265899444 -0.0874489146644064 0.380697269920344 0.158175095688747 0.916265678194967 0.619302730079656 0.841824904311253 0.083734321805033
"Immunityboost_123-183" -0.671318389262671 -1.13894972871673 -0.203687049808612 0.511034391209797 0.320155095003877 0.815717610228896 0.488965608790203 0.679844904996123 0.184282389771104
"Immunityboost_184-244" -0.474929624035821 -0.615731773245991 -0.334127474825652 0.621928823765542 0.540245413485598 0.715962509213791 0.378071176234458 0.459754586514402 0.284037490786209
"Immunityboost_245-305" -0.433139782345011 -0.522942454647455 -0.343337110042567 0.648469840834401 0.592773769389495 0.709399025710744 0.351530159165599 0.407226230610505 0.290600974289256
"Immunityboost_306-366" -0.391066043672292 -0.484315511806993 -0.297816575537592 0.676335486884992 0.616118778493336 0.742437508459917 0.323664513115008 0.383881221506664 0.257562491540083
"Immunityboost_367-427" -0.425802413832447 -0.546922442865618 -0.304682384799277 0.653245401625448 0.578728141439722 0.737357533164367 0.346754598374552 0.421271858560278 0.262642466835633
"Immunityboost_428-488" -0.328323326938502 -0.479129007709369 -0.177517646167636 0.720130144584958 0.619322582151205 0.837346223253559 0.279869855415042 0.380677417848795 0.162653776746441
"Immunityboost_489-549" -0.524401542981552 -1.0026869649124 -0.0461161210507022 0.59190949078057 0.366892288836782 0.954931068153291 0.40809050921943 0.633107711163218 0.0450689318467089
"Immunityfull_123-183" 0.509501247605988 -0.234876266995159 1.25387876220714 1.66446083406513 0.790668675387512 3.50390745754407 -0.664460834065132 0.209331324612488 -2.50390745754407
"Immunityfull_184-244" 0.394390117651852 0.0801314296668929 0.708648805636812 1.48347916721205 1.08342945309004 2.03124479704287 -0.483479167212047 -0.0834294530900412 -1.03124479704287
"Immunityfull_245-305" 0.0757198308018165 -0.186935653197279 0.338375314800912 1.07866032442052 0.829497110155075 1.40266684625516 -0.0786603244205226 0.170502889844925 -0.402666846255159
"Immunityfull_306-366" 0.0409572767023061 -0.214979495104816 0.296894048509428 1.04180759513864 0.806557978394576 1.34567271586469 -0.0418075951386436 0.193442021605424 -0.345672715864691
"Immunityfull_367-427" 0.0372412484705004 -0.150924202594098 0.225406699535099 1.03794339289201 0.859912875354316 1.25283213884229 -0.0379433928920063 0.140087124645684 -0.252832138842289
"Immunityfull_428-488" 0.108353122543717 -0.0560069722546032 0.272713217342036 1.1144412102267 0.945532543373786 1.31352349504546 -0.114441210226704 0.0544674566262141 -0.313523495045463
"Immunityfull_489-549" 0.0275085691717009 -0.16229485939931 0.217311997742712 1.02789042323904 0.850190480923438 1.24273177116609 -0.0278904232390398 0.149809519076562 -0.242731771166089
"Immunityhybridboost_001-061" -3.0549777565888 -3.64858270502747 -2.46137280815013 0.0471237689520404 0.0260279919917563 0.0853177456389497 0.95287623104796 0.973972008008244 0.91468225436105
"Immunityhybridboost_062-122" -2.1000907529335 -2.52196648937534 -1.67821501649167 0.122445315477158 0.0803015392576752 0.186706947598986 0.877554684522842 0.919698460742325 0.813293052401014
"Immunityhybridboost_123-183" -2.19120825523098 -2.63326297333293 -1.74915353712902 0.111781606280037 0.0718436554311104 0.173921098913551 0.888218393719963 0.92815634456889 0.826078901086449
"Immunityhybridboost_184-244" -1.87252409712575 -2.21373505575351 -1.531313138498 0.153735129276546 0.109291674722523 0.216251512603143 0.846264870723454 0.890708325277477 0.783748487396857
"Immunityhybridboost_245-305" -1.81762598991285 -2.13677376458244 -1.49847821524326 0.162410858644901 0.118035038213204 0.223469974721653 0.837589141355099 0.881964961786796 0.776530025278347
"Immunityhybridboost_306-366" -2.08636983653667 -2.53976797627318 -1.63297169680015 0.124136956305753 0.0788847007897258 0.195348195107353 0.875863043694247 0.921115299210274 0.804651804892647
"Immunityhybridboost_367-427" -1.34954849524245 -1.77370885448685 -0.925388135998057 0.259357335284811 0.169702418624928 0.396377540821666 0.740642664715189 0.830297581375072 0.603622459178334
"Immunityhybridboost_428-488" -0.755434773275043 -1.25435745303163 -0.256512093518461 0.469806311092366 0.285259081708242 0.773745637195743 0.530193688907634 0.714740918291758 0.226254362804257
"Immunityhybridboost_489-549" -0.577714644073654 -2.54158435256593 1.38615506441863 0.561179396863122 0.0787415465397018 3.99944285200028 0.438820603136878 0.921258453460298 -2.99944285200028
"Immunityhybridfull_062-122" -1.78901159935856 -3.17605330661541 -0.401969892101709 0.167125274787396 0.0417501052547993 0.66900088759781 0.832874725212604 0.958249894745201 0.33099911240219
"Immunityhybridfull_123-183" -1.68107504742732 -2.66308411038376 -0.699065984470885 0.186173722836081 0.0697328260304588 0.497049338850922 0.813826277163919 0.930267173969541 0.502950661149078
"Immunityhybridfull_184-244" -2.12580841512786 -2.92873507470107 -1.32288175555465 0.119336455864706 0.0534646241462444 0.26636659147541 0.880663544135294 0.946535375853756 0.73363340852459
"Immunityhybridfull_245-305" -1.53765194927337 -2.03153546590558 -1.04376843264116 0.214885070568968 0.131134014676326 0.352125218368429 0.785114929431032 0.868865985323674 0.647874781631571
"Immunityhybridfull_306-366" -1.65709656569671 -2.2038665641041 -1.11032656728932 0.190691838344154 0.110375558052323 0.329451355469793 0.809308161655847 0.889624441947677 0.670548644530207
"Immunityhybridfull_367-427" -1.03627638758387 -1.47872165790541 -0.593831117262333 0.354773263621043 0.227928873300505 0.552207654773011 0.645226736378957 0.772071126699495 0.447792345226989
"Immunityhybridfull_428-488" -1.4512813716064 -2.10750582297729 -0.795056920235516 0.234269908876729 0.121540732803045 0.451555531543874 0.765730091123271 0.878459267196955 0.548444468456126
"Immunityhybridfull_489-549" -1.10404771407632 -1.90651463217932 -0.301580795973332 0.331526439929633 0.148597401680264 0.739648063355165 0.668473560070367 0.851402598319736 0.260351936644835
