,,Delta,Lo95,High95,abs(zscore1),
full,ProxyBA12,3.03228196616014,1.87289599074039,4.19166794157988,5.12622438055812,***
full,ProxyNew,-1.85622801418937,-4.81783925133714,1.10538322295841,1.22845526184423,
full,LCAll,0,0,0,#DIV/0!,
full,LCInf,1.22842693062194,0.178042467675161,2.27881139356873,2.29222429401167,**
boost,ProxyBA12,3.31973203542319,2.70147707183616,3.93798699901022,10.5242580693224,***
boost,ProxyNew,1.38521946871136,0.257580519401783,2.51285841802093,2.40771229154208,**
boost,LCAll,0,0,0,#DIV/0!,
boost,LCInf,1.85116699370243,1.09358198857099,2.60875199883386,4.78928078444116,***
secboost,ProxyBA12,0,0,0,#DIV/0!,
secboost,ProxyNew,7.41101233338934,5.0767189842149,9.74530568256377,6.22269012529223,***
secboost,LCAll,0,0,0,#DIV/0!,
secboost,LCInf,34.6310850918587,-77.5322743328661,146.794444516583,0.605161321203086,
secbnew,ProxyBA12,0,0,0,#DIV/0!,
secbnew,ProxyNew,7.89343517204174,4.3784168335405,11.408453510543,4.40143733184576,***
secbnew,LCAll,0,0,0,#DIV/0!,
secbnew,LCInf,0,0,0,#DIV/0!,
hybridfull,ProxyBA12,0.41239025540793,0.0867705999815412,0.738009910834318,2.48229763507709,**
hybridfull,ProxyNew,0.809644825322008,-0.023989051148952,1.64327870179297,1.90359809314493,*
hybridfull,LCAll,0,0,0,#DIV/0!,
hybridfull,LCInf,1.46404700577122,-0.44360801545248,3.37170202699492,1.5042196305865,
hybridboost,ProxyBA12,0.0094530562130687,-0.262132510413731,0.281038622839869,0.0682215568659985,
hybridboost,ProxyNew,0.324261782146811,0.062765166489935,0.585758397803687,2.43044481249307,**
hybridboost,LCAll,0,0,0,#DIV/0!,
hybridboost,LCInf,1.18451080804493,-0.706254370394745,3.0752759864846,1.22788446193195,
inf,ProxyBA12,-0.356475355884799,-0.680913084886837,-0.0320376268827608,2.15354638217745,**
inf,ProxyNew,0.285856367781901,-0.990102126840867,1.56181486240467,0.439104001590718,
inf,LCAll,0,0,0,#DIV/0!,
inf,LCInf,-1.62846749012217,-2.99878646028933,-0.258148519955002,2.32923600280459,**
