"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"Immunity_other" -0.159707672275362 -0.341004664136206 0.0215893195854824 0.852392930634839 0.711055591738546 1.0218240551625 0.147607069365161 0.288944408261454 -0.0218240551624962
"Immunityboost_001-061" -2.07802710495069 -2.17747426470521 -1.97857994519616 0.125176929689572 0.113327404493031 0.138265442472669 0.874823070310428 0.886672595506969 0.861734557527331
"Immunityboost_062-122" -1.77289303022713 -1.8373735016681 -1.70841255878615 0.169840922464689 0.159235108092071 0.181153134439283 0.830159077535311 0.840764891907929 0.818846865560717
"Immunityboost_123-183" -1.18685233239828 -1.28192075188001 -1.09178391291654 0.305180360149317 0.277503772337229 0.335617247421368 0.694819639850683 0.722496227662771 0.664382752578632
"Immunityboost_184-244" -0.934714618409904 -1.40079932968262 -0.468629907137184 0.392697918298211 0.246399930426543 0.625859166310611 0.607302081701789 0.753600069573457 0.374140833689389
"Immunityfull_001-061" -0.653095758175782 -0.839959515836159 -0.466232000515406 0.520432148269986 0.431728001222427 0.627361718920266 0.479567851730014 0.568271998777573 0.372638281079734
"Immunityfull_062-122" -0.521087517448696 -0.681815472321012 -0.360359562576379 0.59387434794126 0.505698077623126 0.697425512867973 0.40612565205874 0.494301922376874 0.302574487132027
"Immunityfull_123-183" -0.443296155569463 -0.590647084423406 -0.295945226715519 0.641917071618453 0.553968704211534 0.743828168816312 0.358082928381547 0.446031295788466 0.256171831183688
"Immunityfull_184-244" -0.451259312842247 -0.548392472540581 -0.354126153143913 0.636825683686996 0.577878018903839 0.701786429206429 0.363174316313004 0.422121981096161 0.298213570793571
"Immunityfull_245-305" -0.397086983626337 -0.510129897883574 -0.2840440693691 0.672275546124415 0.600417580773483 0.752733471486051 0.327724453875585 0.399582419226517 0.247266528513949
"Immunityfull_306-366" 0.0404752751844965 -0.102669369181743 0.183619919550736 1.0413055632963 0.902425293775154 1.20155904719353 -0.041305563296296 0.0975747062248461 -0.201559047193531
"Immunityfull_367-427" 0.329889283641963 0.0329079367119253 0.626870630572001 1.39081413406346 1.03345539156014 1.87174402621336 -0.390814134063459 -0.033455391560143 -0.871744026213362
"Immunityfull_428-488" 0.0353266231985244 -1.92998549344974 2.00063873984679 1.03595802146874 0.145150304098533 7.39377729113748 -0.0359580214687416 0.854849695901467 -6.39377729113748
"Immunityhybridboost_001-061" -4.77388248922458 -5.39478154164309 -4.15298343680608 0.00844751900817405 0.00454021213775357 0.0157174544334772 0.991552480991826 0.995459787862246 0.984282545566523
"Immunityhybridboost_062-122" -4.27530329626783 -4.80036938921108 -3.75023720332457 0.0139078298862938 0.00822670763064895 0.0235121680300712 0.986092170113706 0.991773292369351 0.976487831969929
"Immunityhybridboost_123-183" -5.22503172313271 -7.18570303287303 -3.2643604133924 0.00538018928074502 0.000757336388360296 0.0382213731461066 0.994619810719255 0.99924266361164 0.961778626853893
"Immunityhybridfull_001-061" -4.68215482156931 -5.81452039584893 -3.5497892472897 0.00925904079475235 0.00298391108048728 0.0287306940878708 0.990740959205248 0.997016088919513 0.971269305912129
"Immunityhybridfull_062-122" -3.19353860438217 -3.6570173730574 -2.73005983570695 0.0410264374436989 0.0258093777850329 0.0652153873425738 0.958973562556301 0.974190622214967 0.934784612657426
"Immunityhybridfull_123-183" -2.99474759904886 -3.58695619799816 -2.40253900009957 0.0500492579728114 0.0276824622519986 0.0904879125572791 0.949950742027189 0.972317537748001 0.909512087442721
"Immunityhybridfull_184-244" -2.73006110815628 -3.35119483072249 -2.10892738559008 0.0652153043593505 0.0350424592702862 0.121368077790392 0.934784695640649 0.964957540729714 0.878631922209608
"Immunityhybridfull_245-305" -4.20574279135788 -6.1660976734312 -2.24538790928455 0.0149097071532939 0.00209941262988432 0.105886458065765 0.985090292846706 0.997900587370116 0.894113541934235
"Immunityhybridfull_306-366" -1.99664540945843 -3.1288408405138 -0.864449978403052 0.135790040032664 0.0437685025342286 0.421283203775422 0.864209959967336 0.956231497465771 0.578716796224578
"Immunityinf_062-122" -2.62005249960651 -3.14556867760574 -2.09453632160727 0.0727990408061127 0.0430424398140547 0.123127321898689 0.927200959193887 0.956957560185945 0.876872678101311
"Immunityinf_123-183" -2.33312096229485 -3.21113808481566 -1.45510383977404 0.0969925640888674 0.0403107101490329 0.233376128918402 0.903007435911133 0.959689289850967 0.766623871081598
"Immunityinf_306-366" -1.86516419484731 -2.37286688447796 -1.35746150521666 0.154870778813258 0.0932131116283403 0.257313136652471 0.845129221186742 0.90678688837166 0.742686863347529
"Immunityinf_367-427" -2.21140180895396 -2.7785890883184 -1.64421452958951 0.109546976898456 0.06212610001033 0.193164228007159 0.890453023101544 0.93787389998967 0.806835771992841
"Immunityinf_428-488" -3.79733829669973 -5.18386201399427 -2.41081457940519 0.0224303955285063 0.0056063128921785 0.0897421626729313 0.977569604471494 0.994393687107822 0.910257837327069
"Immunityinf_489-549" -3.7378494545585 -5.69839701521904 -1.77730189389796 0.0238052423784392 0.00335133329030498 0.169093765259219 0.976194757621561 0.996648666709695 0.830906234740781
"DCCI1" 0.531327899200606 0.444792375652528 0.617863422748683 1.70118981801378 1.5601662337064 1.85496053842836 -0.701189818013783 -0.560166233706397 -0.854960538428364
"DCCI2" 0.775428176802328 0.687510072627464 0.863346280977191 2.17152172338118 1.98875750149483 2.37108173901141 -1.17152172338118 -0.988757501494834 -1.37108173901141
"DCCI3" 1.03993769689589 0.950024948876764 1.12985044491501 2.8290407508403 2.58577417067222 3.09519356357186 -1.8290407508403 -1.58577417067222 -2.09519356357186
"DCCI4" 1.15329775237941 1.05747851818142 1.24911698657739 3.16862503970885 2.87910222517624 3.48726229811284 -2.16862503970885 -1.87910222517624 -2.48726229811284
"DCCI5" 1.38557940177788 1.2845444229105 1.48661438064526 3.99714118472207 3.61302157236606 4.42209860378397 -2.99714118472207 -2.61302157236606 -3.42209860378397
"DCCI6+" 1.42073025617633 1.33021118937653 1.51124932297613 4.14014270138323 3.78184198808945 4.53238967725254 -3.14014270138323 -2.78184198808945 -3.53238967725254
"DCCInodcci" 1.07797777109266 0.849896403157959 1.30605913902736 2.93873075189858 2.33940448445511 3.69159693825495 -1.93873075189858 -1.33940448445511 -2.69159693825495
"AgeGr18-24" -0.521361227195128 -0.954274509312807 -0.0884479450774479 0.593711820987693 0.385091423475049 0.915350758008665 0.406288179012307 0.614908576524951 0.0846492419913346
"AgeGr25-29" -0.393738337182529 -0.817479795850354 0.0300031214852956 0.674530532710431 0.441543032050234 1.03045775050721 0.325469467289569 0.558456967949766 -0.0304577505072126
"AgeGr30-34" -0.619976100811076 -1.04788164522637 -0.192070556395787 0.537957294184049 0.350679827127212 0.825248639867849 0.462042705815951 0.649320172872788 0.174751360132151
"AgeGr35-39" -0.234934148505354 -0.617706559620965 0.147838262610258 0.790622911614968 0.539179596930281 1.15932537493877 0.209377088385032 0.460820403069719 -0.159325374938765
"AgeGr45-49" 0.496573328735587 0.184645134880373 0.808501522590801 1.64308131355706 1.20279153562324 2.24454206984547 -0.643081313557063 -0.202791535623241 -1.24454206984547
"AgeGr50-54" 0.913345584090423 0.612806341439421 1.21388482674143 2.49264796227371 1.84560353167343 3.3665376973968 -1.49264796227371 -0.845603531673432 -2.3665376973968
"AgeGr55-59" 1.43875291088777 1.15722043921045 1.72028538256509 4.21543551391225 3.18107897389692 5.5861224187666 -3.21543551391225 -2.18107897389692 -4.5861224187666
"AgeGr60-64" 1.88954024176782 1.61650530386968 2.16257517966596 6.61632607128617 5.03546212192115 8.69349617208115 -5.61632607128617 -4.03546212192115 -7.69349617208115
"AgeGr65-69" 2.37654709999335 2.11280584881376 2.64028835117293 10.7676589515166 8.27141710136485 14.0172449140601 -9.76765895151665 -7.27141710136485 -13.0172449140601
"AgeGr70-74" 2.85199147877045 2.59182821405691 3.112154743484 17.3222443954247 13.3541635690897 22.4694080870298 -16.3222443954247 -12.3541635690897 -21.4694080870298
"AgeGr75-79" 3.18901473723999 2.92934177392766 3.44868770055231 24.2645087450718 18.7153075380982 31.459081473341 -23.2645087450718 -17.7153075380982 -30.459081473341
"AgeGr80+" 3.56588200791896 3.30806867790831 3.82369533792962 35.3706368320276 27.3322870145594 45.7730430401508 -34.3706368320276 -26.3322870145594 -44.7730430401508
"SexM" 0.401729869380942 0.355674791169973 0.44778494759191 1.49440759289906 1.4271433531676 1.56484213639617 -0.494407592899064 -0.4271433531676 -0.564842136396166
