"VaccStatusboost_001-061" "VaccStatusboost_062-122" "VaccStatusboost_123-183" "VaccStatusboost_184-244" "VaccStatusboost_245-305" "VaccStatusboost_306-366" "VaccStatusboost_367-427" "VaccStatusfull_001-061" "VaccStatusfull_062-122" "VaccStatusfull_123-183" "VaccStatusfull_184-244" "VaccStatusfull_245-305" "VaccStatusfull_306-366" "VaccStatusfull_367-427" "VaccStatusfull_428-488" "VaccStatusfull_489-549" "VaccStatuspartial_001-061" "VaccStatuspartial_062+" "VaccStatussecboost_001-061" "VaccStatussecboost_062-122" "VaccStatussecboost_123-183" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "SexM"
"VaccStatusboost_001-061" 0.111889380826122 0.0188446494036521 0.00929298771701488 0.00588402092658202 0.00482918094060701 0.00421417028983921 0.00440096708396803 0.0067119913119178 0.00914548929111685 0.0170501363175499 0.0202308486688485 0.012282046175624 0.00682222294939596 0.00453540611144798 0.00369105854556397 0.00349717895120209 0.00390001891522735 0.00917647860911601 0.00485831525064833 0.00476274382436838 0.00480021375898587 -0.00187226447191277 -0.0032075361121199 -0.00407416086750828 -0.00442614317349077 -0.00532169213376479 -0.00413811261102123 -0.000216077103960647
"VaccStatusboost_062-122" 0.0188446494036521 0.11615393786781 0.0237260098506363 0.0103933443669835 0.00748953476666534 0.0063078040100675 0.00635343670932251 0.00461140613647036 0.00700874314623835 0.00939851734856009 0.0166503445595507 0.0229754383888944 0.0137070670285634 0.00833598696768606 0.00618145832147385 0.00555257144461234 0.00272673178056779 0.0104911079824979 0.00707850651342497 0.00677793423609585 0.00673849671056713 -0.00195248142827577 -0.00323942020442357 -0.00413647529388579 -0.00438829601417704 -0.00558780276708771 -0.00416734830541439 -0.00019617527500387
"VaccStatusboost_123-183" 0.00929298771701488 0.0237260098506363 0.116127769468958 0.0241752784825118 0.0135802182286379 0.0102995564591365 0.0099997131410439 0.00319357988049063 0.00497547107908917 0.0071387569163379 0.0111827128803214 0.0253378759090212 0.0264394474486288 0.0167429604638493 0.0114181433065966 0.00950074592147765 0.00215559372128752 0.0109976426731078 0.0115609731578808 0.010575963854473 0.0103158056438123 -0.00202491534553178 -0.00338363671313187 -0.0043337607714498 -0.00472671993888147 -0.0059549324949611 -0.00454441138742885 -0.000174135395187642
"VaccStatusboost_184-244" 0.00588402092658202 0.0103933443669835 0.0241752784825118 0.121429210982927 0.0327372178135836 0.0199825874640364 0.0178102259603706 0.00233173871959265 0.00313906583692278 0.00459946452345659 0.0087602203763654 0.0167457894170452 0.0303486983739359 0.035675863773315 0.0250738849417716 0.0189979773506322 0.00173387452749526 0.0106183503366887 0.0237126682988798 0.0190527203637387 0.0178195052036443 -0.00198521505470782 -0.00321026026462563 -0.00396294733368393 -0.00417130576581384 -0.00541347252404769 -0.00402213740846653 -0.000247863687071582
"VaccStatusboost_245-305" 0.00482918094060701 0.00748953476666534 0.0135802182286379 0.0327372178135836 0.100112405389402 0.0372671738605137 0.030492521303273 0.00200878890097527 0.00249544156251595 0.00338189077457693 0.00629925502156253 0.0146225150623696 0.0237527963072252 0.0379941280310902 0.0421051439424432 0.0332888608073508 0.00158526485576302 0.010409860942289 0.0405665918314436 0.0343293769241991 0.0297476629615509 -0.00212298080486046 -0.00351857956276958 -0.00428647475583423 -0.00472903667060826 -0.0058401635894825 -0.00486367156394878 -0.000163212076551927
"VaccStatusboost_306-366" 0.00421417028983921 0.0063078040100675 0.0102995564591365 0.0199825874640364 0.0372671738605137 0.151349287207307 0.0647550735899237 0.00184346302836467 0.00216716817189719 0.00281644224743877 0.00465347717909644 0.0108290006519568 0.0228132034083194 0.0299184380921959 0.0475256313601047 0.060610818290515 0.0015138000967064 0.010325147497429 0.0551061912817898 0.0641051475774046 0.0653675988899551 -0.00231007655438127 -0.00379193484220506 -0.00485594218809856 -0.00509619082360482 -0.00615495795448271 -0.00526271803886691 -0.000114059686073242
"VaccStatusboost_367-427" 0.00440096708396803 0.00635343670932251 0.0099997131410439 0.0178102259603706 0.030492521303273 0.0647550735899237 0.218731802209051 0.00194974101500504 0.00225317704900706 0.00286585312895959 0.00446721984744679 0.00930568091504408 0.021940006694472 0.0292292571935944 0.0431555413315834 0.0740962011445224 0.00161741517304688 0.010673297999915 0.0574438017449149 0.0791016220167243 0.101086846747136 -0.00252123805959518 -0.00479020423176364 -0.00627563182512341 -0.00708560956901507 -0.00799822713458124 -0.00719593494079843 0.00021089184932744
"VaccStatusfull_001-061" 0.0067119913119178 0.00461140613647036 0.00319357988049063 0.00233173871959265 0.00200878890097527 0.00184346302836467 0.00194974101500504 0.118111497840496 0.0138487753799404 0.00889446864097012 0.00664367966395506 0.00365505739015585 0.00235029605302743 0.00180917121808957 0.00158121344880608 0.00156444319755092 0.0134080730272533 0.0109986834936199 0.00208963241120421 0.00206220590808482 0.00212753967178004 -0.000932594682483316 -0.00158690104115227 -0.0018994541363568 -0.00211579061969362 -0.00209021551814509 -0.00150310008102055 -0.000199479475891549
"VaccStatusfull_062-122" 0.00914548929111685 0.00700874314623835 0.00497547107908917 0.00313906583692278 0.00249544156251595 0.00216716817189719 0.00225317704900706 0.0138487753799404 0.0721597504234504 0.0151123817503214 0.0110949302783184 0.00598874697152991 0.00339749093420058 0.00241829205542232 0.00195459654164676 0.0018464304652846 0.00735050415700727 0.0087347879971646 0.00247608786621535 0.00239454911264322 0.00244844264476602 -0.00105374705852498 -0.0017297690118935 -0.00210520553589476 -0.00235788840422404 -0.00237660970682874 -0.00170537687858859 -0.000211438041866243
"VaccStatusfull_123-183" 0.0170501363175499 0.00939851734856009 0.0071387569163379 0.00459946452345659 0.00338189077457693 0.00281644224743877 0.00286585312895959 0.00889446864097012 0.0151123817503214 0.0642909350566919 0.0160313338079916 0.00870961534903908 0.00512651388232275 0.00344203162997955 0.00267219492805069 0.00242366068862945 0.00487928955811004 0.00818186295327145 0.00322809516237185 0.00307095486079975 0.00309204929204474 -0.00120043203807836 -0.00195950157460484 -0.00239786375708889 -0.00271210588503371 -0.00296037191736549 -0.0020521137863406 -0.000239992446798729
