"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"Immunity_other" -0.0788639751801788 -0.838543804639003 0.680815854278645 0.924165625358345 0.432339636234996 1.97548878592697 0.0758343746416548 0.567660363765004 -0.975488785926973
"Immunityboost_001-061" -2.34505253261843 -2.83192338332898 -1.85818168190789 0.0958421671582524 0.0588994584167316 0.155955950232999 0.904157832841748 0.941100541583268 0.844044049767001
"Immunityboost_062-122" -1.71125866316218 -1.99824065013191 -1.42427667619246 0.180638286713341 0.135573594924671 0.240682491637562 0.819361713286659 0.864426405075329 0.759317508362438
"Immunityboost_123-183" -1.34798346851356 -1.81620853077871 -0.879758406248424 0.259763554235709 0.162641232634257 0.414883132747208 0.740236445764291 0.837358767365743 0.585116867252792
"Immunityboost_184-244" -1.24161004965123 -3.3628595117386 0.879639412436144 0.288918669858218 0.0346360749405389 2.41003052268321 0.711081330141782 0.965363925059461 -1.41003052268321
"Immunityfull_001-061" -1.07588903886644 -2.07126325438827 -0.0805148233446134 0.340994463170724 0.126026477604549 0.922641226853529 0.659005536829276 0.873973522395451 0.0773587731464708
"Immunityfull_062-122" -0.273479532308891 -0.918511765155533 0.371552700537751 0.76072790654033 0.399112572555199 1.44998425903808 0.23927209345967 0.600887427444801 -0.44998425903808
"Immunityfull_123-183" -0.705913957846131 -1.42567424292647 0.0138463272342043 0.493657186154129 0.240346356733982 1.01394263159703 0.506342813845871 0.759653643266018 -0.0139426315970341
"Immunityfull_184-244" -0.526825863821163 -0.972823679616849 -0.0808280480254768 0.590476250286276 0.378014138880297 0.922352278104999 0.409523749713724 0.621985861119703 0.0776477218950012
"Immunityfull_245-305" -0.674721504511045 -1.26479012468986 -0.0846528843322338 0.509298238120713 0.282298537416759 0.918831169748257 0.490701761879287 0.717701462583241 0.081168830251743
"Immunityfull_306-366" -0.330044980483692 -1.09157815514493 0.431488194177544 0.718891396621927 0.335686310383189 1.53954696438794 0.281108603378073 0.664313689616811 -0.539546964387935
"Immunityfull_367-427" -0.521758137734168 -2.49850671451378 1.45499043904544 0.593476217268683 0.0822076665272854 4.28444250204623 0.406523782731317 0.917792333472715 -3.28444250204623
