"covariate","beta","beta_CI_lower","beta_CI_upper","HR","HR_CI_lower","HR_CI_upper","eff","eff_CI_upper","eff_CI_lower","eff_trend"
"Immunityboost_001-061",-2.25174607793743,-2.82157980256885,-1.68191235330602,0.105215349877715,0.0595118514299202,0.186017903726724,0.894784650122285,0.94048814857008,0.813982096273276,0.894784650122285
"Immunityboost_062-122",-2.29211640428523,-2.74849410406615,-1.8357387045043,0.101052367714856,0.0640242024346838,0.159495638093988,0.898947632285144,0.935975797565316,0.840504361906012,0.898947632285144
"Immunityboost_123-183",-1.37466667131055,-1.94134796101114,-0.807985381609963,0.252923888543671,0.143510372952574,0.445755188840544,0.747076111456329,0.856489627047426,0.554244811159456,0.747076111456329
"Immunityboost_184-244",-1.17085990420867,-1.81241695704669,-0.529302851370659,0.310100170141702,0.163259069406325,0.589015457895213,0.689899829858298,0.836740930593675,0.410984542104787,0.689899829858298
"Immunityboost_245-305",-0.40667340590913,-0.848755541869681,0.0354087300514215,0.665861621264597,0.427947163036774,1.03604308421369,0.334138378735403,0.572052836963226,-0.0360430842136874,0.334138378735403
"Immunityboost_306-366",-0.418160333763684,-0.986600736054272,0.150280068526904,0.658256679192655,0.372841927488946,1.1621596815036,0.341743320807345,0.627158072511054,-0.162159681503603,0.341743320807345
"Immunityfull_001-061",-1.32913131374087,-2.73169411129602,0.0734314838142782,0.264707108880831,0.0651088944700613,1.07619479738314,0.735292891119169,0.934891105529939,-0.0761947973831429,0.735292891119169
"Immunityfull_062-122",-0.704937895378032,-1.70704852150281,0.297172730746749,0.494139261635261,0.181400402671856,1.34604778320773,0.505860738364739,0.818599597328144,-0.346047783207726,0.505860738364739
"Immunityfull_123-183",-0.717752700738215,-1.55224714924374,0.116741747767312,0.48784736400232,0.211771556443833,1.12382916082092,0.51215263599768,0.788228443556167,-0.123829160820916,0.51215263599768
"Immunityfull_184-244",-0.229821656784003,-0.70267689536145,0.243033581793443,0.794675314817561,0.495257774516336,1.2751114439286,0.205324685182439,0.504742225483664,-0.2751114439286,0.205324685182439
"Immunityfull_245-305",-0.731815855608295,-1.44930192229893,-0.0143297889176602,0.481034706974043,0.234734093549065,0.985772393839482,0.518965293025957,0.765265906450935,0.0142276061605179,0.518965293025957
"Immunityfull_306-366",-0.580815285860234,-1.47699645407785,0.315365882357383,0.559442075373126,0.228322436455849,1.37076075639334,0.440557924626874,0.771677563544151,-0.37076075639334,0.440557924626874
"Immunityhybridboost_001-061",-17.6590926352509,-3172.53286340061,3137.21467813011,2.14167473345853E-08,0,"Inf",0.999999978583253,1,"-Inf",0.999999978583253
"Immunityhybridboost_062-122",-18.0985921693432,-3730.17822133161,3693.98103699293,1.380007004125E-08,0,"Inf",0.99999998619993,1,"-Inf",0.99999998619993
"Immunityhybridboost_123-183",-1.56038910577073,-3.53980894004939,0.419030728507933,0.210054321948406,0.0290188708966199,1.52048707637154,0.789945678051594,0.97098112910338,-0.520487076371539,0.789945678051594
"Immunityhybridboost_184-244",-0.852408010566624,-2.27718116714987,0.572365146016624,0.426386950468126,0.10257293554545,1.77245421087661,0.573613049531874,0.89742706445455,-0.772454210876615,0.573613049531874
"Immunityhybridboost_245-305",-16.904153821343,-4214.74869733197,4180.94038968928,4.55637304699495E-08,0,"Inf",0.99999995443627,1,"-Inf",0.99999995443627
"Immunityhybridboost_306-366",-16.7265496371824,-5837.81675981028,5804.36366053592,5.44191546685372E-08,0,"Inf",0.999999945580845,1,"-Inf",0.999999945580845
"Immunityhybridfull_001-061",-16.9856581901364,-6889.45321612321,6855.48189974293,4.1997397278767E-08,0,"Inf",0.999999958002603,1,"-Inf",0.999999958002603
"Immunityhybridfull_062-122",-17.4722480119672,-3830.69258830811,3795.74809228417,2.58166033328952E-08,0,"Inf",0.999999974183397,1,"-Inf",0.999999974183397
"Immunityhybridfull_123-183",-17.1961639313577,-5464.01898455722,5429.62665669451,3.40252162993548E-08,0,"Inf",0.999999965974784,1,"-Inf",0.999999965974784
"Immunityhybridfull_184-244",-17.054688372945,-4433.15430923802,4399.04493249213,3.91961083076277E-08,0,"Inf",0.999999960803892,1,"-Inf",0.999999960803892
"Immunityhybridfull_245-305",-16.9214167374149,-6884.38801638766,6850.54518291283,4.47839179001845E-08,0,"Inf",0.999999955216082,1,"-Inf",0.999999955216082
"Immunityhybridfull_306-366",-16.4291249243603,-7650.48705951919,7617.62880967047,7.32692427155449E-08,0,"Inf",0.999999926730757,1,"-Inf",0.999999926730757
"Immunityinf_062-122",-1.54710620985766,-3.52032267668045,0.426110256965132,0.212863064463514,0.0295898856611934,1.53128960117012,0.787136935536486,0.970410114338807,-0.531289601170117,0.787136935536486
"Immunityinf_184-244",-16.0457133512809,-6083.31757926858,6051.22615256602,1.07506626299726E-07,0,"Inf",0.999999892493374,1,"-Inf",0.999999892493374
"Immunityinf_306-366",-1.09263389459173,-3.06393691651382,0.878669127330366,0.335332100113343,0.0467034651655069,2.40769324006121,0.664667899886657,0.953296534834493,-1.40769324006121,0.664667899886657
"Immunityother",0.0202154003914235,-0.384810265209792,0.425241065992639,1.02042111546374,0.68057975361194,1.5299591963442,-0.0204211154637362,0.31942024638806,-0.529959196344199,-0.0204211154637362
"Immunitysecboost_001-061",-0.672509571257749,-1.48115661610954,0.136137473594047,0.510426018657274,0.227374551169993,1.14583940542902,0.489573981342726,0.772625448830007,-0.14583940542902,0.489573981342726
"Immunitysecboost_062-122",-0.616947686446132,-1.81656739014042,0.582672017248152,0.539588921155752,0.162582877776546,1.79081713779352,0.460411078844248,0.837417122223454,-0.79081713779352,0.460411078844248
"Immunitysecboost_123-183",-0.171186660778516,-2.19862890716082,1.85625558560379,0.842664266422551,0.110955183976123,6.39972861527826,0.157335733577449,0.889044816023877,-5.39972861527826,0.157335733577449
"AgeGr0-11",-2.50310690610313,-4.69757708293489,-0.308636729271375,0.0818303640084486,0.00911734092240746,0.734447524858711,0.918169635991551,0.990882659077593,0.265552475141289,0.918169635991551
"AgeGr12-15",-0.814620786636977,-3.00746427509003,1.37822270181608,0.442807213939691,0.0494168275024827,3.96784331627077,0.557192786060309,0.950583172497517,-2.96784331627077,0.557192786060309
"AgeGr18-24",0.234349475954995,-1.15363164648857,1.62233059839856,1.26408618274908,0.315488942080419,5.06488077483817,-0.264086182749083,0.684511057919581,-4.06488077483817,-0.264086182749083
"AgeGr25-29",-0.477737810522336,-2.17550333937264,1.22002771832797,0.620184781591016,0.113550984602897,3.38728162210304,0.379815218408984,0.886449015397103,-2.38728162210304,0.379815218408984
"AgeGr30-34",-0.557249645198169,-2.25487700121297,1.14037771081663,0.572782253864084,0.104886443848291,3.12794960248781,0.427217746135916,0.895113556151709,-2.12794960248781,0.427217746135916
"AgeGr45-49",0.913993322574237,-0.264077749399859,2.09206439454833,2.4942630693125,0.767913832496019,8.10162285879706,-1.4942630693125,0.232086167503981,-7.10162285879706,-1.4942630693125
"AgeGr50-54",0.518432330837047,-0.796543977243709,1.8334086389178,1.6793928526059,0.45088454174979,6.25517198358263,-0.679392852605899,0.54911545825021,-5.25517198358263,-0.679392852605899
"AgeGr55-59",1.13081368327079,-0.0473200498528024,2.30894741639438,3.09817640909582,0.953782090918496,10.063826059718,-2.09817640909582,0.0462179090815045,-9.06382605971799,-2.09817640909582
