names,InfPriorinf_ALPHA_306-366,InfPriorinf_DELTA_062-122,InfPriorinf_DELTA_184-244,InfPriorinf_EARLY_367+,InfPriorinf_NA_184-244,InfPriorinf_NA_367+,VaccStatusboost_001-061,VaccStatusboost_062-122,VaccStatusboost_123-183,VaccStatusboost_184-244,VaccStatusboost_245-305,VaccStatusboost_306-366,VaccStatusboost_367+,VaccStatusfull_001-061,VaccStatusfull_062-122,VaccStatusfull_123-183,VaccStatusfull_184-244,VaccStatusfull_245-305,VaccStatusfull_306-366,VaccStatusfull_367+,VaccStatuspartial_062+,VaccStatussecboost_001-061,VaccStatussecboost_062-122,VaccStatussecboost_123-183,AgeGr0-11,AgeGr12-15,AgeGr18-24,AgeGr25-29,AgeGr30-34,AgeGr45-49,AgeGr50-54,AgeGr55-59,AgeGr60-64,AgeGr65-69,AgeGr70-74,AgeGr75-79,AgeGr80+,SexM
InfPriorinf_ALPHA_306-366,0.0015634023795181187,4.627163367212279e-5,1.4682936952964407e-5,3.317976524178255e-5,8.641769048023327e-6,3.3508112621334606e-5,2.1435604878766372e-5,3.8043940986782866e-5,2.460628623021999e-5,1.540658554255693e-5,1.3641748230440138e-5,1.202379382275973e-5,1.1156957671819008e-5,-2.1645989200468893e-5,-3.8446921107572016e-5,-3.0603407784099726e-5,2.534726449607247e-5,2.864095373649932e-5,2.029199405739316e-5,1.3461841892542014e-5,8.862091479614163e-6,1.0156785634852424e-5,9.46145972393774e-6,9.05758818886486e-6,2.579562670364206e-5,1.774299631614572e-5,9.052465540633975e-6,8.189718061578184e-6,6.090586554321552e-6,-6.326965215939384e-6,-7.739849111912755e-6,-2.7194015740792532e-6,3.818525552189094e-6,8.889260353800404e-6,1.0793929548520955e-5,1.1037640955688469e-5,1.550391910500901e-5,1.232664322943473e-6
InfPriorinf_DELTA_062-122,4.627163367212279e-5,0.0017339058764148485,2.2011214384505672e-5,3.338282497586849e-5,1.530415653453706e-5,3.426361501926481e-5,6.347570352741728e-5,5.470546164432737e-5,2.4327602646196366e-5,-1.65079551423e-6,-7.798581660205184e-6,-1.1244828569206826e-5,-1.3894285706806308e-5,6.814878442161833e-5,6.0252250648183495e-5,5.402380426708373e-5,1.851484037177424e-5,-2.5316927920892105e-5,-1.9863262318971333e-5,-6.054783558891266e-6,-7.617900384462386e-5,-1.3983307085321462e-5,-1.6033944407032253e-5,-1.7271176680236367e-5,2.943600413539237e-5,-3.733896165434015e-5,3.4901485901139612e-06,1.1487526024693151e-5,8.128759114312845e-6,-9.163249575899488e-7,8.603592590260627e-6,1.089510629235401e-5,1.696715328865778e-5,1.889725741852518e-5,2.1339118053886125e-5,2.2071676725997467e-5,2.8202836687173668e-5,3.284454109834499e-6
InfPriorinf_DELTA_184-244,1.4682936952964407e-5,2.2011214384505672e-5,0.010808735319798691,3.3280684626947995e-5,1.736431720978663e-4,4.089555275021748e-5,2.121717868946179e-5,3.180162593230789e-5,1.8052408944980146e-4,2.8005283292002455e-4,1.1218876301153689e-4,5.159918802186373e-5,2.7423396848029124e-5,1.3281867919366166e-5,2.7928473620577447e-5,3.0376130430829235e-5,3.7004278583117e-5,5.9396879587840164e-5,8.362267876831594e-6,-5.259683104296882e-5,-5.658461140094822e-5,7.210770598722874e-5,3.531457934917234e-5,1.9402822587810416e-5,3.010603265703088e-5,-1.6291323048537713e-5,1.1868091229903794e-6,8.295218628644544e-6,5.4026061034894524e-6,-3.6993377265542896e-6,3.792920044278368e-6,7.989448824239887e-6,1.536630429703675e-5,1.7429401966257086e-5,1.7875776964191157e-5,1.582571316671414e-5,2.096696945674866e-5,4.918058951970446e-6
InfPriorinf_EARLY_367+,3.317976524178255e-5,3.338282497586849e-5,3.3280684626947995e-5,4.7051597549677246e-4,3.8218871530598834e-5,3.660159491016286e-5,-1.0178832185381438e-5,-1.5554225204951703e-5,-1.6552239142700126e-5,-1.6633269738006228e-5,-2.0107047300949767e-5,-2.3001842499137016e-5,-2.5844741133550562e-5,-2.1005631093433268e-6,-2.4403633754404165e-7,-2.48478454861694e-6,-1.071431980642822e-5,-1.8427104840900862e-5,-1.8385477789057095e-5,-1.881462623108495e-5,1.3032820786620726e-6,-2.0667805963166053e-5,-2.1305969131849946e-5,-2.0205824735503717e-5,1.9294914972873944e-5,7.189740806337063e-6,-6.796951926618265e-7,-1.4958645742633393e-6,3.8595248449083175e-6,-6.104953539205988e-7,2.1026961137426107e-6,4.446670071396894e-6,1.459644901932754e-5,2.476776698820386e-5,2.8150045585857144e-5,3.0371555636919665e-5,2.984231517252554e-5,3.209362475235843e-6
InfPriorinf_NA_184-244,8.641769048023327e-6,1.530415653453706e-5,1.736431720978663e-4,3.8218871530598834e-5,0.007717956355546649,4.2390096868928215e-5,1.3774678074292009e-6,-5.155075443898806e-6,4.090939394420686e-5,1.7631424695848692e-4,1.2308927693694717e-4,3.3129008622009107e-5,-2.237630022116903e-6,3.6843978840156034e-6,1.0550128904591808e-5,1.4076152827664754e-5,1.1912402480113713e-5,1.179058419413068e-5,-7.437700586464367e-5,-1.1769105376208507e-4,-5.9108422406767795e-6,1.0228724295459814e-4,8.254389634652987e-6,-1.1844239379370122e-5,2.037017175165312e-5,-2.3945530595377763e-5,-7.791755364208034e-6,6.685038477872656e-6,2.9902854242289226e-6,-1.4030302239237487e-7,1.2610924753364006e-5,1.8694731569987753e-5,2.6263857771800447e-5,3.3172649034906216e-5,3.4944262679312204e-5,3.703558975390887e-5,3.9424147295132106e-5,2.48855701383491e-6
InfPriorinf_NA_367+,3.3508112621334606e-5,3.426361501926481e-5,4.089555275021748e-5,3.660159491016286e-5,4.2390096868928215e-5,0.0012945725525995786,-4.902910069001672e-6,8.589499580148972e-7,4.727975631675461e-6,-1.2084177037685713e-6,3.570186524872947e-6,1.0868416276944344e-5,1.944810358035844e-5,-3.824014881790833e-6,-4.145671505643067e-6,-4.9390206008375104e-6,-9.234401675532464e-6,-1.128393584982012e-5,-3.7784037014597956e-6,-5.940826509375896e-6,1.073616685035524e-6,6.451232431329802e-6,1.1786697924156317e-5,1.8380825944664415e-5,1.273850671387858e-5,5.978386363477149e-6,2.465295141745784e-6,1.9092491679275523e-6,-1.624699744792015e-6,-6.983600225495033e-6,-5.0362322729194826e-6,-3.1839154677990773e-6,3.944677517547323e-6,1.4541711526231745e-5,1.713151667869714e-5,1.6809205884365642e-5,1.7564871641978897e-5,3.7931497639961535e-6
VaccStatusboost_001-061,2.1435604878766372e-5,6.347570352741728e-5,2.121717868946179e-5,-1.0178832185381438e-5,1.3774678074292009e-6,-4.902910069001672e-6,4.273017488692434e-4,1.2586003629611812e-4,9.535201649339295e-5,7.505633881162545e-5,7.603033771391719e-5,7.574029317950941e-5,7.794491664287666e-5,1.0804432917403427e-4,1.0507737665114044e-4,1.0892244433770141e-4,1.1775796065906235e-4,9.864208098324682e-5,7.329200198758347e-5,6.438478011319893e-5,9.551402193829822e-5,8.045726604482548e-5,8.046448924997779e-5,8.100961109237205e-5,1.0628782255178491e-4,5.263063287028927e-5,1.0220515735339706e-5,2.6843699165347373e-5,1.8492359871482313e-5,-2.0517142783028456e-5,-1.9598373328390162e-5,-2.3596409246560697e-5,-2.0926277703319124e-5,-3.315223997194141e-5,-2.9859400135895954e-5,-2.6891740882507627e-5,-2.9691171755002537e-6,-1.7484098734139505e-6
VaccStatusboost_062-122,3.8043940986782866e-5,5.470546164432737e-5,3.180162593230789e-5,-1.5554225204951703e-5,-5.155075443898806e-6,8.589499580148972e-7,1.2586003629611812e-4,4.773551797467979e-4,1.7112000352977817e-4,1.0628351210762043e-4,1.1525686861347497e-4,1.2513492664777015e-4,1.3650055644706937e-4,8.525664453260544e-5,1.0561801911162228e-4,8.316647736600292e-5,1.1652263517636408e-4,1.3937517825284558e-4,9.510791899126637e-5,8.846823852965186e-5,1.0394601786636786e-4,1.4194377394269642e-4,1.475634190027782e-4,1.5367303227601837e-4,9.983746204037386e-5,5.216260898917852e-5,1.5606540511128435e-5,2.7264300120059713e-5,2.0111241461132712e-5,-2.295595145630369e-5,-2.5397614960498734e-5,-3.433907015174865e-5,-4.5450247270734975e-5,-6.567325196680568e-5,-9.216363631295121e-5,-1.1428183024517315e-4,-9.600858644793528e-5,2.5442116827696234e-6
VaccStatusboost_123-183,2.460628623021999e-5,2.4327602646196366e-5,1.8052408944980146e-4,-1.6552239142700126e-5,4.090939394420686e-5,4.727975631675461e-6,9.535201649339295e-5,1.7112000352977817e-4,0.001234801981007136,2.694573604819734e-4,2.2217877753669476e-4,2.1588840876755864e-4,2.2066471802247305e-4,5.837354366064742e-5,8.926651588873529e-5,6.416733532654463e-5,1.0255303693103139e-4,1.8842038182207175e-4,2.1693899020926912e-4,1.9729813286991534e-4,1.2051144905255871e-4,2.387785289953002e-4,2.344640118560668e-4,2.3693483180312524e-4,1.0536367040901709e-4,5.5307527529956164e-5,1.3680783441106639e-5,2.6408144424675082e-5,1.9857596977019515e-5,-2.057567416367577e-5,-2.2360250771054424e-5,-2.705731592681896e-5,-3.141321918605361e-5,-4.2497972342822086e-5,-8.141788885011592e-5,-1.2035993490161072e-4,-1.1952215197900334e-4,5.532746768029469e-6
VaccStatusboost_184-244,1.540658554255693e-5,-1.65079551423e-6,2.8005283292002455e-4,-1.6633269738006228e-5,1.7631424695848692e-4,-1.2084177037685713e-6,7.505633881162545e-5,1.0628351210762043e-4,2.694573604819734e-4,0.0013159478955805481,5.146210768425192e-4,4.372243723314947e-4,4.0643303397072775e-4,3.781581547112041e-5,5.1655935231294635e-5,4.596429114772137e-5,8.570846498394585e-5,1.795638180285323e-4,3.8121244654653035e-4,4.708932487954404e-4,1.329215326958571e-4,4.930385120682694e-4,4.275411103309563e-4,4.121805057876815e-4,1.1417098392849112e-4,7.021590467383647e-5,1.9577473040262362e-5,3.2980574284905234e-5,2.2664005238987753e-5,-2.417800272229075e-5,-2.5410397516130363e-5,-3.1227857215885105e-5,-3.18960850658524e-5,-4.609964778960268e-5,-5.569762791557218e-5,-6.473385148990553e-5,-4.6719335753443776e-5,2.7018161554770807e-6
