"InfPriorinf_ALPHA_306-366" "InfPriorinf_DELTA_062-122" "InfPriorinf_DELTA_184-244" "InfPriorinf_EARLY_367+" "InfPriorinf_NA_184-244" "InfPriorinf_NA_367+" "VaccStatusboost_001-061" "VaccStatusboost_062-122" "VaccStatusboost_123-183" "VaccStatusboost_184-244" "VaccStatusboost_245-305" "VaccStatusboost_306-366" "VaccStatusboost_367+" "VaccStatusfull_001-061" "VaccStatusfull_062-122" "VaccStatusfull_123-183" "VaccStatusfull_184-244" "VaccStatusfull_245-305" "VaccStatusfull_306-366" "VaccStatusfull_367+" "VaccStatuspartial_062+" "VaccStatussecboost_001-061" "VaccStatussecboost_062-122" "VaccStatussecboost_123-183" "AgeGr0-11" "AgeGr12-15" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"InfPriorinf_ALPHA_306-366" 0.00156340237951812 4.62716336721228e-05 1.46829369529644e-05 3.31797652417825e-05 8.64176904802333e-06 3.35081126213346e-05 2.14356048787664e-05 3.80439409867829e-05 2.460628623022e-05 1.54065855425569e-05 1.36417482304401e-05 1.20237938227597e-05 1.1156957671819e-05 -2.16459892004689e-05 -3.8446921107572e-05 -3.06034077840997e-05 2.53472644960725e-05 2.86409537364993e-05 2.02919940573932e-05 1.3461841892542e-05 8.86209147961416e-06 1.01567856348524e-05 9.46145972393774e-06 9.05758818886486e-06 2.57956267036421e-05 1.77429963161457e-05 9.05246554063398e-06 8.18971806157818e-06 6.09058655432155e-06 -6.32696521593938e-06 -7.73984911191276e-06 -2.71940157407925e-06 3.81852555218909e-06 8.8892603538004e-06 1.0793929548521e-05 1.10376409556885e-05 1.5503919105009e-05 1.23266432294347e-06
"InfPriorinf_DELTA_062-122" 4.62716336721228e-05 0.00173390587641485 2.20112143845057e-05 3.33828249758685e-05 1.53041565345371e-05 3.42636150192648e-05 6.34757035274173e-05 5.47054616443274e-05 2.43276026461964e-05 -1.65079551423e-06 -7.79858166020518e-06 -1.12448285692068e-05 -1.38942857068063e-05 6.81487844216183e-05 6.02522506481835e-05 5.40238042670837e-05 1.85148403717742e-05 -2.53169279208921e-05 -1.98632623189713e-05 -6.05478355889127e-06 -7.61790038446239e-05 -1.39833070853215e-05 -1.60339444070323e-05 -1.72711766802364e-05 2.94360041353924e-05 -3.73389616543402e-05 3.49014859011396e-06 1.14875260246932e-05 8.12875911431284e-06 -9.16324957589949e-07 8.60359259026063e-06 1.0895106292354e-05 1.69671532886578e-05 1.88972574185252e-05 2.13391180538861e-05 2.20716767259975e-05 2.82028366871737e-05 3.2844541098345e-06
"InfPriorinf_DELTA_184-244" 1.46829369529644e-05 2.20112143845057e-05 0.0108087353197987 3.3280684626948e-05 0.000173643172097866 4.08955527502175e-05 2.12171786894618e-05 3.18016259323079e-05 0.000180524089449801 0.000280052832920025 0.000112188763011537 5.15991880218637e-05 2.74233968480291e-05 1.32818679193662e-05 2.79284736205774e-05 3.03761304308292e-05 3.7004278583117e-05 5.93968795878402e-05 8.36226787683159e-06 -5.25968310429688e-05 -5.65846114009482e-05 7.21077059872287e-05 3.53145793491723e-05 1.94028225878104e-05 3.01060326570309e-05 -1.62913230485377e-05 1.18680912299038e-06 8.29521862864454e-06 5.40260610348945e-06 -3.69933772655429e-06 3.79292004427837e-06 7.98944882423989e-06 1.53663042970368e-05 1.74294019662571e-05 1.78757769641912e-05 1.58257131667141e-05 2.09669694567487e-05 4.91805895197045e-06
"InfPriorinf_EARLY_367+" 3.31797652417825e-05 3.33828249758685e-05 3.3280684626948e-05 0.000470515975496772 3.82188715305988e-05 3.66015949101629e-05 -1.01788321853814e-05 -1.55542252049517e-05 -1.65522391427001e-05 -1.66332697380062e-05 -2.01070473009498e-05 -2.3001842499137e-05 -2.58447411335506e-05 -2.10056310934333e-06 -2.44036337544042e-07 -2.48478454861694e-06 -1.07143198064282e-05 -1.84271048409009e-05 -1.83854777890571e-05 -1.88146262310849e-05 1.30328207866207e-06 -2.06678059631661e-05 -2.13059691318499e-05 -2.02058247355037e-05 1.92949149728739e-05 7.18974080633706e-06 -6.79695192661827e-07 -1.49586457426334e-06 3.85952484490832e-06 -6.10495353920599e-07 2.10269611374261e-06 4.44667007139689e-06 1.45964490193275e-05 2.47677669882039e-05 2.81500455858571e-05 3.03715556369197e-05 2.98423151725255e-05 3.20936247523584e-06
"InfPriorinf_NA_184-244" 8.64176904802333e-06 1.53041565345371e-05 0.000173643172097866 3.82188715305988e-05 0.00771795635554665 4.23900968689282e-05 1.3774678074292e-06 -5.15507544389881e-06 4.09093939442069e-05 0.000176314246958487 0.000123089276936947 3.31290086220091e-05 -2.2376300221169e-06 3.6843978840156e-06 1.05501289045918e-05 1.40761528276648e-05 1.19124024801137e-05 1.17905841941307e-05 -7.43770058646437e-05 -0.000117691053762085 -5.91084224067678e-06 0.000102287242954598 8.25438963465299e-06 -1.18442393793701e-05 2.03701717516531e-05 -2.39455305953778e-05 -7.79175536420803e-06 6.68503847787266e-06 2.99028542422892e-06 -1.40303022392375e-07 1.2610924753364e-05 1.86947315699878e-05 2.62638577718004e-05 3.31726490349062e-05 3.49442626793122e-05 3.70355897539089e-05 3.94241472951321e-05 2.48855701383491e-06
"InfPriorinf_NA_367+" 3.35081126213346e-05 3.42636150192648e-05 4.08955527502175e-05 3.66015949101629e-05 4.23900968689282e-05 0.00129457255259958 -4.90291006900167e-06 8.58949958014897e-07 4.72797563167546e-06 -1.20841770376857e-06 3.57018652487295e-06 1.08684162769443e-05 1.94481035803584e-05 -3.82401488179083e-06 -4.14567150564307e-06 -4.93902060083751e-06 -9.23440167553246e-06 -1.12839358498201e-05 -3.7784037014598e-06 -5.9408265093759e-06 1.07361668503552e-06 6.4512324313298e-06 1.17866979241563e-05 1.83808259446644e-05 1.27385067138786e-05 5.97838636347715e-06 2.46529514174578e-06 1.90924916792755e-06 -1.62469974479201e-06 -6.98360022549503e-06 -5.03623227291948e-06 -3.18391546779908e-06 3.94467751754732e-06 1.45417115262317e-05 1.71315166786971e-05 1.68092058843656e-05 1.75648716419789e-05 3.79314976399615e-06
"VaccStatusboost_001-061" 2.14356048787664e-05 6.34757035274173e-05 2.12171786894618e-05 -1.01788321853814e-05 1.3774678074292e-06 -4.90291006900167e-06 0.000427301748869243 0.000125860036296118 9.53520164933929e-05 7.50563388116255e-05 7.60303377139172e-05 7.57402931795094e-05 7.79449166428767e-05 0.000108044329174034 0.00010507737665114 0.000108922444337701 0.000117757960659062 9.86420809832468e-05 7.32920019875835e-05 6.43847801131989e-05 9.55140219382982e-05 8.04572660448255e-05 8.04644892499778e-05 8.10096110923721e-05 0.000106287822551785 5.26306328702893e-05 1.02205157353397e-05 2.68436991653474e-05 1.84923598714823e-05 -2.05171427830285e-05 -1.95983733283902e-05 -2.35964092465607e-05 -2.09262777033191e-05 -3.31522399719414e-05 -2.9859400135896e-05 -2.68917408825076e-05 -2.96911717550025e-06 -1.74840987341395e-06
"VaccStatusboost_062-122" 3.80439409867829e-05 5.47054616443274e-05 3.18016259323079e-05 -1.55542252049517e-05 -5.15507544389881e-06 8.58949958014897e-07 0.000125860036296118 0.000477355179746798 0.000171120003529778 0.00010628351210762 0.000115256868613475 0.00012513492664777 0.000136500556447069 8.52566445326054e-05 0.000105618019111622 8.31664773660029e-05 0.000116522635176364 0.000139375178252846 9.51079189912664e-05 8.84682385296519e-05 0.000103946017866368 0.000141943773942696 0.000147563419002778 0.000153673032276018 9.98374620403739e-05 5.21626089891785e-05 1.56065405111284e-05 2.72643001200597e-05 2.01112414611327e-05 -2.29559514563037e-05 -2.53976149604987e-05 -3.43390701517487e-05 -4.5450247270735e-05 -6.56732519668057e-05 -9.21636363129512e-05 -0.000114281830245173 -9.60085864479353e-05 2.54421168276962e-06
"VaccStatusboost_123-183" 2.460628623022e-05 2.43276026461964e-05 0.000180524089449801 -1.65522391427001e-05 4.09093939442069e-05 4.72797563167546e-06 9.53520164933929e-05 0.000171120003529778 0.00123480198100714 0.000269457360481973 0.000222178777536695 0.000215888408767559 0.000220664718022473 5.83735436606474e-05 8.92665158887353e-05 6.41673353265446e-05 0.000102553036931031 0.000188420381822072 0.000216938990209269 0.000197298132869915 0.000120511449052559 0.0002387785289953 0.000234464011856067 0.000236934831803125 0.000105363670409017 5.53075275299562e-05 1.36807834411066e-05 2.64081444246751e-05 1.98575969770195e-05 -2.05756741636758e-05 -2.23602507710544e-05 -2.7057315926819e-05 -3.14132191860536e-05 -4.24979723428221e-05 -8.14178888501159e-05 -0.000120359934901611 -0.000119522151979003 5.53274676802947e-06
"VaccStatusboost_184-244" 1.54065855425569e-05 -1.65079551423e-06 0.000280052832920025 -1.66332697380062e-05 0.000176314246958487 -1.20841770376857e-06 7.50563388116255e-05 0.00010628351210762 0.000269457360481973 0.00131594789558055 0.000514621076842519 0.000437224372331495 0.000406433033970728 3.78158154711204e-05 5.16559352312946e-05 4.59642911477214e-05 8.57084649839459e-05 0.000179563818028532 0.00038121244654653 0.00047089324879544 0.000132921532695857 0.000493038512068269 0.000427541110330956 0.000412180505787681 0.000114170983928491 7.02159046738365e-05 1.95774730402624e-05 3.29805742849052e-05 2.26640052389878e-05 -2.41780027222908e-05 -2.54103975161304e-05 -3.12278572158851e-05 -3.18960850658524e-05 -4.60996477896027e-05 -5.56976279155722e-05 -6.47338514899055e-05 -4.67193357534438e-05 2.70181615547708e-06
