"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.0351445715684832 0.00409041705637426 0.00433355785954931 0.0030363491052837 0.00243991293680038 0.0030167387412542 0.00430561698520292 0.00623605803901945 0.00728487451114357 0.00444678079087403 0.00390585378273522 0.00407041155314352 0.00466827556672226 0.00366945239035661 0.00390870373568792 0.00492592106674519 0.00441430770262463 0.00546771666922361 0.00393732995044398 0.00320821497635892 0.00381506871369516 0.00504699983080953 0.00642271454083569 0.00734644678773104 0.00382812133389989 0.00359174569212916 0.00407307749704045 0.00484356983326958 0.00502355665561983 0.00464146246965194 0.00537968852582848 0.00448312145601625 0.00503274064875191 0.0060899230532596 0.00730480143330261 0.00849399592271701 0.00691653454032297 0.00449817668581221 0.00433983435823439 0.00561000678540282 0.00658335473817248 -0.00356738861080609 -0.00115889852445818 -0.000495407447365053 -7.97428512842389e-05 -0.000222592321245011 -0.000217350040204735 0.000118210859173485 0.000138899338393469 0.000352361464009442 0.000359016062477176 0.000450878931270872 0.000685061020007707 0.000839852291734739 0.00080678682398912 0.000964208155029264 0.000138047883508678
"Immunityboost_001-061" 0.00409041705637426 1.00433271129622 0.00434864697184623 0.00356623469367148 0.00322411527652354 0.00372876634207327 0.00457170698765728 0.0051563447407598 0.00497369542359301 0.00251556831044479 0.00300306657264572 0.00391720881047825 0.00440665599029096 0.00396660248558689 0.00429821064866398 0.00471911893781624 0.00455334398563918 0.00490225265534386 0.00402311762672639 0.00381152212530318 0.00421880025849715 0.0048515437588787 0.00518304042060339 0.00501477300955261 0.0036004845267844 0.00371063465592036 0.00419074358409485 0.00464811224370451 0.00465938184691088 0.00459630609305866 0.0048751516891477 0.00311815449447445 0.00291779843003262 0.00330321116059912 0.00375884328548765 0.00416825170172169 0.00343639543451609 0.00272222243415324 0.004516404654621 0.00498772608022584 0.00513021635417517 0.00215207609372142 -0.000677878869165755 -0.00104508413963695 -0.000481051841800312 -0.000162008815295146 -0.000267850969832954 0.000153811324447809 -4.12002523350733e-06 0.000224159737559661 7.46517683286498e-05 -5.00452291932977e-05 -0.000221612895366906 6.59396323201833e-05 -1.0255974509002e-06 0.000440878922126048 1.40497414194569e-05
"Immunityboost_062-122" 0.00433355785954931 0.00434864697184623 1.00464805975061 0.00396468123479465 0.00353922776459397 0.00365000171118663 0.00441186813257576 0.00586697801390442 0.00639837941891402 0.00286816038069058 0.0031945471624272 0.00391330119476101 0.00475765595852213 0.00430985491927734 0.00428899575106108 0.00496974152808194 0.0045355804616283 0.00532197657871181 0.00438265544664224 0.00385961903267217 0.00419975297860488 0.0050333470934238 0.00603271424184776 0.00648814069689183 0.00403881036382023 0.00393415503241896 0.00436743613304911 0.00495641732958135 0.0051788504339712 0.00484719924892807 0.00535677354906323 0.00352395816932683 0.00301735916163253 0.00337311885438748 0.00403499104236695 0.00495165717984713 0.00430739718923788 0.00292105580621267 0.00445582128563616 0.00537041165769722 0.00608341064167914 0.00301789033717213 -0.00166626656921366 -0.00269861334516948 -0.00130956640967191 -0.000417157429322042 -0.000334863843393797 0.000137403399279366 0.000153301162368784 0.000521784161750525 0.000592378785149529 0.00065496434360924 0.000508831292222072 0.000910822590621573 0.000866953331226208 0.00141273059269447 9.50235328102483e-06
"Immunityboost_123-183" 0.0030363491052837 0.00356623469367148 0.00396468123479465 0.255783770588334 0.00541158409981981 0.00377389083362468 0.00317563140133996 0.00321052822494514 0.00324977469122403 0.00462437652666734 0.00408174671454456 0.00364494767406651 0.00416943130189682 0.00447411422932258 0.00378622068862153 0.00349237697932639 0.00325865697400233 0.00334952597949314 0.00417186433413277 0.00417007205724888 0.00368574903982331 0.00343524975834564 0.00338272207034562 0.0034334728782973 0.00474137780184301 0.0044283357868024 0.00408950905172896 0.00394754067528387 0.00405094086052337 0.00393174219100028 0.00375209546617282 0.0043721261723949 0.00332500625982672 0.00282899139896485 0.0025473620218009 0.0025813929036849 0.00375020498054898 0.00382104421695161 0.00314486343197625 0.00311316506448373 0.00319544932925754 0.00403078453856967 -0.00108474317906801 -0.00300019184139281 -0.000909068665753021 7.37137856409271e-05 9.05490060143824e-05 0.000341486377962091 9.40599866943293e-06 0.000471831540576581 0.000712826919466751 0.000984744765832223 0.00100093200450127 0.00159915643731584 0.00183708984645669 0.00259547146345319 5.92184837796505e-05
"Immunityboost_184-244" 0.00243991293680038 0.00322411527652354 0.00353922776459397 0.00541158409981981 0.0217146128052442 0.00399685169251197 0.0027347684489044 0.00234190988212076 0.00213296791335962 0.00462386035850372 0.00423497815456819 0.00333815159295806 0.00354487526715423 0.00428754563516512 0.00344261242243713 0.00291383974233652 0.00286018617406927 0.00263974772177719 0.00405082128969323 0.00424623369533403 0.00349319214730039 0.00277560737810549 0.00246351939659069 0.00228155314861538 0.00458131734085796 0.00420766242304552 0.00366541188716995 0.00322253767997118 0.00337742322198184 0.00327395087271766 0.00294758065411624 0.00426820415860106 0.00320441115552042 0.00235353699815666 0.00164437720131319 0.001413943099249 0.00300971642616799 0.00398550082410013 0.00278059737020274 0.00236715915430336 0.00226152250578242 0.00306550730261931 0.000696823655550599 -0.000198220138827874 0.000356668197275858 0.000843909469877962 0.000594455731438145 0.000571899270037757 -0.000261877331553289 -0.00015012167254362 -0.000145630874118776 -0.000141942658313687 -0.00039276870628324 0.000217924504767496 0.000605178662493101 0.00145123746761458 4.7229161020928e-06
"Immunityboost_245-305" 0.0030167387412542 0.00372876634207327 0.00365000171118663 0.00377389083362468 0.00399685169251197 0.00846816727254848 0.00369435040559273 0.00305519300699318 0.00287175931728214 0.00288750871168892 0.00347175329745481 0.00378373223111603 0.0035091758990039 0.00394326441987131 0.00395969806591557 0.00351361010624632 0.00364774626808992 0.00330124808254481 0.00373326581818858 0.00407780818720447 0.00398459466285215 0.00352867849548709 0.0030948239071008 0.00293692103730458 0.00361823911451081 0.0039050093959853 0.00384048646672504 0.00363603422262832 0.00360476906611089 0.00374334966929128 0.00341806879903459 0.00317652492413314 0.00311500298965292 0.00274604160456923 0.00237809872690233 0.00197246084491259 0.00241631390985958 0.00319802186977175 0.00362887596609211 0.00321113520380153 0.00298318130626721 0.00210541877027127 0.00052644473405599 5.61781435407316e-05 0.000382482501410973 0.000713273747516904 0.000482498614516803 0.000485560982853434 -0.000233223717935176 -0.00018907236439252 -0.000301079069721072 -0.000516310534507039 -0.000856714476382283 -0.000536196826314738 -0.000374869913739014 0.000333430097384568 -4.9627189814117e-05
"Immunityboost_306-366" 0.00430561698520292 0.00457170698765728 0.00441186813257576 0.00317563140133996 0.0027347684489044 0.00369435040559273 0.0106279903072631 0.00557492456050875 0.00529124082268265 0.00198425069248912 0.00260522175977592 0.00392454224036566 0.00442407321547971 0.00369527779766249 0.00445458009136275 0.00503007450018548 0.00498100717372603 0.00532252940870189 0.00395029799801531 0.00372306452849667 0.004386196171888 0.005296437618018 0.00552810608939835 0.00528283675808605 0.00319988682739111 0.00336949122825427 0.00413345888585783 0.00479406651935744 0.00468729354858863 0.00472465662450695 0.0050894570021857 0.00271036047347399 0.00263120120806253 0.0033256256897206 0.00396823235745665 0.00432739239400537 0.00319165593740701 0.0022983505562852 0.00497543709904202 0.00552575506670571 0.00549437072283807 0.00150213486046658 0.000465460711213711 0.000196564251250845 0.000404913288829304 0.000639162359697555 0.000412672600520683 0.000448558880234537 -0.000160577746626653 -0.000135602177353743 -0.000281443952570784 -0.000533076863592301 -0.000817374597050094 -0.000796587137569026 -0.000926976861044999 -0.00041708298412112 -7.82322038456437e-05
"Immunityboost_367-427" 0.00623605803901945 0.0051563447407598 0.00586697801390442 0.00321052822494514 0.00234190988212076 0.00305519300699318 0.00557492456050875 0.02742793066325 0.0137002244459592 0.00174777670010908 0.0020717073154617 0.00337183506075059 0.00563305795445404 0.00404431496347212 0.0042926702220994 0.00725556809715903 0.00612077342977708 0.00892686909540014 0.00555349329446347 0.0032626931593018 0.00440312129184876 0.00734065061365004 0.0116395025355208 0.0136111726232203 0.0037498278637406 0.00267950169041898 0.00404562263422806 0.00611382046585371 0.00710641904461312 0.00570850654270161 0.00800723577800531 0.00329578454255683 0.00198952716771419 0.00332820520336681 0.00579664636021615 0.00930008940523131 0.00673646559773858 0.0017794742283655 0.00607102266141341 0.00942074328473977 0.0124112315788764 0.000764626499155558 0.000369216085739223 0.000297450324645824 0.000402936176070776 0.000502800358812747 0.000315033521105327 0.000369657068539467 -0.000103521128101208 -0.000126759290160799 -0.000390374960883083 -0.000838257443050586 -0.00116535633900377 -0.00142445512041425 -0.00173704881439007 -0.00132005491715363 -6.08807354290095e-05
"Immunityboost_428-488" 0.00728487451114357 0.00497369542359301 0.00639837941891402 0.00324977469122403 0.00213296791335962 0.00287175931728214 0.00529124082268265 0.0137002244459592 0.231567980899964 0.00171093565425851 0.00193460283629386 0.00306864138124289 0.00553089372290731 0.00442145657137343 0.00400776389728963 0.00756169359004889 0.00591604501252941 0.0106453610246594 0.00663951137605931 0.00309110897359771 0.00423923289693774 0.00774539478863946 0.0150541620753744 0.0319176755830259 0.00406858068015363 0.00245812946305885 0.00376001191538252 0.00644168533334545 0.00805239438900783 0.00608389518909251 0.00903455740709058 0.00367585645130899 0.00183948762810316 0.00310652279017681 0.00646799267902321 0.0110961918695485 0.0116822559993678 0.00169538647552647 0.00585783579853489 0.0112635851195984 0.0176765182077205 0.000562176881497865 0.000474998280499042 0.000458901936156314 0.000490861481901631 0.000505303288589242 0.000325091559355931 0.000363576908939532 -5.84927752022035e-05 -8.92330668645116e-05 -0.000299490531928521 -0.000521719893603265 -0.000629710543805191 -0.00115228750731574 -0.00179347709165636 -0.0018237442481394 -0.000180504597217074
"Immunityfull_123-183" 0.00444678079087403 0.00251556831044479 0.00286816038069058 0.00462437652666734 0.00462386035850372 0.00288750871168892 0.00198425069248912 0.00174777670010908 0.00171093565425851 0.208359228671944 0.00610817728914033 0.003806116997719 0.0035516640901283 0.00354363648076963 0.00267960670147778 0.00223680975910001 0.00207935798531515 0.00201106346536177 0.00312469583738907 0.00322025662938186 0.00258552798876743 0.00209426617324958 0.00186449343938214 0.0018504861544906 0.00472675138336963 0.00420884409850638 0.00338287678338907 0.00287688687388742 0.00283305949381535 0.00273104626243371 0.00240643774427464 0.00646830937681303 0.00721079272837479 0.00728836242549582 0.00714025411999294 0.00698235919224666 0.00752399961240136 0.00732428260715838 0.00198434182274343 0.00174174374393295 0.00168627438008516 -0.00752108581038145 -0.00591274375623183 -0.0028885832416278 -0.00146150276071287 -0.00126737483037275 -0.00120585166922524 -0.000367947885142645 0.000140076995519881 0.000412645109973039 0.000630125577002423 0.000680494449413594 0.00087007697903065 0.00134253440567611 0.00152305724977084 0.00192778911742229 0.000205386184900711
